rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"1,221,725,877,876",제 47 기,2023.12.31 현재,"1,096,505,825,046",제 46 기,2022.12.31 현재,"950,422,185,740",1,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"1,100,972,627,774",제 47 기,2023.12.31 현재,"1,082,999,533,131",제 46 기,2022.12.31 현재,"1,125,236,409,762",3,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"2,322,698,505,650",제 47 기,2023.12.31 현재,"2,179,505,358,177",제 46 기,2022.12.31 현재,"2,075,658,595,502",5,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"496,652,905,477",제 47 기,2023.12.31 현재,"469,223,945,057",제 46 기,2022.12.31 현재,"444,737,224,516",7,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"165,374,618,462",제 47 기,2023.12.31 현재,"112,374,644,461",제 46 기,2022.12.31 현재,"107,932,108,419",9,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"662,027,523,939",제 47 기,2023.12.31 현재,"581,598,589,518",제 46 기,2022.12.31 현재,"552,669,332,935",11,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"18,999,589,000",제 47 기,2023.12.31 현재,"18,999,589,000",제 46 기,2022.12.31 현재,"18,999,589,000",13,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"1,596,379,785,714",제 47 기,2023.12.31 현재,"1,535,056,142,631",제 46 기,2022.12.31 현재,"1,460,752,209,838",17,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"1,660,670,981,711",제 47 기,2023.12.31 현재,"1,597,906,768,659",제 46 기,2022.12.31 현재,"1,522,989,262,567",21,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,IS,손익계산서,매출액,제 48 기,2024.01.01 ~ 2024.12.31,"2,804,739,466,536",제 47 기,2023.01.01 ~ 2023.12.31,"2,620,810,541,515",제 46 기,2022.01.01 ~ 2022.12.31,"2,467,960,276,573",23,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,IS,손익계산서,영업이익,제 48 기,2024.01.01 ~ 2024.12.31,"209,247,073,877",제 47 기,2023.01.01 ~ 2023.12.31,"212,609,320,684",제 46 기,2022.01.01 ~ 2022.12.31,"204,138,904,290",25,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2024.01.01 ~ 2024.12.31,"221,399,062,350",제 47 기,2023.01.01 ~ 2023.12.31,"216,262,487,905",제 46 기,2022.01.01 ~ 2022.12.31,"200,760,270,160",27,KRW
20250312000984,11011,2024,00158501,012750,CFS,연결재무제표,IS,손익계산서,당기순이익,제 48 기,2024.01.01 ~ 2024.12.31,"176,718,837,100",제 47 기,2023.01.01 ~ 2023.12.31,"189,480,545,869",제 46 기,2022.01.01 ~ 2022.12.31,"151,030,832,821",29,KRW
