rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,유동자산,제 49 기,2023.12.31 현재,"225,952,950,744",제 48 기,2022.12.31 현재,"208,120,718,755",제 47 기,2021.12.31 현재,"190,326,178,890",1,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,비유동자산,제 49 기,2023.12.31 현재,"113,856,566,374",제 48 기,2022.12.31 현재,"120,045,348,198",제 47 기,2021.12.31 현재,"138,841,180,912",3,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,자산총계,제 49 기,2023.12.31 현재,"339,809,517,118",제 48 기,2022.12.31 현재,"328,166,066,953",제 47 기,2021.12.31 현재,"329,167,359,802",5,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,유동부채,제 49 기,2023.12.31 현재,"53,855,593,162",제 48 기,2022.12.31 현재,"49,351,856,418",제 47 기,2021.12.31 현재,"46,433,517,001",7,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,비유동부채,제 49 기,2023.12.31 현재,"10,471,339,714",제 48 기,2022.12.31 현재,"15,666,886,642",제 47 기,2021.12.31 현재,"19,671,354,318",9,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,부채총계,제 49 기,2023.12.31 현재,"64,326,932,876",제 48 기,2022.12.31 현재,"65,018,743,060",제 47 기,2021.12.31 현재,"66,104,871,319",11,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 49 기,2023.12.31 현재,"135,921,424,925",제 48 기,2022.12.31 현재,"128,992,348,450",제 47 기,2021.12.31 현재,"128,738,303,293",17,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,자본총계,제 49 기,2023.12.31 현재,"275,482,584,242",제 48 기,2022.12.31 현재,"263,147,323,893",제 47 기,2021.12.31 현재,"263,062,488,483",21,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,IS,손익계산서,매출액,제 49 기,2023.01.01 ~ 2023.12.31,"202,841,327,601",제 48 기,2022.01.01 ~ 2022.12.31,"184,223,689,219",제 47 기,2021.01.01 ~ 2021.12.31,"149,668,812,660",23,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,IS,손익계산서,영업이익,제 49 기,2023.01.01 ~ 2023.12.31,"14,656,304,596",제 48 기,2022.01.01 ~ 2022.12.31,"8,227,979,769",제 47 기,2021.01.01 ~ 2021.12.31,"7,916,703,256",25,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 49 기,2023.01.01 ~ 2023.12.31,"25,791,846,577",제 48 기,2022.01.01 ~ 2022.12.31,"11,520,770,167",제 47 기,2021.01.01 ~ 2021.12.31,"12,219,179,374",27,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,IS,손익계산서,당기순이익,제 49 기,2023.01.01 ~ 2023.12.31,"19,364,289,450",제 48 기,2022.01.01 ~ 2022.12.31,"3,830,315,145",제 47 기,2021.01.01 ~ 2021.12.31,"6,148,773,329",29,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 49 기,2023.12.31 현재,"2,204,002,999",제 48 기,2022.12.31 현재,"4,633,458,990",제 47 기,2021.12.31 현재,"3,355,462,846",35,KRW
20240321001861,11011,2023,00181943,025530,CFS,연결재무제표,IS,손익계산서,이자비용,제 49 기,2023.01.01 ~ 2023.12.31,"1,495,805,745",제 48 기,2022.01.01 ~ 2022.12.31,"936,673,647",제 47 기,2021.01.01 ~ 2021.12.31,"746,600,428",55,KRW
