rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,유동자산,제 36 기,2024.12.31 현재,"98,069,152,406",제 35 기,2023.12.31 현재,"39,928,502,282",제 34 기,2022.12.31 현재,"56,425,638,359",1,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,비유동자산,제 36 기,2024.12.31 현재,"13,835,127,699",제 35 기,2023.12.31 현재,"6,028,700,053",제 34 기,2022.12.31 현재,"4,643,800,632",3,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,자산총계,제 36 기,2024.12.31 현재,"111,904,280,105",제 35 기,2023.12.31 현재,"45,957,202,335",제 34 기,2022.12.31 현재,"61,069,438,991",5,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,유동부채,제 36 기,2024.12.31 현재,"3,544,728,235",제 35 기,2023.12.31 현재,"4,277,294,555",제 34 기,2022.12.31 현재,"4,359,835,252",7,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,비유동부채,제 36 기,2024.12.31 현재,"14,083,657,579",제 35 기,2023.12.31 현재,"6,371,720,325",제 34 기,2022.12.31 현재,"5,489,932,405",9,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,부채총계,제 36 기,2024.12.31 현재,"17,628,385,814",제 35 기,2023.12.31 현재,"10,649,014,880",제 34 기,2022.12.31 현재,"9,849,767,657",11,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,BS,재무상태표,자본총계,제 36 기,2024.12.31 현재,"94,275,894,291",제 35 기,2023.12.31 현재,"35,308,187,455",제 34 기,2022.12.31 현재,"51,219,671,334",21,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,IS,손익계산서,매출액,제 36 기,2024.01.01 ~ 2024.12.31,"11,297,657,663",제 35 기,2023.01.01 ~ 2023.12.31,"5,827,090,761",제 34 기,2022.01.01 ~ 2022.12.31,"6,302,336,682",23,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,IS,손익계산서,영업이익,제 36 기,2024.01.01 ~ 2024.12.31,"-22,615,554,990",제 35 기,2023.01.01 ~ 2023.12.31,"-26,040,976,824",제 34 기,2022.01.01 ~ 2022.12.31,"-18,910,659,422",25,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 36 기,2024.01.01 ~ 2024.12.31,"-21,436,613,481",제 35 기,2023.01.01 ~ 2023.12.31,"-24,499,001,254",제 34 기,2022.01.01 ~ 2022.12.31,"-18,891,877,945",27,KRW
20250311001006,11011,2024,00273110,052020,CFS,연결재무제표,IS,손익계산서,당기순이익,제 36 기,2024.01.01 ~ 2024.12.31,"-21,436,613,481",제 35 기,2023.01.01 ~ 2023.12.31,"-24,499,001,254",제 34 기,2022.01.01 ~ 2022.12.31,"-18,891,877,945",29,KRW
