rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"67,308,003,445",제 13 기,2022.12.31 현재,"74,728,061,961",제 12 기,2021.12.31 현재,"79,150,011,915",2,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"14,413,419,962",제 13 기,2022.12.31 현재,"14,570,857,114",제 12 기,2021.12.31 현재,"14,956,382,526",4,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"81,721,423,407",제 13 기,2022.12.31 현재,"89,298,919,075",제 12 기,2021.12.31 현재,"94,106,394,441",6,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"36,782,374,386",제 13 기,2022.12.31 현재,"51,375,725,298",제 12 기,2021.12.31 현재,"42,063,262,513",8,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"13,137,714,566",제 13 기,2022.12.31 현재,"4,436,787,274",제 12 기,2021.12.31 현재,"16,241,234,723",10,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"49,920,088,952",제 13 기,2022.12.31 현재,"55,812,512,572",제 12 기,2021.12.31 현재,"58,304,497,236",12,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"22,315,160,000",제 13 기,2022.12.31 현재,"22,315,160,000",제 12 기,2021.12.31 현재,"21,086,950,000",15,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"10,955,485,907",제 13 기,2022.12.31 현재,"12,640,557,955",제 12 기,2021.12.31 현재,"15,678,384,136",19,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"31,801,334,455",제 13 기,2022.12.31 현재,"33,486,406,503",제 12 기,2021.12.31 현재,"35,801,897,205",22,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"1,623,391,276",제 13 기,2022.01.01 ~ 2022.12.31,"790,391,095",제 12 기,2021.01.01 ~ 2021.12.31,"7,309,518,772",24,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,466,468,837",제 13 기,2022.01.01 ~ 2022.12.31,"-1,925,255,024",제 12 기,2021.01.01 ~ 2021.12.31,"4,584,207,873",26,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,562,265,794",제 13 기,2022.01.01 ~ 2022.12.31,"-1,875,207,769",제 12 기,2021.01.01 ~ 2021.12.31,"4,336,093,735",28,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,186,876,448",제 13 기,2022.01.01 ~ 2022.12.31,"-1,372,443,739",제 12 기,2021.01.01 ~ 2021.12.31,"3,309,136,113",30,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"-1,186,876,448",제 13 기,2022.01.01 ~ 2022.12.31,"-1,372,443,739",제 12 기,2021.01.01 ~ 2021.12.31,"3,309,136,113",62,KRW
20240311000743,11011,2023,00860730,140910,OFS,재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"-830,026,648",제 13 기,2022.01.01 ~ 2022.12.31,"-786,106,181",제 12 기,2021.01.01 ~ 2021.12.31,"2,950,810,932",64,KRW
