rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"104,272,776,716",제 23 기,2022.12.31 현재,"122,000,890,479",제 22 기,2021.12.31 현재,"116,388,272,149",1,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"69,568,713,272",제 23 기,2022.12.31 현재,"73,430,866,426",제 22 기,2021.12.31 현재,"77,429,197,923",3,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"173,841,489,988",제 23 기,2022.12.31 현재,"195,431,756,905",제 22 기,2021.12.31 현재,"193,817,470,072",5,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"66,562,573,474",제 23 기,2022.12.31 현재,"60,523,173,688",제 22 기,2021.12.31 현재,"61,295,420,152",7,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"19,593,385,689",제 23 기,2022.12.31 현재,"18,833,222,988",제 22 기,2021.12.31 현재,"17,864,502,804",9,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"86,155,959,163",제 23 기,2022.12.31 현재,"79,356,396,676",제 22 기,2021.12.31 현재,"79,159,922,956",11,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"13,516,729,500",제 23 기,2022.12.31 현재,"13,516,729,500",제 22 기,2021.12.31 현재,"13,516,729,500",13,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"101,479,670,807",제 23 기,2022.12.31 현재,"139,838,554,156",제 22 기,2021.12.31 현재,"-6,450,678,722",17,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"87,685,530,825",제 23 기,2022.12.31 현재,"116,075,360,229",제 22 기,2021.12.31 현재,"114,657,547,116",21,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"273,645,246,857",제 23 기,2022.01.01 ~ 2022.12.31,"247,873,188,440",제 22 기,2021.01.01 ~ 2021.12.31,"262,945,930,671",23,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2023.01.01 ~ 2023.12.31,"11,422,012,724",제 23 기,2022.01.01 ~ 2022.12.31,"9,975,863,944",제 22 기,2021.01.01 ~ 2021.12.31,"-22,379,323,056",25,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2023.01.01 ~ 2023.12.31,"9,287,558,069",제 23 기,2022.01.01 ~ 2022.12.31,"6,338,112,513",제 22 기,2021.01.01 ~ 2021.12.31,"-45,536,178,961",27,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2023.01.01 ~ 2023.12.31,"6,146,524,829",제 23 기,2022.01.01 ~ 2022.12.31,"1,074,165,022",제 22 기,2021.01.01 ~ 2021.12.31,"-43,362,048,445",29,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2023.01.01 ~ 2023.12.31,"6,146,524,829",제 23 기,2022.01.01 ~ 2022.12.31,"1,074,165,022",제 22 기,2021.01.01 ~ 2021.12.31,"-43,362,048,445",61,KRW
20240321001776,11011,2023,00400857,078520,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 24 기,2023.01.01 ~ 2023.12.31,"5,688,886,171",제 23 기,2022.01.01 ~ 2022.12.31,"1,417,813,113",제 22 기,2021.01.01 ~ 2021.12.31,"-43,845,606,717",63,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"82,624,135,141",제 23 기,2022.12.31 현재,"98,176,249,463",제 22 기,2021.12.31 현재,"89,866,990,594",2,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"79,929,752,619",제 23 기,2022.12.31 현재,"79,546,990,521",제 22 기,2021.12.31 현재,"82,845,613,828",4,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"162,553,887,760",제 23 기,2022.12.31 현재,"177,723,239,984",제 22 기,2021.12.31 현재,"172,712,604,422",6,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"46,994,667,033",제 23 기,2022.12.31 현재,"37,198,795,494",제 22 기,2021.12.31 현재,"38,947,782,194",8,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"18,748,326,931",제 23 기,2022.12.31 현재,"17,360,330,965",제 22 기,2021.12.31 현재,"14,629,742,350",10,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"65,742,993,964",제 23 기,2022.12.31 현재,"54,559,126,459",제 22 기,2021.12.31 현재,"53,577,524,544",12,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"13,516,729,500",제 23 기,2022.12.31 현재,"13,516,729,500",제 22 기,2021.12.31 현재,"13,516,729,500",15,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"65,661,719,266",제 23 기,2022.12.31 현재,"103,177,598,635",제 22 기,2021.12.31 현재,"-46,194,893,674",19,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"96,810,893,796",제 23 기,2022.12.31 현재,"123,164,113,525",제 22 기,2021.12.31 현재,"119,135,079,878",22,KRW
20240321001776,11011,2023,00400857,078520,OFS,재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"220,528,418,678",제 23 기,2022.01.01 ~ 2022.12.31,"191,998,894,111",제 22 기,2021.01.01 ~ 2021.12.31,"199,450,165,172",24,KRW
