rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"22,964,452,853",제 6 기,2021.12.31 현재,"15,722,150,873",제 5 기,2020.12.31 현재,"22,559,690,932",2,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"11,870,316,292",제 6 기,2021.12.31 현재,"11,285,143,541",제 5 기,2020.12.31 현재,"6,593,757,735",4,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"34,834,769,145",제 6 기,2021.12.31 현재,"27,007,294,414",제 5 기,2020.12.31 현재,"29,153,448,667",6,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"13,504,346,182",제 6 기,2021.12.31 현재,"1,462,489,024",제 5 기,2020.12.31 현재,"1,784,116,406",8,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"1,095,672,248",제 6 기,2021.12.31 현재,"4,264,217,733",제 5 기,2020.12.31 현재,"1,108,868,308",10,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"14,600,018,430",제 6 기,2021.12.31 현재,"5,726,706,757",제 5 기,2020.12.31 현재,"2,892,984,714",12,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"3,002,332,000",제 6 기,2021.12.31 현재,"2,741,316,000",제 5 기,2020.12.31 현재,"2,645,528,000",15,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"-32,341,914,301",제 6 기,2021.12.31 현재,"-19,362,836,748",제 5 기,2020.12.31 현재,"-8,397,956,782",19,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"20,234,750,715",제 6 기,2021.12.31 현재,"21,280,587,657",제 5 기,2020.12.31 현재,"26,260,463,953",22,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,IS,손익계산서,매출액,제 7 기,2022.01.01 ~ 2022.12.31,"3,667,932,078",제 6 기,2021.01.01 ~ 2021.12.31,"1,857,259,307",제 5 기,2020.01.01 ~ 2020.12.31,"650,150,803",24,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,IS,손익계산서,영업이익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,242,833,549",제 6 기,2021.01.01 ~ 2021.12.31,"-10,954,767,890",제 5 기,2020.01.01 ~ 2020.12.31,"-4,994,498,042",26,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,008,896,040",제 6 기,2021.01.01 ~ 2021.12.31,"-10,919,143,576",제 5 기,2020.01.01 ~ 2020.12.31,"-5,067,722,975",28,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,IS,손익계산서,당기순이익,제 7 기,2022.01.01 ~ 2022.12.31,"-13,008,896,040",제 6 기,2021.01.01 ~ 2021.12.31,"-10,919,143,576",제 5 기,2020.01.01 ~ 2020.12.31,"-5,067,722,975",30,KRW
20230328001015,11011,2022,01480708,376270,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 7 기,2022.01.01 ~ 2022.12.31,"-13,008,896,040",제 6 기,2021.01.01 ~ 2021.12.31,"-10,919,143,576",제 5 기,2020.01.01 ~ 2020.12.31,"-5,067,722,975",62,KRW
