rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,유동자산,제 11 기,2022.12.31 현재,"90,512,523,477",제 10 기,2021.12.31 현재,"90,623,137,179",제 9 기,2020.12.31 현재,"41,435,867,137",1,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,비유동자산,제 11 기,2022.12.31 현재,"91,891,819,329",제 10 기,2021.12.31 현재,"89,875,585,662",제 9 기,2020.12.31 현재,"48,750,151,861",3,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,자산총계,제 11 기,2022.12.31 현재,"182,404,342,806",제 10 기,2021.12.31 현재,"180,498,722,841",제 9 기,2020.12.31 현재,"90,186,018,998",5,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,유동부채,제 11 기,2022.12.31 현재,"17,855,250,814",제 10 기,2021.12.31 현재,"19,757,287,434",제 9 기,2020.12.31 현재,"15,795,668,644",7,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,비유동부채,제 11 기,2022.12.31 현재,"2,901,175,483",제 10 기,2021.12.31 현재,"4,418,191,599",제 9 기,2020.12.31 현재,"3,216,109,376",9,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,부채총계,제 11 기,2022.12.31 현재,"20,756,426,297",제 10 기,2021.12.31 현재,"24,175,479,033",제 9 기,2020.12.31 현재,"19,011,778,020",11,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,자본금,제 11 기,2022.12.31 현재,"9,969,080,000",제 10 기,2021.12.31 현재,"9,969,080,000",제 9 기,2020.12.31 현재,"8,473,718,000",13,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 11 기,2022.12.31 현재,"74,832,278,504",제 10 기,2021.12.31 현재,"66,105,607,498",제 9 기,2020.12.31 현재,"49,494,560,899",17,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,BS,재무상태표,자본총계,제 11 기,2022.12.31 현재,"161,647,916,509",제 10 기,2021.12.31 현재,"156,323,243,808",제 9 기,2020.12.31 현재,"71,174,240,978",21,KRW
20230321001563,11011,2022,01068737,357230,CFS,연결재무제표,IS,손익계산서,매출액,제 11 기,2022.01.01 ~ 2022.12.31,"195,978,389,205",제 10 기,2021.01.01 ~ 2021.12.31,"159,434,998,431",제 9 기,2020.01.01 ~ 2020.12.31,"142,787,383,616",23,KRW
