rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"35,141,138,375",제 26 기,2022.12.31 현재,"42,715,802,952",제 25 기,2021.12.31 현재,"40,869,668,129",1,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2023.12.31 현재,"74,412,143,786",제 26 기,2022.12.31 현재,"53,105,757,652",제 25 기,2021.12.31 현재,"55,826,266,228",3,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2023.12.31 현재,"109,553,282,161",제 26 기,2022.12.31 현재,"95,821,560,604",제 25 기,2021.12.31 현재,"96,695,934,357",5,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2023.12.31 현재,"22,850,830,663",제 26 기,2022.12.31 현재,"26,335,812,398",제 25 기,2021.12.31 현재,"24,280,097,686",7,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2023.12.31 현재,"608,532,942",제 26 기,2022.12.31 현재,0,제 25 기,2021.12.31 현재,0,9,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2023.12.31 현재,"23,459,363,605",제 26 기,2022.12.31 현재,"26,335,812,398",제 25 기,2021.12.31 현재,"24,280,097,686",11,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2023.12.31 현재,"6,811,231,000",제 26 기,2022.12.31 현재,"5,902,043,500",제 25 기,2021.12.31 현재,"5,805,497,000",13,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2023.12.31 현재,"-5,251,200,615",제 26 기,2022.12.31 현재,"-7,706,005,109",제 25 기,2021.12.31 현재,"-3,004,234,896",17,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2023.12.31 현재,"86,093,918,556",제 26 기,2022.12.31 현재,"69,485,748,206",제 25 기,2021.12.31 현재,"72,415,836,671",21,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2023.01.01 ~ 2023.12.31,"15,790,408,546",제 26 기,2022.01.01 ~ 2022.12.31,"16,783,759,222",제 25 기,2021.01.01 ~ 2021.12.31,"16,116,313,166",23,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2023.01.01 ~ 2023.12.31,"-2,601,797,272",제 26 기,2022.01.01 ~ 2022.12.31,"-146,748,552",제 25 기,2021.01.01 ~ 2021.12.31,"823,571,661",25,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2023.01.01 ~ 2023.12.31,"2,230,996,124",제 26 기,2022.01.01 ~ 2022.12.31,"-3,944,397,778",제 25 기,2021.01.01 ~ 2021.12.31,"5,582,444,923",27,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,당기순이익,제 27 기,2023.01.01 ~ 2023.12.31,"2,353,149,044",제 26 기,2022.01.01 ~ 2022.12.31,"-4,701,770,213",제 25 기,2021.01.01 ~ 2021.12.31,"5,803,046,870",29,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2023.01.01 ~ 2023.12.31,"2,353,149,044",제 26 기,2022.01.01 ~ 2022.12.31,"-4,701,770,213",제 25 기,2021.01.01 ~ 2021.12.31,"5,803,046,870",61,KRW
20240320000764,11011,2023,00287812,038870,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 27 기,2023.01.01 ~ 2023.12.31,"2,353,413,983",제 26 기,2022.01.01 ~ 2022.12.31,"-4,701,616,690",제 25 기,2021.01.01 ~ 2021.12.31,"5,803,493,066",63,KRW
20240320000764,11011,2023,00287812,038870,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"34,400,625,142",제 26 기,2022.12.31 현재,"42,715,802,952",제 25 기,2021.12.31 현재,"40,869,668,129",2,KRW
20240320000764,11011,2023,00287812,038870,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2023.12.31 현재,"70,602,671,411",제 26 기,2022.12.31 현재,"52,312,358,567",제 25 기,2021.12.31 현재,"53,940,325,389",4,KRW
20240320000764,11011,2023,00287812,038870,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2023.12.31 현재,"105,003,296,553",제 26 기,2022.12.31 현재,"95,028,161,519",제 25 기,2021.12.31 현재,"94,809,993,518",6,KRW
20240320000764,11011,2023,00287812,038870,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2023.12.31 현재,"18,289,913,015",제 26 기,2022.12.31 현재,"26,307,680,664",제 25 기,2021.12.31 현재,"24,253,334,534",8,KRW
