rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2023.12.31 현재,"3,977,045,752,111",제 25 기,2022.12.31 현재,"3,162,551,112,304",제 24 기,2021.12.31 현재,"1,619,673,745,793",1,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2023.12.31 현재,"3,579,933,022,961",제 25 기,2022.12.31 현재,"2,183,231,490,740",제 24 기,2021.12.31 현재,"1,780,771,227,611",3,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2023.12.31 현재,"7,556,978,775,072",제 25 기,2022.12.31 현재,"5,345,782,603,044",제 24 기,2021.12.31 현재,"3,400,444,973,404",5,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2023.12.31 현재,"2,743,576,237,480",제 25 기,2022.12.31 현재,"2,082,665,018,806",제 24 기,2021.12.31 현재,"967,353,222,621",7,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2023.12.31 현재,"1,327,266,810,791",제 25 기,2022.12.31 현재,"741,336,930,529",제 24 기,2021.12.31 현재,"736,177,922,357",9,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2023.12.31 현재,"4,070,843,048,271",제 25 기,2022.12.31 현재,"2,824,001,949,335",제 24 기,2021.12.31 현재,"1,703,531,144,978",11,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2023.12.31 현재,"13,313,835,500",제 25 기,2022.12.31 현재,"12,628,762,500",제 24 기,2021.12.31 현재,"11,987,836,000",13,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2023.12.31 현재,"457,815,317,407",제 25 기,2022.12.31 현재,"424,859,393,453",제 24 기,2021.12.31 현재,"364,413,332,658",17,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2023.12.31 현재,"3,486,135,726,801",제 25 기,2022.12.31 현재,"2,521,780,653,709",제 24 기,2021.12.31 현재,"1,696,913,828,426",21,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2023.01.01 ~ 2023.12.31,"7,260,200,345,722",제 25 기,2022.01.01 ~ 2022.12.31,"5,639,741,327,318",제 24 기,2021.01.01 ~ 2021.12.31,"1,504,191,410,850",23,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2023.01.01 ~ 2023.12.31,"298,172,334,242",제 25 기,2022.01.01 ~ 2022.12.31,"613,226,487,106",제 24 기,2021.01.01 ~ 2021.12.31,"85,956,918,350",25,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2023.01.01 ~ 2023.12.31,"144,197,541,983",제 25 기,2022.01.01 ~ 2022.12.31,"306,616,814,981",제 24 기,2021.01.01 ~ 2021.12.31,"-171,540,107,753",27,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,당기순이익,제 26 기,2023.01.01 ~ 2023.12.31,"135,268,663,790",제 25 기,2022.01.01 ~ 2022.12.31,"220,591,650,311",제 24 기,2021.01.01 ~ 2021.12.31,"278,561,242,483",29,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2023.01.01 ~ 2023.12.31,"135,268,663,790",제 25 기,2022.01.01 ~ 2022.12.31,"220,591,650,311",제 24 기,2021.01.01 ~ 2021.12.31,"278,561,242,483",61,KRW
20240417000532,11011,2023,00536541,086520,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 26 기,2023.01.01 ~ 2023.12.31,"140,366,816,796",제 25 기,2022.01.01 ~ 2022.12.31,"204,714,117,772",제 24 기,2021.01.01 ~ 2021.12.31,"278,064,103,613",63,KRW
20240417000532,11011,2023,00536541,086520,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2023.12.31 현재,"191,773,195,550",제 25 기,2022.12.31 현재,"85,518,930,923",제 24 기,2021.12.31 현재,"177,020,398,734",2,KRW
20240417000532,11011,2023,00536541,086520,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2023.12.31 현재,"1,191,841,055,294",제 25 기,2022.12.31 현재,"766,097,598,715",제 24 기,2021.12.31 현재,"623,330,894,263",4,KRW
20240417000532,11011,2023,00536541,086520,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2023.12.31 현재,"1,383,614,250,844",제 25 기,2022.12.31 현재,"851,616,529,638",제 24 기,2021.12.31 현재,"800,351,292,997",6,KRW
20240417000532,11011,2023,00536541,086520,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2023.12.31 현재,"232,158,369,032",제 25 기,2022.12.31 현재,"131,486,088,494",제 24 기,2021.12.31 현재,"28,236,680,327",8,KRW
