rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기,2022.12.31 현재,"76,143,405,944",제 22 기,2021.12.31 현재,"12,036,839,914",제 21 기,2020.12.31 현재,"13,842,652,975",1,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기,2022.12.31 현재,"36,581,702,291",제 22 기,2021.12.31 현재,"64,742,263,456",제 21 기,2020.12.31 현재,"50,501,912,569",3,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2022.12.31 현재,"112,725,108,235",제 22 기,2021.12.31 현재,"76,779,103,370",제 21 기,2020.12.31 현재,"64,344,565,544",5,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기,2022.12.31 현재,"44,758,857,520",제 22 기,2021.12.31 현재,"18,228,492,595",제 21 기,2020.12.31 현재,"17,343,472,551",7,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기,2022.12.31 현재,"11,814,824,473",제 22 기,2021.12.31 현재,"14,330,575,792",제 21 기,2020.12.31 현재,"14,499,517,635",9,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2022.12.31 현재,"56,573,681,993",제 22 기,2021.12.31 현재,"32,559,068,387",제 21 기,2020.12.31 현재,"31,842,990,186",11,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2022.12.31 현재,"5,700,000,000",제 22 기,2021.12.31 현재,"5,700,000,000",제 21 기,2020.12.31 현재,"5,700,000,000",13,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2022.12.31 현재,"33,539,657,445",제 22 기,2021.12.31 현재,"25,418,002,894",제 21 기,2020.12.31 현재,"25,169,120,712",17,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2022.12.31 현재,"56,151,426,242",제 22 기,2021.12.31 현재,"44,220,034,983",제 21 기,2020.12.31 현재,"32,501,575,358",21,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2022.01.01 ~ 2022.12.31,"18,648,483,465",제 22 기,2021.01.01 ~ 2021.12.31,"21,621,261,151",제 21 기,2020.01.01 ~ 2020.12.31,"24,353,676,348",23,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,IS,손익계산서,영업이익,제 23 기,2022.01.01 ~ 2022.12.31,"-4,486,494,279",제 22 기,2021.01.01 ~ 2021.12.31,"-3,043,181,177",제 21 기,2020.01.01 ~ 2020.12.31,"-1,267,977,521",25,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2022.01.01 ~ 2022.12.31,"-5,407,163,918",제 22 기,2021.01.01 ~ 2021.12.31,"-1,755,591,443",제 21 기,2020.01.01 ~ 2020.12.31,"-1,462,533,528",27,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,IS,손익계산서,당기순이익,제 23 기,2022.01.01 ~ 2022.12.31,"8,054,026,250",제 22 기,2021.01.01 ~ 2021.12.31,"233,774,491",제 21 기,2020.01.01 ~ 2020.12.31,"233,774,491",29,KRW
20230323001130,11011,2022,00442561,073540,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2022.01.01 ~ 2022.12.31,"8,054,026,250",제 22 기,2021.01.01 ~ 2021.12.31,"233,774,491",제 21 기,2020.01.01 ~ 2020.12.31,"233,774,491",61,KRW
