rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"45,094,981,365",제 21 기,2022.12.31 현재,"28,321,931,045",제 20 기,2021.12.31 현재,"36,225,746,871",1,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"63,502,647,682",제 21 기,2022.12.31 현재,"64,044,454,985",제 20 기,2021.12.31 현재,"63,567,478,405",3,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"108,597,629,047",제 21 기,2022.12.31 현재,"92,366,386,030",제 20 기,2021.12.31 현재,"99,793,225,276",5,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"33,456,916,821",제 21 기,2022.12.31 현재,"15,996,617,236",제 20 기,2021.12.31 현재,"20,581,093,699",7,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"9,990,113,228",제 21 기,2022.12.31 현재,"12,383,330,183",제 20 기,2021.12.31 현재,"18,722,453,232",9,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"43,447,030,049",제 21 기,2022.12.31 현재,"28,379,947,419",제 20 기,2021.12.31 현재,"39,303,546,931",11,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2023.12.31 현재,"4,245,361,000",제 21 기,2022.12.31 현재,"4,245,361,000",제 20 기,2021.12.31 현재,"4,192,861,000",13,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"24,206,184,796",제 21 기,2022.12.31 현재,"23,616,947,082",제 20 기,2021.12.31 현재,"18,538,713,419",17,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2023.12.31 현재,"65,150,598,998",제 21 기,2022.12.31 현재,"63,986,438,611",제 20 기,2021.12.31 현재,"60,489,678,345",21,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2023.01.01 ~ 2023.12.31,"38,883,827,391",제 21 기,2022.01.01 ~ 2022.12.31,"67,642,003,556",제 20 기,2021.01.01 ~ 2021.12.31,"66,085,795,000",23,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2023.01.01 ~ 2023.12.31,"2,282,069,656",제 21 기,2022.01.01 ~ 2022.12.31,"5,815,829,219",제 20 기,2021.01.01 ~ 2021.12.31,"2,356,433,619",25,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2023.01.01 ~ 2023.12.31,"1,721,818,987",제 21 기,2022.01.01 ~ 2022.12.31,"5,611,222,773",제 20 기,2021.01.01 ~ 2021.12.31,"1,372,700,709",27,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2023.01.01 ~ 2023.12.31,"1,439,084,726",제 21 기,2022.01.01 ~ 2022.12.31,"4,049,584,294",제 20 기,2021.01.01 ~ 2021.12.31,"930,878,486",29,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2023.01.01 ~ 2023.12.31,"1,439,084,726",제 21 기,2022.01.01 ~ 2022.12.31,"4,049,584,294",제 20 기,2021.01.01 ~ 2021.12.31,"930,878,486",61,KRW
20240320001404,11011,2023,00476036,083500,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 22 기,2023.01.01 ~ 2023.12.31,"2,424,414,202",제 21 기,2022.01.01 ~ 2022.12.31,"4,271,138,065",제 20 기,2021.01.01 ~ 2021.12.31,"1,081,772,884",63,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"38,544,030,696",제 21 기,2022.12.31 현재,"23,500,509,374",제 20 기,2021.12.31 현재,"32,100,492,706",2,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"61,889,817,690",제 21 기,2022.12.31 현재,"62,600,987,782",제 20 기,2021.12.31 현재,"60,788,519,120",4,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"100,433,848,386",제 21 기,2022.12.31 현재,"86,101,497,156",제 20 기,2021.12.31 현재,"92,889,011,826",6,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"26,526,936,828",제 21 기,2022.12.31 현재,"12,281,166,260",제 20 기,2021.12.31 현재,"16,795,925,300",8,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"9,935,403,228",제 21 기,2022.12.31 현재,"12,223,289,674",제 20 기,2021.12.31 현재,"18,211,970,445",10,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"36,462,340,056",제 21 기,2022.12.31 현재,"24,504,455,934",제 20 기,2021.12.31 현재,"35,007,895,745",12,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"24,939,338,134",제 21 기,2022.12.31 현재,"23,467,501,060",제 20 기,2021.12.31 현재,"18,345,887,855",19,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,BS,재무상태표,자본총계,제 22 기,2023.12.31 현재,"63,971,508,330",제 21 기,2022.12.31 현재,"61,597,041,222",제 20 기,2021.12.31 현재,"57,881,116,081",22,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,매출액,제 22 기,2023.01.01 ~ 2023.12.31,"33,389,858,686",제 21 기,2022.01.01 ~ 2022.12.31,"64,994,895,144",제 20 기,2021.01.01 ~ 2021.12.31,"65,166,652,120",24,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,영업이익,제 22 기,2023.01.01 ~ 2023.12.31,"3,194,981,317",제 21 기,2022.01.01 ~ 2022.12.31,"7,906,584,290",제 20 기,2021.01.01 ~ 2021.12.31,"3,686,117,575",26,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2023.01.01 ~ 2023.12.31,"2,824,990,743",제 21 기,2022.01.01 ~ 2022.12.31,"6,475,381,859",제 20 기,2021.01.01 ~ 2021.12.31,"1,919,930,386",28,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,당기순이익,제 22 기,2023.01.01 ~ 2023.12.31,"2,598,130,042",제 21 기,2022.01.01 ~ 2022.12.31,"4,913,743,380",제 20 기,2021.01.01 ~ 2021.12.31,"1,491,123,655",30,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2023.01.01 ~ 2023.12.31,"2,598,130,042",제 21 기,2022.01.01 ~ 2022.12.31,"4,913,743,380",제 20 기,2021.01.01 ~ 2021.12.31,"1,491,123,655",62,KRW
20240320001404,11011,2023,00476036,083500,OFS,재무제표,IS,손익계산서,총포괄손익,제 22 기,2023.01.01 ~ 2023.12.31,"3,634,720,923",제 21 기,2022.01.01 ~ 2022.12.31,"5,049,187,940",제 20 기,2021.01.01 ~ 2021.12.31,"1,587,448,133",64,KRW
