rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,유동자산,제 40 기,2023.12.31 현재,"169,799,529,022",제 39 기,2022.12.31 현재,"85,643,414,298",제 38 기,2021.12.31 현재,"71,679,874,499",1,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,비유동자산,제 40 기,2023.12.31 현재,"67,458,663,574",제 39 기,2022.12.31 현재,"99,177,734,394",제 38 기,2021.12.31 현재,"59,046,653,703",3,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,자산총계,제 40 기,2023.12.31 현재,"247,666,086,117",제 39 기,2022.12.31 현재,"185,745,934,911",제 38 기,2021.12.31 현재,"130,726,528,202",5,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,유동부채,제 40 기,2023.12.31 현재,"41,882,694,058",제 39 기,2022.12.31 현재,"40,936,876,556",제 38 기,2021.12.31 현재,"26,677,276,032",7,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,비유동부채,제 40 기,2023.12.31 현재,"21,073,486,798",제 39 기,2022.12.31 현재,"16,577,515,563",제 38 기,2021.12.31 현재,"1,334,645,531",9,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,부채총계,제 40 기,2023.12.31 현재,"62,956,180,856",제 39 기,2022.12.31 현재,"57,514,392,119",제 38 기,2021.12.31 현재,"28,011,921,563",11,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 40 기,2023.12.31 현재,"23,982,925,280",제 39 기,2022.12.31 현재,"-29,935,295,387",제 38 기,2021.12.31 현재,"-37,093,120,063",17,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,BS,재무상태표,자본총계,제 40 기,2023.12.31 현재,"184,709,905,261",제 39 기,2022.12.31 현재,"128,231,542,792",제 38 기,2021.12.31 현재,"102,714,606,639",21,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,IS,손익계산서,매출액,제 40 기,2023.01.01 ~ 2023.12.31,"91,535,244,729",제 39 기,2022.01.01 ~ 2022.12.31,"76,687,877,838",제 38 기,2021.01.01 ~ 2021.12.31,"69,091,619,546",23,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,IS,손익계산서,영업이익,제 40 기,2023.01.01 ~ 2023.12.31,"-1,104,109,608",제 39 기,2022.01.01 ~ 2022.12.31,"870,341,567",제 38 기,2021.01.01 ~ 2021.12.31,"1,930,104,625",25,KRW
20240320000476,11011,2023,00172228,085310,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 40 기,2023.01.01 ~ 2023.12.31,"63,365,312,655",제 39 기,2022.01.01 ~ 2022.12.31,"10,508,709,657",제 38 기,2021.01.01 ~ 2021.12.31,"11,162,525,109",27,KRW
