rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"8,881,178,804",제 21 기,2022.12.31 현재,"24,902,891,865",제 20 기,2021.12.31 현재,"29,837,895,066",1,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"45,564,054,790",제 21 기,2022.12.31 현재,"144,792,166,072",제 20 기,2021.12.31 현재,"150,762,899,036",3,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"54,445,233,594",제 21 기,2022.12.31 현재,"169,695,057,937",제 20 기,2021.12.31 현재,"180,600,794,102",5,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"60,026,080,267",제 21 기,2022.12.31 현재,"71,192,888,972",제 20 기,2021.12.31 현재,"42,668,983,111",7,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"3,756,311,386",제 21 기,2022.12.31 현재,"15,281,079,028",제 20 기,2021.12.31 현재,"18,029,828,565",9,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2023.12.31 현재,"63,782,391,653",제 21 기,2022.12.31 현재,"86,473,968,000",제 20 기,2021.12.31 현재,"60,698,811,676",11,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2023.12.31 현재,"41,434,845,500",제 21 기,2022.12.31 현재,"20,168,997,000",제 20 기,2021.12.31 현재,"19,509,399,000",13,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2023.12.31 현재,"-302,974,813,789",제 21 기,2022.12.31 현재,"-191,040,003,016",제 20 기,2021.12.31 현재,"-138,012,297,690",17,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2023.12.31 현재,"-9,337,158,059",제 21 기,2022.12.31 현재,"83,221,089,937",제 20 기,2021.12.31 현재,"119,901,982,426",21,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2023.01.01 ~ 2023.12.31,"-67,323,456,909",제 21 기,2022.01.01 ~ 2022.12.31,"-49,653,047,361",제 20 기,2021.01.01 ~ 2021.12.31,"-47,440,426,375",25,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2023.01.01 ~ 2023.12.31,"-165,500,332,198",제 21 기,2022.01.01 ~ 2022.12.31,"-56,658,399,256",제 20 기,2021.01.01 ~ 2021.12.31,"-50,094,805,319",27,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2023.01.01 ~ 2023.12.31,"-153,434,090,142",제 21 기,2022.01.01 ~ 2022.12.31,"-55,607,367,453",제 20 기,2021.01.01 ~ 2021.12.31,"-51,078,962,327",29,KRW
20250623000200,11011,2023,00977650,182400,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2023.01.01 ~ 2023.12.31,"-153,434,090,142",제 21 기,2022.01.01 ~ 2022.12.31,"-55,607,367,453",제 20 기,2021.01.01 ~ 2021.12.31,"-51,078,962,327",61,KRW
20250623000200,11011,2023,00977650,182400,OFS,재무제표,BS,재무상태표,유동자산,제 22 기,2023.12.31 현재,"8,563,387,413",제 21 기,2022.12.31 현재,"23,673,209,391",제 20 기,2021.12.31 현재,"30,131,924,512",2,KRW
20250623000200,11011,2023,00977650,182400,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기,2023.12.31 현재,"45,848,949,624",제 21 기,2022.12.31 현재,"125,118,194,449",제 20 기,2021.12.31 현재,"177,336,333,948",4,KRW
20250623000200,11011,2023,00977650,182400,OFS,재무제표,BS,재무상태표,자산총계,제 22 기,2023.12.31 현재,"54,412,337,037",제 21 기,2022.12.31 현재,"148,791,403,840",제 20 기,2021.12.31 현재,"207,468,258,460",6,KRW
20250623000200,11011,2023,00977650,182400,OFS,재무제표,BS,재무상태표,유동부채,제 22 기,2023.12.31 현재,"59,125,163,492",제 21 기,2022.12.31 현재,"52,358,314,318",제 20 기,2021.12.31 현재,"23,934,651,364",8,KRW
20250623000200,11011,2023,00977650,182400,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기,2023.12.31 현재,"3,756,311,386",제 21 기,2022.12.31 현재,"15,278,301,385",제 20 기,2021.12.31 현재,"18,000,112,857",10,KRW
