rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,유동자산,제 10 기,2023.12.31 현재,"37,663,746,124",제 9 기,2022.12.31 현재,"38,889,151,241",제 8 기,2022.06.30 현재,"70,759,177,960",1,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,비유동자산,제 10 기,2023.12.31 현재,"82,609,716,809",제 9 기,2022.12.31 현재,"70,324,052,895",제 8 기,2022.06.30 현재,"48,848,028,502",3,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,자산총계,제 10 기,2023.12.31 현재,"120,273,462,933",제 9 기,2022.12.31 현재,"109,213,204,136",제 8 기,2022.06.30 현재,"119,607,206,462",5,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,유동부채,제 10 기,2023.12.31 현재,"6,206,812,028",제 9 기,2022.12.31 현재,"11,329,686,761",제 8 기,2022.06.30 현재,"29,025,211,842",7,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,비유동부채,제 10 기,2023.12.31 현재,"1,722,970,576",제 9 기,2022.12.31 현재,"657,045,791",제 8 기,2022.06.30 현재,"781,516,240",9,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,부채총계,제 10 기,2023.12.31 현재,"7,929,782,604",제 9 기,2022.12.31 현재,"11,986,732,552",제 8 기,2022.06.30 현재,"29,806,728,082",11,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,자본금,제 10 기,2023.12.31 현재,"10,357,553,000",제 9 기,2022.12.31 현재,"10,030,173,100",제 8 기,2022.06.30 현재,"9,157,157,500",13,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 10 기,2023.12.31 현재,"-49,484,692,898",제 9 기,2022.12.31 현재,"-60,222,254,769",제 8 기,2022.06.30 현재,"-60,988,521,211",17,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,BS,재무상태표,자본총계,제 10 기,2023.12.31 현재,"112,343,680,329",제 9 기,2022.12.31 현재,"97,226,471,584",제 8 기,2022.06.30 현재,"89,800,478,380",21,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,IS,손익계산서,매출액,제 10 기,2023.01.01 ~ 2023.12.31,"34,305,986,615",제 9 기,2022.07.01 ~ 2022.12.31,"21,405,514,240",제 8 기,2021.07.01 ~ 2022.06.30,"29,565,637,103",23,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,IS,손익계산서,영업이익,제 10 기,2023.01.01 ~ 2023.12.31,"-1,919,414,632",제 9 기,2022.07.01 ~ 2022.12.31,"-1,933,857,914",제 8 기,2021.07.01 ~ 2022.06.30,"1,366,081,518",25,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2023.01.01 ~ 2023.12.31,"11,348,222,487",제 9 기,2022.07.01 ~ 2022.12.31,"1,034,571,578",제 8 기,2021.07.01 ~ 2022.06.30,"6,100,300,825",27,KRW
20240328001879,11011,2023,01105621,227950,CFS,연결재무제표,IS,손익계산서,당기순이익,제 10 기,2023.01.01 ~ 2023.12.31,"11,125,550,062",제 9 기,2022.07.01 ~ 2022.12.31,"985,029,548",제 8 기,2021.07.01 ~ 2022.06.30,"3,083,784,403",29,KRW
