rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,유동자산,제 9 기,2022.12.31 현재,"8,336,898,521",제 8 기,2021.12.31 현재,"6,541,591,074",제 8 기초,2021.01.01 현재,"5,639,284,003",2,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,비유동자산,제 9 기,2022.12.31 현재,"7,028,292,058",제 8 기,2021.12.31 현재,"6,439,793,859",제 8 기초,2021.01.01 현재,"6,632,110,485",4,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,자산총계,제 9 기,2022.12.31 현재,"15,365,190,579",제 8 기,2021.12.31 현재,"12,981,384,933",제 8 기초,2021.01.01 현재,"12,271,394,488",6,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,유동부채,제 9 기,2022.12.31 현재,"5,869,342,339",제 8 기,2021.12.31 현재,"7,609,683,600",제 8 기초,2021.01.01 현재,"5,243,253,053",8,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,비유동부채,제 9 기,2022.12.31 현재,"4,081,154,663",제 8 기,2021.12.31 현재,"4,044,185,038",제 8 기초,2021.01.01 현재,"4,402,669,388",10,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,부채총계,제 9 기,2022.12.31 현재,"9,950,497,002",제 8 기,2021.12.31 현재,"11,653,868,638",제 8 기초,2021.01.01 현재,"9,645,922,441",12,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,자본금,제 9 기,2022.12.31 현재,"1,581,701,000",제 8 기,2021.12.31 현재,"1,277,255,000",제 8 기초,2021.01.01 현재,"1,277,255,000",15,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,이익잉여금,제 9 기,2022.12.31 현재,"-221,862,472",제 8 기,2021.12.31 현재,"-1,356,141,802",제 8 기초,2021.01.01 현재,"25,019,510",19,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,BS,재무상태표,자본총계,제 9 기,2022.12.31 현재,"5,414,693,577",제 8 기,2021.12.31 현재,"1,327,516,295",제 8 기초,2021.01.01 현재,"2,625,472,047",22,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,IS,손익계산서,매출액,제 9 기,2022.01.01 ~ 2022.12.31,"16,887,886,334",제 8 기,2021.01.01 ~ 2021.12.31,"9,196,497,232",제 7 기,2020.01.01 ~ 2020.12.31,-,24,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,IS,손익계산서,영업이익,제 9 기,2022.01.01 ~ 2022.12.31,"1,703,656,654",제 8 기,2021.01.01 ~ 2021.12.31,"-1,104,707,753",제 7 기,2020.01.01 ~ 2020.12.31,-,26,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2022.01.01 ~ 2022.12.31,"1,041,500,617",제 8 기,2021.01.01 ~ 2021.12.31,"-1,382,307,847",제 7 기,2020.01.01 ~ 2020.12.31,-,28,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,IS,손익계산서,당기순이익,제 9 기,2022.01.01 ~ 2022.12.31,"1,134,279,330",제 8 기,2021.01.01 ~ 2021.12.31,"-1,381,161,312",제 7 기,2020.01.01 ~ 2020.12.31,-,30,KRW
20230323001188,11011,2022,01264234,311060,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 9 기,2022.01.01 ~ 2022.12.31,"1,134,279,330",제 8 기,2021.01.01 ~ 2021.12.31,"-1,381,161,312",제 7 기,2020.01.01 ~ 2020.12.31,-,62,KRW
