rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,유동자산,제 21 기,2023.12.31 현재,"256,311,245,267",제 20 기,2022.12.31 현재,"268,999,426,251",제 19 기,2021.12.31 현재,"136,711,583,536",1,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 21 기,2023.12.31 현재,"63,949,024,330",제 20 기,2022.12.31 현재,"52,323,716,753",제 19 기,2021.12.31 현재,"41,557,792,931",3,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,자산총계,제 21 기,2023.12.31 현재,"320,260,269,597",제 20 기,2022.12.31 현재,"321,323,143,004",제 19 기,2021.12.31 현재,"178,269,376,467",5,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,유동부채,제 21 기,2023.12.31 현재,"239,562,405,654",제 20 기,2022.12.31 현재,"229,070,289,267",제 19 기,2021.12.31 현재,"106,486,631,838",7,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 21 기,2023.12.31 현재,"6,557,292,714",제 20 기,2022.12.31 현재,"35,808,414,430",제 19 기,2021.12.31 현재,"19,916,807,398",9,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,부채총계,제 21 기,2023.12.31 현재,"246,119,698,368",제 20 기,2022.12.31 현재,"264,878,703,697",제 19 기,2021.12.31 현재,"126,403,439,236",11,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,자본금,제 21 기,2023.12.31 현재,"6,141,201,000",제 20 기,2022.12.31 현재,"6,141,201,000",제 19 기,2021.12.31 현재,"5,741,657,500",13,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 21 기,2023.12.31 현재,"41,728,104,571",제 20 기,2022.12.31 현재,"22,011,307,437",제 19 기,2021.12.31 현재,"6,141,872,514",17,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,BS,재무상태표,자본총계,제 21 기,2023.12.31 현재,"74,140,571,229",제 20 기,2022.12.31 현재,"56,444,439,307",제 19 기,2021.12.31 현재,"51,865,937,231",21,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,매출액,제 21 기,2023.01.01 ~ 2023.12.31,"340,051,608,007",제 20 기,2022.01.01 ~ 2022.12.31,"116,611,603,644",제 19 기,2021.01.01 ~ 2021.12.31,"76,481,804,767",23,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,영업이익,제 21 기,2023.01.01 ~ 2023.12.31,"23,880,060,108",제 20 기,2022.01.01 ~ 2022.12.31,"-9,856,864,630",제 19 기,2021.01.01 ~ 2021.12.31,"-14,018,699,827",25,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2023.01.01 ~ 2023.12.31,"23,677,440,108",제 20 기,2022.01.01 ~ 2022.12.31,"-20,980,586,546",제 19 기,2021.01.01 ~ 2021.12.31,"-12,044,890,071",27,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,당기순이익,제 21 기,2023.01.01 ~ 2023.12.31,"20,003,842,508",제 20 기,2022.01.01 ~ 2022.12.31,"-15,229,187,767",제 19 기,2021.01.01 ~ 2021.12.31,"-8,072,162,307",29,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 21 기,2023.01.01 ~ 2023.12.31,"20,003,842,508",제 20 기,2022.01.01 ~ 2022.12.31,"-15,229,187,767",제 19 기,2021.01.01 ~ 2021.12.31,"-8,072,162,307",61,KRW
20240318000715,11011,2023,00833064,259630,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 21 기,2023.01.01 ~ 2023.12.31,"20,003,842,508",제 20 기,2022.01.01 ~ 2022.12.31,"-15,229,187,767",제 19 기,2021.01.01 ~ 2021.12.31,"-8,072,162,307",63,KRW
20240318000715,11011,2023,00833064,259630,OFS,재무제표,BS,재무상태표,유동자산,제 21 기,2023.12.31 현재,"255,691,809,148",제 20 기,2022.12.31 현재,"268,828,355,585",제 19 기,2021.12.31 현재,"136,516,809,611",2,KRW
