rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"243,785,076,346",제 47 기,2023.12.31 현재,"262,428,629,346",제 46 기,2022.12.31 현재,"273,435,838,538",1,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"269,611,025,134",제 47 기,2023.12.31 현재,"281,674,197,787",제 46 기,2022.12.31 현재,"262,248,656,803",3,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"513,396,101,480",제 47 기,2023.12.31 현재,"544,102,827,133",제 46 기,2022.12.31 현재,"535,684,495,341",5,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"239,390,594,983",제 47 기,2023.12.31 현재,"250,149,721,865",제 46 기,2022.12.31 현재,"258,920,495,495",7,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"57,168,429,511",제 47 기,2023.12.31 현재,"64,081,943,985",제 46 기,2022.12.31 현재,"78,607,704,003",9,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"296,559,024,494",제 47 기,2023.12.31 현재,"314,231,665,850",제 46 기,2022.12.31 현재,"337,528,199,498",11,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"50,655,186,000",제 47 기,2023.12.31 현재,"50,655,186,000",제 46 기,2022.12.31 현재,"50,655,186,000",13,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"83,239,037,872",제 47 기,2023.12.31 현재,"90,920,178,097",제 46 기,2022.12.31 현재,"98,704,810,767",17,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"216,837,076,986",제 47 기,2023.12.31 현재,"229,871,161,283",제 46 기,2022.12.31 현재,"198,156,295,843",21,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,매출액,제 48 기,2024.01.01 ~ 2024.12.31,"480,348,334,559",제 47 기,2023.01.01 ~ 2023.12.31,"497,499,818,426",제 46 기,2022.01.01 ~ 2022.12.31,"527,368,738,331",23,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,영업이익,제 48 기,2024.01.01 ~ 2024.12.31,"3,072,645,371",제 47 기,2023.01.01 ~ 2023.12.31,"1,168,473,876",제 46 기,2022.01.01 ~ 2022.12.31,"4,226,983,642",25,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2024.01.01 ~ 2024.12.31,"-16,456,991,693",제 47 기,2023.01.01 ~ 2023.12.31,"-8,795,468,493",제 46 기,2022.01.01 ~ 2022.12.31,"-2,245,507,060",27,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,당기순이익,제 48 기,2024.01.01 ~ 2024.12.31,"-14,974,053,410",제 47 기,2023.01.01 ~ 2023.12.31,"-8,496,706,680",제 46 기,2022.01.01 ~ 2022.12.31,"-2,856,624,481",29,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 48 기,2024.01.01 ~ 2024.12.31,"-14,974,053,410",제 47 기,2023.01.01 ~ 2023.12.31,"-8,496,706,680",제 46 기,2022.01.01 ~ 2022.12.31,"-2,856,624,481",61,KRW
20250328001676,11011,2024,00141477,012160,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 48 기,2024.01.01 ~ 2024.12.31,"-17,053,483,247",제 47 기,2023.01.01 ~ 2023.12.31,"33,866,163,984",제 46 기,2022.01.01 ~ 2022.12.31,"-356,449,800",63,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"96,273,599,666",제 47 기,2023.12.31 현재,"125,139,444,390",제 46 기,2022.12.31 현재,"141,742,412,891",2,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"233,754,282,587",제 47 기,2023.12.31 현재,"251,420,988,911",제 46 기,2022.12.31 현재,"212,406,830,705",4,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"330,027,882,253",제 47 기,2023.12.31 현재,"376,560,433,301",제 46 기,2022.12.31 현재,"354,149,243,596",6,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"99,935,526,407",제 47 기,2023.12.31 현재,"126,842,328,386",제 46 기,2022.12.31 현재,"141,008,463,254",8,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"28,479,685,349",제 47 기,2023.12.31 현재,"38,705,318,553",제 46 기,2022.12.31 현재,"36,057,401,172",10,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"128,415,211,756",제 47 기,2023.12.31 현재,"165,547,646,939",제 46 기,2022.12.31 현재,"177,065,864,426",12,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"50,655,186,000",제 47 기,2023.12.31 현재,"50,655,186,000",제 46 기,2022.12.31 현재,"50,655,186,000",15,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"82,295,723,842",제 47 기,2023.12.31 현재,"90,920,178,097",제 46 기,2022.12.31 현재,"98,704,810,767",19,KRW
20250328001676,11011,2024,00141477,012160,OFS,재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"201,612,670,497",제 47 기,2023.12.31 현재,"211,012,786,362",제 46 기,2022.12.31 현재,"177,083,379,170",22,KRW
