rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,유동자산,제 9 기,2024.12.31 현재,"19,085,816,332",제 8 기,2023.12.31 현재,"20,929,944,497",제 7 기,2022.12.31 현재,"28,443,479,688",1,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,비유동자산,제 9 기,2024.12.31 현재,"34,235,710,009",제 8 기,2023.12.31 현재,"33,276,784,425",제 7 기,2022.12.31 현재,"34,735,828,624",3,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,자산총계,제 9 기,2024.12.31 현재,"53,321,526,341",제 8 기,2023.12.31 현재,"54,206,728,922",제 7 기,2022.12.31 현재,"63,179,308,312",5,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,유동부채,제 9 기,2024.12.31 현재,"26,940,481,336",제 8 기,2023.12.31 현재,"20,401,705,068",제 7 기,2022.12.31 현재,"14,819,464,504",7,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,비유동부채,제 9 기,2024.12.31 현재,"10,090,806,920",제 8 기,2023.12.31 현재,"11,769,889,378",제 7 기,2022.12.31 현재,"15,790,735,335",9,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,부채총계,제 9 기,2024.12.31 현재,"37,031,288,256",제 8 기,2023.12.31 현재,"32,171,594,446",제 7 기,2022.12.31 현재,"30,610,199,839",11,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,자본금,제 9 기,2024.12.31 현재,"3,300,044,000",제 8 기,2023.12.31 현재,"3,300,044,000",제 7 기,2022.12.31 현재,"3,300,044,000",13,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 9 기,2024.12.31 현재,"-9,313,229,307",제 8 기,2023.12.31 현재,"-3,549,285,216",제 7 기,2022.12.31 현재,"6,721,071,081",17,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,BS,재무상태표,자본총계,제 9 기,2024.12.31 현재,"16,290,238,085",제 8 기,2023.12.31 현재,"22,035,134,476",제 7 기,2022.12.31 현재,"32,569,108,473",21,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,IS,손익계산서,매출액,제 9 기,2024.01.01 ~ 2024.12.31,"43,613,399,679",제 8 기,2023.01.01 ~ 2023.12.31,"44,115,964,461",제 7 기,2022.01.01 ~ 2022.12.31,"53,167,628,119",23,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,IS,손익계산서,영업이익,제 9 기,2024.01.01 ~ 2024.12.31,"-3,239,922,015",제 8 기,2023.01.01 ~ 2023.12.31,"-8,799,246,731",제 7 기,2022.01.01 ~ 2022.12.31,"-8,014,902,290",25,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2024.01.01 ~ 2024.12.31,"-5,722,388,134",제 8 기,2023.01.01 ~ 2023.12.31,"-9,846,978,065",제 7 기,2022.01.01 ~ 2022.12.31,"-9,949,210,376",27,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,IS,손익계산서,당기순이익,제 9 기,2024.01.01 ~ 2024.12.31,"-5,968,714,963",제 8 기,2023.01.01 ~ 2023.12.31,"-10,208,264,710",제 7 기,2022.01.01 ~ 2022.12.31,"-9,116,961,811",29,KRW
20250321001918,11011,2024,01166109,250930,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 9 기,2024.01.01 ~ 2024.12.31,"-5,968,714,963",제 8 기,2023.01.01 ~ 2023.12.31,"-10,208,264,710",제 7 기,2022.01.01 ~ 2022.12.31,"-9,116,961,811",61,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,유동자산,제 9 기,2024.12.31 현재,"7,299,133,970",제 8 기,2023.12.31 현재,"16,864,134,527",제 7 기,2022.12.31 현재,"17,756,799,820",2,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,비유동자산,제 9 기,2024.12.31 현재,"23,827,764,045",제 8 기,2023.12.31 현재,"34,307,477,092",제 7 기,2022.12.31 현재,"37,999,380,655",4,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,자산총계,제 9 기,2024.12.31 현재,"31,126,898,015",제 8 기,2023.12.31 현재,"51,171,611,619",제 7 기,2022.12.31 현재,"55,756,180,475",6,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,유동부채,제 9 기,2024.12.31 현재,"22,597,567,494",제 8 기,2023.12.31 현재,"16,960,179,215",제 7 기,2022.12.31 현재,"12,040,789,247",8,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,비유동부채,제 9 기,2024.12.31 현재,"5,369,712,324",제 8 기,2023.12.31 현재,"9,959,831,871",제 7 기,2022.12.31 현재,"13,679,200,611",10,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,부채총계,제 9 기,2024.12.31 현재,"27,967,279,818",제 8 기,2023.12.31 현재,"26,920,011,086",제 7 기,2022.12.31 현재,"25,719,989,858",12,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,자본금,제 9 기,2024.12.31 현재,"3,300,044,000",제 8 기,2023.12.31 현재,"3,300,044,000",제 7 기,2022.12.31 현재,"3,300,044,000",15,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,이익잉여금,제 9 기,2024.12.31 현재,"-21,215,937,533",제 8 기,2023.12.31 현재,"-123,955,197",제 7 기,2022.12.31 현재,"5,462,085,187",19,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,BS,재무상태표,자본총계,제 9 기,2024.12.31 현재,"3,159,618,197",제 8 기,2023.12.31 현재,"24,251,600,533",제 7 기,2022.12.31 현재,"30,036,190,617",22,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,IS,손익계산서,매출액,제 9 기,2024.01.01 ~ 2024.12.31,"21,390,925,630",제 8 기,2023.01.01 ~ 2023.12.31,"22,755,422,810",제 7 기,2022.01.01 ~ 2022.12.31,"24,041,610,984",24,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,IS,손익계산서,영업이익,제 9 기,2024.01.01 ~ 2024.12.31,"-9,034,016,929",제 8 기,2023.01.01 ~ 2023.12.31,"-5,033,181,609",제 7 기,2022.01.01 ~ 2022.12.31,"-2,979,276,528",26,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2024.01.01 ~ 2024.12.31,"-21,347,741,411",제 8 기,2023.01.01 ~ 2023.12.31,"-5,464,581,677",제 7 기,2022.01.01 ~ 2022.12.31,"-1,085,298,400",28,KRW
20250321001918,11011,2024,01166109,250930,OFS,재무제표,IS,손익계산서,당기순이익,제 9 기,2024.01.01 ~ 2024.12.31,"-21,294,287,764",제 8 기,2023.01.01 ~ 2023.12.31,"-5,526,375,896",제 7 기,2022.01.01 ~ 2022.12.31,"-1,547,359,633",30,KRW
