rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2022.12.31 현재,"33,880,639,208",제 24 기,2021.12.31 현재,"35,781,076,244",제 23 기,2020.12.31 현재,"20,024,995,827",1,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2022.12.31 현재,"48,678,796,525",제 24 기,2021.12.31 현재,"41,606,982,469",제 23 기,2020.12.31 현재,"38,282,133,981",3,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2022.12.31 현재,"82,559,435,733",제 24 기,2021.12.31 현재,"77,388,058,713",제 23 기,2020.12.31 현재,"58,307,129,808",5,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2022.12.31 현재,"37,553,390,983",제 24 기,2021.12.31 현재,"23,506,148,697",제 23 기,2020.12.31 현재,"19,030,259,913",7,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2022.12.31 현재,"12,032,516,850",제 24 기,2021.12.31 현재,"18,209,938,562",제 23 기,2020.12.31 현재,"8,452,818,326",9,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2022.12.31 현재,"49,585,907,833",제 24 기,2021.12.31 현재,"41,716,087,259",제 23 기,2020.12.31 현재,"27,483,078,239",11,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2022.12.31 현재,"8,839,649,000",제 24 기,2021.12.31 현재,"8,839,649,000",제 23 기,2020.12.31 현재,"4,419,824,500",13,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2022.12.31 현재,"7,385,921,060",제 24 기,2021.12.31 현재,"5,760,013,537",제 23 기,2020.12.31 현재,"4,296,064,979",17,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2022.12.31 현재,"32,973,527,900",제 24 기,2021.12.31 현재,"35,671,971,454",제 23 기,2020.12.31 현재,"30,824,051,569",21,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2022.01.01 ~ 2022.12.31,"64,176,500,340",제 24 기,2021.01.01 ~ 2021.12.31,"59,303,792,764",제 23 기,2020.01.01 ~ 2020.12.31,"45,119,741,718",23,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2022.01.01 ~ 2022.12.31,"2,609,217,138",제 24 기,2021.01.01 ~ 2021.12.31,"2,579,711,532",제 23 기,2020.01.01 ~ 2020.12.31,"813,396,145",25,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2022.01.01 ~ 2022.12.31,"1,141,223,413",제 24 기,2021.01.01 ~ 2021.12.31,"1,686,083,223",제 23 기,2020.01.01 ~ 2020.12.31,"396,057,787",27,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2022.01.01 ~ 2022.12.31,"3,008,466,956",제 24 기,2021.01.01 ~ 2021.12.31,"1,686,083,223",제 23 기,2020.01.01 ~ 2020.12.31,"396,057,787",29,KRW
20230321000938,11011,2022,00543107,080580,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2022.01.01 ~ 2022.12.31,"3,008,466,956",제 24 기,2021.01.01 ~ 2021.12.31,"1,686,083,223",제 23 기,2020.01.01 ~ 2020.12.31,"396,057,787",61,KRW
20230321000938,11011,2022,00543107,080580,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2022.12.31 현재,"32,826,446,628",제 24 기,2021.12.31 현재,"35,193,466,997",제 23 기,2020.12.31 현재,"19,069,345,974",2,KRW
20230321000938,11011,2022,00543107,080580,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2022.12.31 현재,"51,174,306,596",제 24 기,2021.12.31 현재,"43,638,705,267",제 23 기,2020.12.31 현재,"40,493,999,282",4,KRW
20230321000938,11011,2022,00543107,080580,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2022.12.31 현재,"84,000,753,224",제 24 기,2021.12.31 현재,"78,832,172,264",제 23 기,2020.12.31 현재,"59,563,345,256",6,KRW
20230321000938,11011,2022,00543107,080580,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2022.12.31 현재,"37,374,161,173",제 24 기,2021.12.31 현재,"23,338,436,971",제 23 기,2020.12.31 현재,"18,959,343,183",8,KRW
20230321000938,11011,2022,00543107,080580,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2022.12.31 현재,"11,982,516,850",제 24 기,2021.12.31 현재,"18,159,938,562",제 23 기,2020.12.31 현재,"8,402,818,326",10,KRW
