rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,유동자산,제 18 기,2023.12.31 현재,"4,721,630,811",제 17 기,2022.12.31 현재,"13,873,690,848",제 16 기,2021.12.31 현재,"31,252,029,100",2,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기,2023.12.31 현재,"8,887,967,679",제 17 기,2022.12.31 현재,"11,067,970,465",제 16 기,2021.12.31 현재,"14,812,771,337",4,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,자산총계,제 18 기,2023.12.31 현재,"13,609,598,490",제 17 기,2022.12.31 현재,"24,941,661,313",제 16 기,2021.12.31 현재,"46,064,800,437",6,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,유동부채,제 18 기,2023.12.31 현재,"7,727,595,976",제 17 기,2022.12.31 현재,"12,041,371,154",제 16 기,2021.12.31 현재,"10,996,471,033",8,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기,2023.12.31 현재,"3,388,284,297",제 17 기,2022.12.31 현재,"3,674,170,933",제 16 기,2021.12.31 현재,"4,912,584,762",10,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,부채총계,제 18 기,2023.12.31 현재,"11,115,880,273",제 17 기,2022.12.31 현재,"15,715,542,087",제 16 기,2021.12.31 현재,"15,909,055,795",12,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,자본금,제 18 기,2023.12.31 현재,"16,961,540,000",제 17 기,2022.12.31 현재,"15,510,887,500",제 16 기,2021.12.31 현재,"14,778,019,000",15,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기,2023.12.31 현재,"-237,383,296,505",제 17 기,2022.12.31 현재,"-224,481,121,351",제 16 기,2021.12.31 현재,"-200,279,973,395",19,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2023.12.31 현재,"2,493,718,217",제 17 기,2022.12.31 현재,"9,226,119,226",제 16 기,2021.12.31 현재,"30,155,744,642",22,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2023.01.01 ~ 2023.12.31,"5,289,606,360",제 17 기,2022.01.01 ~ 2022.12.31,"369,374,999",제 16 기,2021.01.01 ~ 2021.12.31,"851,776,623",24,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2023.01.01 ~ 2023.12.31,"-13,706,542,935",제 17 기,2022.01.01 ~ 2022.12.31,"-21,933,793,851",제 16 기,2021.01.01 ~ 2021.12.31,"-25,133,438,261",26,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2023.01.01 ~ 2023.12.31,"-17,218,108,791",제 17 기,2022.01.01 ~ 2022.12.31,"-22,279,698,220",제 16 기,2021.01.01 ~ 2021.12.31,"-25,724,368,427",28,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2023.01.01 ~ 2023.12.31,"-12,949,428,569",제 17 기,2022.01.01 ~ 2022.12.31,"-24,752,092,743",제 16 기,2021.01.01 ~ 2021.12.31,"-25,724,368,427",30,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 18 기,2023.01.01 ~ 2023.12.31,"-12,949,428,569",제 17 기,2022.01.01 ~ 2022.12.31,"-24,752,092,743",제 16 기,2021.01.01 ~ 2021.12.31,"-25,724,368,427",62,KRW
20240320000907,11011,2023,01070149,244460,OFS,재무제표,IS,손익계산서,총포괄손익,제 18 기,2023.01.01 ~ 2023.12.31,"-13,176,721,848",제 17 기,2022.01.01 ~ 2022.12.31,"-24,785,861,317",제 16 기,2021.01.01 ~ 2021.12.31,"-25,472,240,892",64,KRW
