rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기,2022.12.31 현재,"192,515,687,879",제 14 기,2021.12.31 현재,"196,190,041,089",제 13 기,2020.12.31 현재,"177,169,610,656",1,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기,2022.12.31 현재,"208,870,087,292",제 14 기,2021.12.31 현재,"230,594,641,241",제 13 기,2020.12.31 현재,"245,900,448,417",3,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기,2022.12.31 현재,"401,385,775,171",제 14 기,2021.12.31 현재,"426,784,682,330",제 13 기,2020.12.31 현재,"423,070,059,073",5,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기,2022.12.31 현재,"56,182,096,954",제 14 기,2021.12.31 현재,"59,730,083,378",제 13 기,2020.12.31 현재,"82,246,920,464",7,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기,2022.12.31 현재,"2,717,885,411",제 14 기,2021.12.31 현재,"1,937,366,244",제 13 기,2020.12.31 현재,"3,810,971,385",9,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기,2022.12.31 현재,"58,899,982,365",제 14 기,2021.12.31 현재,"61,667,449,622",제 13 기,2020.12.31 현재,"86,057,891,849",11,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,자본금,제 15 기,2022.12.31 현재,"14,093,470,500",제 14 기,2021.12.31 현재,"14,093,470,500",제 13 기,2020.12.31 현재,"14,085,970,500",13,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 15 기,2022.12.31 현재,"200,289,870,945",제 14 기,2021.12.31 현재,"222,945,894,619",제 13 기,2020.12.31 현재,"203,536,288,104",17,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기,2022.12.31 현재,"342,485,792,806",제 14 기,2021.12.31 현재,"365,117,232,708",제 13 기,2020.12.31 현재,"337,012,167,224",21,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기,2022.01.01 ~ 2022.12.31,"345,885,430,881",제 14 기,2021.01.01 ~ 2021.12.31,"370,910,101,924",제 13 기,2020.01.01 ~ 2020.12.31,"335,028,612,963",23,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기,2022.01.01 ~ 2022.12.31,"-12,970,736,720",제 14 기,2021.01.01 ~ 2021.12.31,"13,922,153,398",제 13 기,2020.01.01 ~ 2020.12.31,"17,077,103,764",25,KRW
20230314001089,11011,2022,00759294,122990,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2022.01.01 ~ 2022.12.31,"-17,504,437,145",제 14 기,2021.01.01 ~ 2021.12.31,"25,754,297,794",제 13 기,2020.01.01 ~ 2020.12.31,"13,880,864,584",27,KRW
