rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2024.12.31 현재,"6,325,589,481",제 21 기,2023.12.31 현재,"7,961,628,931",제 20 기,2022.12.31 현재,"2,628,524,650",1,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2024.12.31 현재,"11,290,782,227",제 21 기,2023.12.31 현재,"10,745,746,746",제 20 기,2022.12.31 현재,"15,424,487,096",3,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2024.12.31 현재,"27,286,161,951",제 21 기,2023.12.31 현재,"27,088,475,677",제 20 기,2022.12.31 현재,"46,185,544,815",5,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2024.12.31 현재,"7,492,039,641",제 21 기,2023.12.31 현재,"3,650,086,614",제 20 기,2022.12.31 현재,"13,138,438,185",7,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2024.12.31 현재,"309,345,560",제 21 기,2023.12.31 현재,"1,548,667,023",제 20 기,2022.12.31 현재,"4,053,133,037",9,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2024.12.31 현재,"7,801,385,201",제 21 기,2023.12.31 현재,"5,198,753,637",제 20 기,2022.12.31 현재,"17,191,571,222",11,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2024.12.31 현재,"1,122,970,500",제 21 기,2023.12.31 현재,"11,229,707,500",제 20 기,2022.12.31 현재,"11,229,707,500",13,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2024.12.31 현재,"-30,455,985,062",제 21 기,2023.12.31 현재,"-28,122,275,167",제 20 기,2022.12.31 현재,"-21,229,623,495",17,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2024.12.31 현재,"19,484,776,750",제 21 기,2023.12.31 현재,"21,889,722,040",제 20 기,2022.12.31 현재,"28,993,973,593",21,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2024.01.01 ~ 2024.12.31,-,제 21 기,2023.01.01 ~ 2023.12.31,"1,587,322,165",제 20 기,2022.01.01 ~ 2022.12.31,"10,548,253,065",23,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기,2024.01.01 ~ 2024.12.31,"-1,738,371,384",제 21 기,2023.01.01 ~ 2023.12.31,"-3,673,617,959",제 20 기,2022.01.01 ~ 2022.12.31,"-3,087,270,819",25,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기,2024.01.01 ~ 2024.12.31,"-2,348,895,992",제 21 기,2023.01.01 ~ 2023.12.31,"5,087,200,825",제 20 기,2022.01.01 ~ 2022.12.31,"-11,343,330,722",27,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,IS,손익계산서,당기순이익,제 22 기,2024.01.01 ~ 2024.12.31,"-2,348,915,532",제 21 기,2023.01.01 ~ 2023.12.31,"-6,859,612,036",제 20 기,2022.01.01 ~ 2022.12.31,"-12,132,890,735",29,KRW
20250326000073,11011,2024,00495554,090740,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기,2024.01.01 ~ 2024.12.31,"-2,348,915,532",제 21 기,2023.01.01 ~ 2023.12.31,"-6,859,612,036",제 20 기,2022.01.01 ~ 2022.12.31,"-12,132,890,735",61,KRW
