rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"115,105,128,632",제 25 기,2023.12.31 현재,"91,138,273,341",제 24 기,2022.12.31 현재,"113,902,291,078",1,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"235,461,545,778",제 25 기,2023.12.31 현재,"158,770,736,880",제 24 기,2022.12.31 현재,"134,010,168,645",3,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"350,566,674,410",제 25 기,2023.12.31 현재,"249,909,010,221",제 24 기,2022.12.31 현재,"247,912,459,723",5,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"79,324,814,519",제 25 기,2023.12.31 현재,"81,088,136,055",제 24 기,2022.12.31 현재,"78,960,495,402",7,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"74,657,217,361",제 25 기,2023.12.31 현재,"20,626,739,102",제 24 기,2022.12.31 현재,"17,586,271,462",9,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"153,982,031,880",제 25 기,2023.12.31 현재,"101,714,875,157",제 24 기,2022.12.31 현재,"96,546,766,864",11,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"8,157,232,000",제 25 기,2023.12.31 현재,"8,157,232,000",제 24 기,2022.12.31 현재,"8,157,232,000",13,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"69,411,212,004",제 25 기,2023.12.31 현재,"73,673,407,474",제 24 기,2022.12.31 현재,"76,318,193,802",17,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"196,584,642,530",제 25 기,2023.12.31 현재,"148,194,135,064",제 24 기,2022.12.31 현재,"151,365,692,859",21,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"137,230,743,419",제 25 기,2023.01.01 ~ 2023.12.31,"127,409,975,908",제 24 기,2022.01.01 ~ 2022.12.31,"130,567,178,008",23,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"3,594,293,042",제 25 기,2023.01.01 ~ 2023.12.31,"-3,169,957,958",제 24 기,2022.01.01 ~ 2022.12.31,"3,335,010,594",25,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-894,327,657",제 25 기,2023.01.01 ~ 2023.12.31,"-368,162,648",제 24 기,2022.01.01 ~ 2022.12.31,"3,421,300,252",27,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-2,333,704,898",제 25 기,2023.01.01 ~ 2023.12.31,"-75,859,645",제 24 기,2022.01.01 ~ 2022.12.31,"2,597,047,331",29,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"-2,333,704,898",제 25 기,2023.01.01 ~ 2023.12.31,"-75,859,645",제 24 기,2022.01.01 ~ 2022.12.31,"2,597,047,331",61,KRW
20250321001995,11011,2024,00602172,251370,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"54,831,066,110",제 25 기,2023.01.01 ~ 2023.12.31,"-391,334,379",제 24 기,2022.01.01 ~ 2022.12.31,"1,632,591,274",63,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"72,163,175,545",제 25 기,2023.12.31 현재,"59,351,150,955",제 24 기,2022.12.31 현재,"65,124,117,792",2,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"187,679,826,748",제 25 기,2023.12.31 현재,"115,615,995,500",제 24 기,2022.12.31 현재,"101,405,598,569",4,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"259,843,002,293",제 25 기,2023.12.31 현재,"174,967,146,455",제 24 기,2022.12.31 현재,"166,529,716,361",6,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"74,589,028,506",제 25 기,2023.12.31 현재,"80,974,243,257",제 24 기,2022.12.31 현재,"72,939,000,154",8,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"71,186,559,790",제 25 기,2023.12.31 현재,"19,075,203,938",제 24 기,2022.12.31 현재,"14,425,144,621",10,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"145,775,588,296",제 25 기,2023.12.31 현재,"100,049,447,195",제 24 기,2022.12.31 현재,"87,364,144,775",12,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"8,157,232,000",제 25 기,2023.12.31 현재,"8,157,232,000",제 24 기,2022.12.31 현재,"8,157,232,000",15,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"22,207,114,560",제 25 기,2023.12.31 현재,"26,028,386,009",제 24 기,2022.12.31 현재,"31,742,138,899",19,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"114,067,413,997",제 25 기,2023.12.31 현재,"74,917,699,260",제 24 기,2022.12.31 현재,"79,165,571,586",22,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"76,761,660,283",제 25 기,2023.01.01 ~ 2023.12.31,"73,875,217,419",제 24 기,2022.01.01 ~ 2022.12.31,"75,094,731,776",24,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"-4,874,128,370",제 25 기,2023.01.01 ~ 2023.12.31,"-12,071,988,734",제 24 기,2022.01.01 ~ 2022.12.31,"-7,320,775,487",26,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-4,878,936,211",제 25 기,2023.01.01 ~ 2023.12.31,"-5,525,724,013",제 24 기,2022.01.01 ~ 2022.12.31,"-5,607,670,249",28,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-3,772,276,230",제 25 기,2023.01.01 ~ 2023.12.31,"-5,692,103,517",제 24 기,2022.01.01 ~ 2022.12.31,"-4,208,023,465",30,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"-3,772,276,230",제 25 기,2023.01.01 ~ 2023.12.31,"-5,692,103,517",제 24 기,2022.01.01 ~ 2022.12.31,"-4,208,023,465",62,KRW
20250321001995,11011,2024,00602172,251370,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"41,052,792,283",제 25 기,2023.01.01 ~ 2023.12.31,"-5,541,449,952",제 24 기,2022.01.01 ~ 2022.12.31,"-4,040,716,820",64,KRW
