rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,자산총계,제 5 기,2023.12.31 현재,"498,004,936,000,000",제 4 기,2022.12.31 현재,"480,474,396,000,000",제 3 기,2021.12.31 현재,"447,183,871,000,000",5,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,부채총계,제 5 기,2023.12.31 현재,"464,607,446,000,000",제 4 기,2022.12.31 현재,"448,847,054,000,000",제 3 기,2021.12.31 현재,"418,333,676,000,000",11,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,자본금,제 5 기,2023.12.31 현재,"3,802,676,000,000",제 4 기,2022.12.31 현재,"3,640,303,000,000",제 3 기,2021.12.31 현재,"3,640,303,000,000",13,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 5 기,2023.12.31 현재,"24,986,470,000,000",제 4 기,2022.12.31 현재,"23,750,152,000,000",제 3 기,2021.12.31 현재,"21,392,564,000,000",17,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,자본총계,제 5 기,2023.12.31 현재,"33,397,490,000,000",제 4 기,2022.12.31 현재,"31,627,342,000,000",제 3 기,2021.12.31 현재,"28,850,195,000,000",21,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 5 기,2023.01.01 ~ 2023.12.31,"3,517,453,000,000",제 4 기,2022.01.01 ~ 2022.12.31,"4,485,374,000,000",제 3 기,2021.01.01 ~ 2021.12.31,"3,749,241,000,000",27,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,IS,손익계산서,당기순이익,제 5 기,2023.01.01 ~ 2023.12.31,"2,626,894,000,000",제 4 기,2022.01.01 ~ 2022.12.31,"3,323,982,000,000",제 3 기,2021.01.01 ~ 2021.12.31,"2,807,371,000,000",29,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,예수부채,제 5 기,2023.12.31 현재,"357,784,297,000,000",제 4 기,2022.12.31 현재,"342,105,209,000,000",제 3 기,2021.12.31 현재,"317,899,871,000,000",31,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,차입부채,제 5 기,2023.12.31 현재,"30,986,746,000,000",제 4 기,2022.12.31 현재,"28,429,603,000,000",제 3 기,2021.12.31 현재,"24,755,459,000,000",33,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 5 기,2023.12.31 현재,"21,544,756,000,000",제 4 기,2022.12.31 현재,"19,860,573,000,000",제 3 기,2021.12.31 현재,"13,497,234,000,000",35,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 5 기,2023.12.31 현재,"37,891,495,000,000",제 4 기,2022.12.31 현재,"33,085,080,000,000",제 3 기,2021.12.31 현재,"39,119,789,000,000",37,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,BS,재무상태표,상각후원가측정금융자산,제 5 기,2023.12.31 현재,"373,148,148,000,000",제 4 기,2022.12.31 현재,"355,760,729,000,000",제 3 기,2021.12.31 현재,"348,885,617,000,000",39,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,IS,손익계산서,순이자손익,제 5 기,2023.01.01 ~ 2023.12.31,"8,742,540,000,000",제 4 기,2022.01.01 ~ 2022.12.31,"8,696,579,000,000",제 3 기,2021.01.01 ~ 2021.12.31,"6,985,721,000,000",51,KRW
20240516001472,11011,2023,01350869,316140,CFS,연결재무제표,IS,손익계산서,이자수익,제 5 기,2023.01.01 ~ 2023.12.31,"20,641,554,000,000",제 4 기,2022.01.01 ~ 2022.12.31,"14,654,549,000,000",제 3 기,2021.01.01 ~ 2021.12.31,"9,894,749,000,000",53,KRW
