rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"405,199,756,419",제 24 기,2023.12.31 현재,"452,664,450,711",제 23 기,2022.12.31 현재,"412,972,558,908",1,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"204,617,418,366",제 24 기,2023.12.31 현재,"132,875,951,315",제 23 기,2022.12.31 현재,"145,964,723,853",3,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"609,817,174,785",제 24 기,2023.12.31 현재,"585,540,402,026",제 23 기,2022.12.31 현재,"558,937,282,761",5,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"280,792,552,120",제 24 기,2023.12.31 현재,"317,144,498,114",제 23 기,2022.12.31 현재,"304,306,831,427",7,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"59,820,448,747",제 24 기,2023.12.31 현재,"17,293,057,227",제 23 기,2022.12.31 현재,"27,901,729,638",9,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"340,613,000,867",제 24 기,2023.12.31 현재,"334,437,555,341",제 23 기,2022.12.31 현재,"332,208,561,065",11,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"24,228,289,000",제 24 기,2023.12.31 현재,"24,218,289,000",제 23 기,2022.12.31 현재,"23,998,289,000",13,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"53,610,357,573",제 24 기,2023.12.31 현재,"50,091,244,324",제 23 기,2022.12.31 현재,"35,124,725,654",17,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"269,204,173,918",제 24 기,2023.12.31 현재,"251,102,846,685",제 23 기,2022.12.31 현재,"226,728,721,696",21,KRW
20250320000558,11011,2024,00369107,082850,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"1,237,198,398,100",제 24 기,2023.01.01 ~ 2023.12.31,"1,263,943,782,342",제 23 기,2022.01.01 ~ 2022.12.31,"1,355,056,482,797",23,KRW
