rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,유동자산,제 58 기,2023.12.31 현재,"465,388,177,900",제 57 기,2022.12.31 현재,"425,224,982,773",제 56 기,2021.12.31 현재,"510,636,398,293",1,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,비유동자산,제 58 기,2023.12.31 현재,"215,023,529,816",제 57 기,2022.12.31 현재,"227,256,297,198",제 56 기,2021.12.31 현재,"221,351,950,955",3,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,자산총계,제 58 기,2023.12.31 현재,"680,411,707,716",제 57 기,2022.12.31 현재,"652,481,279,971",제 56 기,2021.12.31 현재,"731,988,349,248",5,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,유동부채,제 58 기,2023.12.31 현재,"326,431,953,218",제 57 기,2022.12.31 현재,"313,566,630,270",제 56 기,2021.12.31 현재,"432,064,567,324",7,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,비유동부채,제 58 기,2023.12.31 현재,"33,693,310,306",제 57 기,2022.12.31 현재,"41,327,576,044",제 56 기,2021.12.31 현재,"51,446,835,214",9,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,부채총계,제 58 기,2023.12.31 현재,"360,125,263,524",제 57 기,2022.12.31 현재,"354,894,206,314",제 56 기,2021.12.31 현재,"483,511,402,538",11,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,자본금,제 58 기,2023.12.31 현재,"13,111,673,000",제 57 기,2022.12.31 현재,"13,111,673,000",제 56 기,2021.12.31 현재,"13,111,673,000",13,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 58 기,2023.12.31 현재,"16,166,189,505",제 57 기,2022.12.31 현재,"11,321,299,742",제 56 기,2021.12.31 현재,"3,771,308,672",17,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,BS,재무상태표,자본총계,제 58 기,2023.12.31 현재,"320,286,444,192",제 57 기,2022.12.31 현재,"297,587,073,657",제 56 기,2021.12.31 현재,"248,476,946,710",21,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,매출액,제 58 기,2023.01.01 ~ 2023.12.31,"1,287,955,420,194",제 57 기,2022.01.01 ~ 2022.12.31,"1,379,502,838,155",제 56 기,2021.01.01 ~ 2021.12.31,"1,567,879,463,099",23,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,영업이익,제 58 기,2023.01.01 ~ 2023.12.31,"26,492,122,902",제 57 기,2022.01.01 ~ 2022.12.31,"34,755,229,252",제 56 기,2021.01.01 ~ 2021.12.31,"44,224,962,674",25,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2023.01.01 ~ 2023.12.31,"21,944,596,853",제 57 기,2022.01.01 ~ 2022.12.31,"32,093,319,588",제 56 기,2021.01.01 ~ 2021.12.31,"46,438,779,442",27,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,당기순이익,제 58 기,2023.01.01 ~ 2023.12.31,"18,999,248,402",제 57 기,2022.01.01 ~ 2022.12.31,"25,242,565,416",제 56 기,2021.01.01 ~ 2021.12.31,"54,506,292,196",29,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2023.01.01 ~ 2023.12.31,"18,999,248,402",제 57 기,2022.01.01 ~ 2022.12.31,"25,242,565,416",제 56 기,2021.01.01 ~ 2021.12.31,"54,506,292,196",61,KRW
20240320000491,11011,2023,00155692,037400,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 58 기,2023.01.01 ~ 2023.12.31,"21,941,720,811",제 57 기,2022.01.01 ~ 2022.12.31,"47,811,683,996",제 56 기,2021.01.01 ~ 2021.12.31,"58,904,093,670",63,KRW
20240320000491,11011,2023,00155692,037400,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2023.12.31 현재,"14,580,825,187",제 57 기,2022.12.31 현재,"12,947,775,772",제 56 기,2021.12.31 현재,"12,214,275,519",2,KRW
20240320000491,11011,2023,00155692,037400,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2023.12.31 현재,"147,972,766,842",제 57 기,2022.12.31 현재,"154,587,716,479",제 56 기,2021.12.31 현재,"131,104,139,420",4,KRW
