rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,자산총계,제 190 기,2023.12.31 현재,"458,017,066,000,000",제 189 기,2022.12.31 현재,"443,340,979,000,000",제 188 기,2021.12.31 현재,"415,976,627,000,000",5,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,부채총계,제 190 기,2023.12.31 현재,"431,313,614,000,000",제 189 기,2022.12.31 현재,"417,583,793,000,000",제 188 기,2021.12.31 현재,"391,315,108,000,000",11,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,자본금,제 190 기,2023.12.31 현재,"3,581,392,000,000",제 189 기,2022.12.31 현재,"3,581,392,000,000",제 188 기,2021.12.31 현재,"3,581,392,000,000",13,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 190 기,2023.12.31 현재,"21,925,092,000,000",제 189 기,2022.12.31 현재,"20,948,168,000,000",제 188 기,2021.12.31 현재,"19,383,229,000,000",17,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,자본총계,제 190 기,2023.12.31 현재,"26,703,452,000,000",제 189 기,2022.12.31 현재,"25,757,186,000,000",제 188 기,2021.12.31 현재,"24,661,519,000,000",21,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 190 기,2023.01.01 ~ 2023.12.31,"3,329,434,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"3,862,708,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"3,175,283,000,000",27,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,당기순이익,제 190 기,2023.01.01 ~ 2023.12.31,"2,515,080,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"2,903,409,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"2,385,106,000,000",29,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,예수부채,제 190 기,2023.12.31 현재,"353,851,379,000,000",제 189 기,2022.12.31 현재,"338,923,832,000,000",제 188 기,2021.12.31 현재,"314,778,574,000,000",31,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,차입부채,제 190 기,2023.12.31 현재,"25,254,732,000,000",제 189 기,2022.12.31 현재,"23,028,206,000,000",제 188 기,2021.12.31 현재,"21,376,880,000,000",33,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 190 기,2023.12.31 현재,"20,561,927,000,000",제 189 기,2022.12.31 현재,"18,489,573,000,000",제 188 기,2021.12.31 현재,"11,933,349,000,000",35,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 190 기,2023.12.31 현재,"37,811,173,000,000",제 189 기,2022.12.31 현재,"33,000,262,000,000",제 188 기,2021.12.31 현재,"39,042,051,000,000",37,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,BS,재무상태표,상각후원가측정금융자산,제 190 기,2023.12.31 현재,"340,740,764,000,000",제 189 기,2022.12.31 현재,"325,919,599,000,000",제 188 기,2021.12.31 현재,"323,017,411,000,000",39,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,순이자손익,제 190 기,2023.01.01 ~ 2023.12.31,"7,436,256,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"7,417,724,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"5,922,020,000,000",51,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,이자수익,제 190 기,2023.01.01 ~ 2023.12.31,"18,385,867,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"12,742,404,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"8,434,027,000,000",53,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,이자비용,제 190 기,2023.01.01 ~ 2023.12.31,"10,949,611,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"5,324,680,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"2,512,007,000,000",55,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,영업이익(손실),제 190 기,2023.01.01 ~ 2023.12.31,"3,316,958,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"3,783,187,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"3,072,692,000,000",59,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 190 기,2023.01.01 ~ 2023.12.31,"2,515,080,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"2,903,409,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"2,385,106,000,000",61,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 190 기,2023.01.01 ~ 2023.12.31,"3,217,380,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"2,658,539,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"2,545,671,000,000",63,KRW
20240326000240,11011,2023,00254045,000030,CFS,연결재무제표,IS,손익계산서,순수수료손익,제 190 기,2023.01.01 ~ 2023.12.31,"880,177,000,000",제 189 기,2022.01.01 ~ 2022.12.31,"927,114,000,000",제 188 기,2021.01.01 ~ 2021.12.31,"932,390,000,000",67,KRW
20240326000240,11011,2023,00254045,000030,OFS,재무제표,BS,재무상태표,자산총계,제 190 기,2023.12.31 현재,"436,687,888,000,000",제 189 기,2022.12.31 현재,"424,535,517,000,000",제 188 기,2021.12.31 현재,"397,357,115,000,000",6,KRW
20240326000240,11011,2023,00254045,000030,OFS,재무제표,BS,재무상태표,부채총계,제 190 기,2023.12.31 현재,"411,591,135,000,000",제 189 기,2022.12.31 현재,"400,101,660,000,000",제 188 기,2021.12.31 현재,"373,666,559,000,000",12,KRW
20240326000240,11011,2023,00254045,000030,OFS,재무제표,BS,재무상태표,자본금,제 190 기,2023.12.31 현재,"3,581,392,000,000",제 189 기,2022.12.31 현재,"3,581,392,000,000",제 188 기,2021.12.31 현재,"3,581,392,000,000",15,KRW
