rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,유동자산,제 55 기,2024.12.31 현재,"243,003,797,804",제 54 기,2023.12.31 현재,"248,068,670,570",제 53 기,2022.12.31 현재,"255,997,620,670",1,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,비유동자산,제 55 기,2024.12.31 현재,"187,587,680,390",제 54 기,2023.12.31 현재,"177,258,893,373",제 53 기,2022.12.31 현재,"145,971,652,339",3,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,자산총계,제 55 기,2024.12.31 현재,"430,591,478,194",제 54 기,2023.12.31 현재,"425,327,563,943",제 53 기,2022.12.31 현재,"401,969,273,009",5,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,유동부채,제 55 기,2024.12.31 현재,"185,029,802,110",제 54 기,2023.12.31 현재,"211,111,514,188",제 53 기,2022.12.31 현재,"213,958,999,643",7,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,비유동부채,제 55 기,2024.12.31 현재,"45,383,374,070",제 54 기,2023.12.31 현재,"31,696,519,522",제 53 기,2022.12.31 현재,"14,778,289,830",9,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,부채총계,제 55 기,2024.12.31 현재,"230,413,176,180",제 54 기,2023.12.31 현재,"242,808,033,710",제 53 기,2022.12.31 현재,"228,737,289,473",11,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,자본금,제 55 기,2024.12.31 현재,"15,450,000,000",제 54 기,2023.12.31 현재,"15,450,000,000",제 53 기,2022.12.31 현재,"15,450,000,000",13,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 55 기,2024.12.31 현재,"191,025,215,263",제 54 기,2023.12.31 현재,"172,967,349,560",제 53 기,2022.12.31 현재,"163,647,226,210",17,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,BS,재무상태표,자본총계,제 55 기,2024.12.31 현재,"200,178,302,014",제 54 기,2023.12.31 현재,"182,519,530,233",제 53 기,2022.12.31 현재,"173,231,983,536",21,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,IS,손익계산서,매출액,제 55 기,2024.01.01 ~ 2024.12.31,"606,198,677,648",제 54 기,2023.01.01 ~ 2023.12.31,"634,838,094,173",제 53 기,2022.01.01 ~ 2022.12.31,"612,322,385,130",23,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,IS,손익계산서,영업이익,제 55 기,2024.01.01 ~ 2024.12.31,"8,591,748,464",제 54 기,2023.01.01 ~ 2023.12.31,"5,680,812,539",제 53 기,2022.01.01 ~ 2022.12.31,"-607,442,610",25,KRW
20250313001232,11011,2024,00142661,006980,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 55 기,2024.01.01 ~ 2024.12.31,"18,569,443,910",제 54 기,2023.01.01 ~ 2023.12.31,"13,385,736,455",제 53 기,2022.01.01 ~ 2022.12.31,"-6,085,804,739",27,KRW
