rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,유동자산,제 29 기,2024.12.31 현재,"111,398,434,553",제 28 기,2023.12.31 현재,"102,510,082,384",제 27 기,2022.12.31 현재,"97,953,704,389",2,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,비유동자산,제 29 기,2024.12.31 현재,"149,534,508,194",제 28 기,2023.12.31 현재,"152,600,305,145",제 27 기,2022.12.31 현재,"158,301,426,383",4,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,자산총계,제 29 기,2024.12.31 현재,"260,932,942,747",제 28 기,2023.12.31 현재,"255,110,387,529",제 27 기,2022.12.31 현재,"256,255,130,772",6,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,유동부채,제 29 기,2024.12.31 현재,"62,652,762,928",제 28 기,2023.12.31 현재,"85,695,830,112",제 27 기,2022.12.31 현재,"101,937,429,822",8,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,비유동부채,제 29 기,2024.12.31 현재,"25,112,900,404",제 28 기,2023.12.31 현재,"23,380,383,271",제 27 기,2022.12.31 현재,"29,672,423,624",10,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,부채총계,제 29 기,2024.12.31 현재,"87,765,663,332",제 28 기,2023.12.31 현재,"109,076,213,383",제 27 기,2022.12.31 현재,"131,609,853,446",12,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,자본금,제 29 기,2024.12.31 현재,"6,827,817,000",제 28 기,2023.12.31 현재,"6,827,817,000",제 27 기,2022.12.31 현재,"6,827,817,000",15,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,이익잉여금,제 29 기,2024.12.31 현재,"53,755,564,668",제 28 기,2023.12.31 현재,"26,622,459,399",제 27 기,2022.12.31 현재,"5,233,562,579",19,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,자본총계,제 29 기,2024.12.31 현재,"173,167,279,415",제 28 기,2023.12.31 현재,"146,034,174,146",제 27 기,2022.12.31 현재,"124,645,277,326",22,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,매출액,제 29 기,2024.01.01 ~ 2024.12.31,"183,248,928,232",제 28 기,2023.01.01 ~ 2023.12.31,"200,055,393,194",제 27 기,2022.01.01 ~ 2022.12.31,"120,652,726,573",24,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,영업이익,제 29 기,2024.01.01 ~ 2024.12.31,"31,088,289,307",제 28 기,2023.01.01 ~ 2023.12.31,"25,271,416,847",제 27 기,2022.01.01 ~ 2022.12.31,"5,227,117,874",26,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 29 기,2024.01.01 ~ 2024.12.31,"34,628,540,876",제 28 기,2023.01.01 ~ 2023.12.31,"23,381,979,793",제 27 기,2022.01.01 ~ 2022.12.31,"3,943,186,987",28,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,당기순이익,제 29 기,2024.01.01 ~ 2024.12.31,"27,431,646,592",제 28 기,2023.01.01 ~ 2023.12.31,"21,805,463,572",제 27 기,2022.01.01 ~ 2022.12.31,"2,135,780,152",30,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,차입부채,제 29 기,2024.12.31 현재,"23,500,000,000",제 28 기,2023.12.31 현재,"46,300,000,000",제 27 기,2022.12.31 현재,"48,300,000,000",34,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,BS,재무상태표,파생상품부채,제 29 기,2024.12.31 현재,"2,152,817,752",제 28 기,2023.12.31 현재,-,제 27 기,2022.12.31 현재,-,50,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 29 기,2024.01.01 ~ 2024.12.31,"27,431,646,592",제 28 기,2023.01.01 ~ 2023.12.31,"21,805,463,572",제 27 기,2022.01.01 ~ 2022.12.31,"2,135,780,152",62,KRW
20250326000506,11011,2024,00450931,101970,OFS,재무제표,IS,손익계산서,총포괄손익,제 29 기,2024.01.01 ~ 2024.12.31,"27,133,105,269",제 28 기,2023.01.01 ~ 2023.12.31,"21,388,896,820",제 27 기,2022.01.01 ~ 2022.12.31,"2,840,455,483",64,KRW
