rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"203,364,101,352",제 24 기,2022.12.31 현재,"193,891,164,427",제 23 기,2021.12.31 현재,"180,462,605,146",1,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"95,094,019,028",제 24 기,2022.12.31 현재,"99,014,090,368",제 23 기,2021.12.31 현재,"97,071,068,480",3,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"298,458,120,380",제 24 기,2022.12.31 현재,"292,905,254,795",제 23 기,2021.12.31 현재,"277,533,673,626",5,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"73,870,792,659",제 24 기,2022.12.31 현재,"67,013,964,833",제 23 기,2021.12.31 현재,"61,760,794,351",7,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"662,476,655",제 24 기,2022.12.31 현재,"355,683,748",제 23 기,2021.12.31 현재,"273,866,505",9,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"74,533,269,314",제 24 기,2022.12.31 현재,"67,369,648,581",제 23 기,2021.12.31 현재,"62,034,660,856",11,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"205,809,494,128",제 24 기,2022.12.31 현재,"205,778,455,189",제 23 기,2021.12.31 현재,"200,042,028,015",17,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"223,924,851,066",제 24 기,2022.12.31 현재,"225,535,606,214",제 23 기,2021.12.31 현재,"215,499,012,770",21,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"159,897,623,025",제 24 기,2022.01.01 ~ 2022.12.31,"186,384,259,092",제 23 기,2021.01.01 ~ 2021.12.31,"204,851,560,560",23,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"8,014,187,683",제 24 기,2022.01.01 ~ 2022.12.31,"20,547,097,627",제 23 기,2021.01.01 ~ 2021.12.31,"27,709,390,686",25,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"8,800,690,901",제 24 기,2022.01.01 ~ 2022.12.31,"20,306,364,148",제 23 기,2021.01.01 ~ 2021.12.31,"26,775,460,742",27,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"5,615,967,439",제 24 기,2022.01.01 ~ 2022.12.31,"12,219,357,336",제 23 기,2021.01.01 ~ 2021.12.31,"16,699,077,730",29,KRW
20240320000915,11011,2023,00390903,065680,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"5,615,967,439",제 24 기,2022.01.01 ~ 2022.12.31,"12,219,357,336",제 23 기,2021.01.01 ~ 2021.12.31,"16,699,077,730",61,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"181,522,142,775",제 24 기,2022.12.31 현재,"178,305,181,945",제 23 기,2021.12.31 현재,"165,811,689,549",2,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"123,127,916,982",제 24 기,2022.12.31 현재,"118,210,454,137",제 23 기,2021.12.31 현재,"113,319,677,783",4,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"304,650,059,757",제 24 기,2022.12.31 현재,"296,515,636,082",제 23 기,2021.12.31 현재,"279,131,367,332",6,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"74,518,941,006",제 24 기,2022.12.31 현재,"64,016,033,212",제 23 기,2021.12.31 현재,"61,466,703,661",8,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"196,110,829",제 24 기,2022.12.31 현재,"123,642,512",제 23 기,2021.12.31 현재,"50,898,318",10,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"74,715,051,835",제 24 기,2022.12.31 현재,"64,139,675,724",제 23 기,2021.12.31 현재,"61,517,601,979",12,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"4,967,110,000",제 24 기,2022.12.31 현재,"4,967,110,000",제 23 기,2021.12.31 현재,"4,967,110,000",15,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"213,742,922,133",제 24 기,2022.12.31 현재,"214,991,391,119",제 23 기,2021.12.31 현재,"203,381,288,276",19,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"229,935,007,922",제 24 기,2022.12.31 현재,"232,375,960,358",제 23 기,2021.12.31 현재,"217,613,765,353",22,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"157,458,753,928",제 24 기,2022.01.01 ~ 2022.12.31,"184,290,810,421",제 23 기,2021.01.01 ~ 2021.12.31,"201,247,758,881",24,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"10,081,077,913",제 24 기,2022.01.01 ~ 2022.12.31,"22,976,142,430",제 23 기,2021.01.01 ~ 2021.12.31,"26,354,598,335",26,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"6,737,957,192",제 24 기,2022.01.01 ~ 2022.12.31,"23,411,993,937",제 23 기,2021.01.01 ~ 2021.12.31,"22,012,845,788",28,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"4,336,459,514",제 24 기,2022.01.01 ~ 2022.12.31,"18,093,033,005",제 23 기,2021.01.01 ~ 2021.12.31,"15,624,144,156",30,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"4,336,459,514",제 24 기,2022.01.01 ~ 2022.12.31,"18,093,033,005",제 23 기,2021.01.01 ~ 2021.12.31,"15,624,144,156",62,KRW
20240320000915,11011,2023,00390903,065680,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"4,336,459,514",제 24 기,2022.01.01 ~ 2022.12.31,"18,093,033,005",제 23 기,2021.01.01 ~ 2021.12.31,"15,624,144,156",64,KRW
