rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,유동자산,제 38 기,2022.12.31 현재,"39,443,891,043",제 37 기,2021.12.31 현재,"31,156,469,720",제 36 기,2020.12.31 현재,"28,672,763,667",1,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 38 기,2022.12.31 현재,"52,078,585,397",제 37 기,2021.12.31 현재,"45,351,354,080",제 36 기,2020.12.31 현재,"48,887,903,564",3,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,자산총계,제 38 기,2022.12.31 현재,"91,522,476,440",제 37 기,2021.12.31 현재,"76,507,823,800",제 36 기,2020.12.31 현재,"77,560,667,231",5,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,유동부채,제 38 기,2022.12.31 현재,"17,760,435,402",제 37 기,2021.12.31 현재,"22,376,827,211",제 36 기,2020.12.31 현재,"25,726,537,535",7,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 38 기,2022.12.31 현재,"9,195,593,481",제 37 기,2021.12.31 현재,"9,566,929,847",제 36 기,2020.12.31 현재,"9,824,006,913",9,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,부채총계,제 38 기,2022.12.31 현재,"26,956,028,883",제 37 기,2021.12.31 현재,"31,943,757,058",제 36 기,2020.12.31 현재,"35,550,544,448",11,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,자본금,제 38 기,2022.12.31 현재,"14,444,646,500",제 37 기,2021.12.31 현재,"14,444,646,500",제 36 기,2020.12.31 현재,"13,796,699,000",13,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 38 기,2022.12.31 현재,"-14,596,832,627",제 37 기,2021.12.31 현재,"-15,780,660,294",제 36 기,2020.12.31 현재,"-13,371,061,221",17,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,BS,재무상태표,자본총계,제 38 기,2022.12.31 현재,"64,566,447,557",제 37 기,2021.12.31 현재,"44,564,066,742",제 36 기,2020.12.31 현재,"42,010,122,783",21,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,IS,손익계산서,매출액,제 38 기,2022.01.01 ~ 2022.12.31,"43,703,465,297",제 37 기,2021.01.01 ~ 2021.12.31,"39,347,387,678",제 36 기,2020.01.01 ~ 2020.12.31,"39,524,380,436",23,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,IS,손익계산서,영업이익,제 38 기,2022.01.01 ~ 2022.12.31,"1,155,423,595",제 37 기,2021.01.01 ~ 2021.12.31,"266,657,254",제 36 기,2020.01.01 ~ 2020.12.31,"663,487,705",25,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 38 기,2022.01.01 ~ 2022.12.31,"666,512,641",제 37 기,2021.01.01 ~ 2021.12.31,"-395,890,514",제 36 기,2020.01.01 ~ 2020.12.31,"-736,633,888",27,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,IS,손익계산서,당기순이익,제 38 기,2022.01.01 ~ 2022.12.31,"1,012,603,381",제 37 기,2021.01.01 ~ 2021.12.31,"-1,038,911,104",제 36 기,2020.01.01 ~ 2020.12.31,"-896,105,936",29,KRW
20230321000552,11011,2022,00103547,018620,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 38 기,2022.01.01 ~ 2022.12.31,"1,012,603,381",제 37 기,2021.01.01 ~ 2021.12.31,"-1,038,911,104",제 36 기,2020.01.01 ~ 2020.12.31,"-896,105,936",61,KRW
20230321000552,11011,2022,00103547,018620,OFS,재무제표,BS,재무상태표,유동자산,제 38 기,2022.12.31 현재,"15,064,467,634",제 37 기,2021.12.31 현재,"18,371,712,119",제 36 기,2020.12.31 현재,"17,613,642,586",2,KRW
20230321000552,11011,2022,00103547,018620,OFS,재무제표,BS,재무상태표,비유동자산,제 38 기,2022.12.31 현재,"35,470,846,650",제 37 기,2021.12.31 현재,"35,975,198,530",제 36 기,2020.12.31 현재,"39,576,466,398",4,KRW
20230321000552,11011,2022,00103547,018620,OFS,재무제표,BS,재무상태표,자산총계,제 38 기,2022.12.31 현재,"50,535,314,284",제 37 기,2021.12.31 현재,"54,346,910,649",제 36 기,2020.12.31 현재,"57,190,108,984",6,KRW
20230321000552,11011,2022,00103547,018620,OFS,재무제표,BS,재무상태표,유동부채,제 38 기,2022.12.31 현재,"15,275,800,006",제 37 기,2021.12.31 현재,"19,005,537,167",제 36 기,2020.12.31 현재,"22,440,040,715",8,KRW
