rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,유동자산,제 57 기,2024.12.31 현재,"102,167,521,487",제 56 기,2023.12.31 현재,"99,385,495,353",제 55 기,2022.12.31 현재,"78,165,685,356",1,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,비유동자산,제 57 기,2024.12.31 현재,"82,836,621,278",제 56 기,2023.12.31 현재,"75,583,983,471",제 55 기,2022.12.31 현재,"91,766,141,129",3,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,자산총계,제 57 기,2024.12.31 현재,"185,004,142,765",제 56 기,2023.12.31 현재,"174,969,478,824",제 55 기,2022.12.31 현재,"169,931,826,485",5,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,유동부채,제 57 기,2024.12.31 현재,"26,019,596,905",제 56 기,2023.12.31 현재,"15,814,014,566",제 55 기,2022.12.31 현재,"18,918,952,101",7,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,비유동부채,제 57 기,2024.12.31 현재,"3,921,152,470",제 56 기,2023.12.31 현재,"7,238,282,485",제 55 기,2022.12.31 현재,"7,083,616,369",9,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,부채총계,제 57 기,2024.12.31 현재,"29,940,749,375",제 56 기,2023.12.31 현재,"23,052,297,051",제 55 기,2022.12.31 현재,"26,002,568,470",11,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,자본금,제 57 기,2024.12.31 현재,"11,489,850,000",제 56 기,2023.12.31 현재,"11,489,850,000",제 55 기,2022.12.31 현재,"11,489,850,000",13,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 57 기,2024.12.31 현재,"98,967,274,180",제 56 기,2023.12.31 현재,"96,212,425,342",제 55 기,2022.12.31 현재,"89,928,968,743",17,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,BS,재무상태표,자본총계,제 57 기,2024.12.31 현재,"155,063,393,390",제 56 기,2023.12.31 현재,"151,917,181,773",제 55 기,2022.12.31 현재,"143,929,258,015",21,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,매출액,제 57 기,2024.01.01 ~ 2024.12.31,"82,386,592,601",제 56 기,2023.01.01 ~ 2023.12.31,"84,421,858,608",제 55 기,2022.01.01 ~ 2022.12.31,"81,927,170,601",23,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,영업이익,제 57 기,2024.01.01 ~ 2024.12.31,"1,733,512,084",제 56 기,2023.01.01 ~ 2023.12.31,"5,066,403,417",제 55 기,2022.01.01 ~ 2022.12.31,"3,400,937,500",25,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 57 기,2024.01.01 ~ 2024.12.31,"6,199,242,724",제 56 기,2023.01.01 ~ 2023.12.31,"11,736,559,719",제 55 기,2022.01.01 ~ 2022.12.31,"7,691,933,502",27,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,당기순이익,제 57 기,2024.01.01 ~ 2024.12.31,"4,837,878,605",제 56 기,2023.01.01 ~ 2023.12.31,"10,089,058,402",제 55 기,2022.01.01 ~ 2022.12.31,"9,219,220,479",29,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 57 기,2024.01.01 ~ 2024.12.31,"4,837,878,605",제 56 기,2023.01.01 ~ 2023.12.31,"10,089,058,402",제 55 기,2022.01.01 ~ 2022.12.31,"9,219,220,479",61,KRW
20250321000993,11011,2024,00143794,005820,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 57 기,2024.01.01 ~ 2024.12.31,"4,716,176,617",제 56 기,2023.01.01 ~ 2023.12.31,"9,359,339,258",제 55 기,2022.01.01 ~ 2022.12.31,"9,505,972,682",63,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,유동자산,제 57 기,2024.12.31 현재,"38,756,445,623",제 56 기,2023.12.31 현재,"37,977,797,577",제 55 기,2022.12.31 현재,"35,477,266,304",2,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,비유동자산,제 57 기,2024.12.31 현재,"69,997,073,660",제 56 기,2023.12.31 현재,"69,732,437,674",제 55 기,2022.12.31 현재,"72,586,983,043",4,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,자산총계,제 57 기,2024.12.31 현재,"108,753,519,283",제 56 기,2023.12.31 현재,"107,710,235,251",제 55 기,2022.12.31 현재,"108,064,249,347",6,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,유동부채,제 57 기,2024.12.31 현재,"11,441,641,387",제 56 기,2023.12.31 현재,"11,762,996,323",제 55 기,2022.12.31 현재,"13,796,348,267",8,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,비유동부채,제 57 기,2024.12.31 현재,"2,582,543,911",제 56 기,2023.12.31 현재,"2,907,160,015",제 55 기,2022.12.31 현재,"3,257,385,871",10,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,부채총계,제 57 기,2024.12.31 현재,"14,024,185,298",제 56 기,2023.12.31 현재,"14,670,156,338",제 55 기,2022.12.31 현재,"17,053,734,138",12,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,자본금,제 57 기,2024.12.31 현재,"11,489,850,000",제 56 기,2023.12.31 현재,"11,489,850,000",제 55 기,2022.12.31 현재,"11,489,850,000",15,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,이익잉여금,제 57 기,2024.12.31 현재,"71,349,001,097",제 56 기,2023.12.31 현재,"69,533,186,025",제 55 기,2022.12.31 현재,"67,651,795,807",19,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,BS,재무상태표,자본총계,제 57 기,2024.12.31 현재,"94,729,333,985",제 56 기,2023.12.31 현재,"93,040,078,913",제 55 기,2022.12.31 현재,"91,010,515,209",22,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,매출액,제 57 기,2024.01.01 ~ 2024.12.31,"48,450,629,760",제 56 기,2023.01.01 ~ 2023.12.31,"47,528,387,390",제 55 기,2022.01.01 ~ 2022.12.31,"49,862,821,261",24,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,영업이익,제 57 기,2024.01.01 ~ 2024.12.31,"840,757,978",제 56 기,2023.01.01 ~ 2023.12.31,"776,373,045",제 55 기,2022.01.01 ~ 2022.12.31,"-722,726,556",26,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 57 기,2024.01.01 ~ 2024.12.31,"3,898,416,169",제 56 기,2023.01.01 ~ 2023.12.31,"3,131,885,243",제 55 기,2022.01.01 ~ 2022.12.31,"2,228,052,303",28,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,당기순이익,제 57 기,2024.01.01 ~ 2024.12.31,"3,029,854,359",제 56 기,2023.01.01 ~ 2023.12.31,"2,896,070,377",제 55 기,2022.01.01 ~ 2022.12.31,"1,972,988,523",30,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 57 기,2024.01.01 ~ 2024.12.31,"3,029,854,359",제 56 기,2023.01.01 ~ 2023.12.31,"2,896,070,377",제 55 기,2022.01.01 ~ 2022.12.31,"1,972,988,523",62,KRW
20250321000993,11011,2024,00143794,005820,OFS,재무제표,IS,손익계산서,총포괄손익,제 57 기,2024.01.01 ~ 2024.12.31,"2,717,670,072",제 56 기,2023.01.01 ~ 2023.12.31,"2,749,454,204",제 55 기,2022.01.01 ~ 2022.12.31,"2,113,269,891",64,KRW
