rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,유동자산,제 41 기,2023.12.31 현재,"44,357,326,347",제 40 기,2022.12.31 현재,"38,153,742,346",제 39 기,2021.12.31 현재,"28,285,235,666",1,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,비유동자산,제 41 기,2023.12.31 현재,"327,058,624,640",제 40 기,2022.12.31 현재,"338,855,077,133",제 39 기,2021.12.31 현재,"287,777,025,863",3,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,자산총계,제 41 기,2023.12.31 현재,"371,415,950,987",제 40 기,2022.12.31 현재,"377,008,819,479",제 39 기,2021.12.31 현재,"316,062,261,529",5,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,유동부채,제 41 기,2023.12.31 현재,"62,990,190,503",제 40 기,2022.12.31 현재,"60,670,243,606",제 39 기,2021.12.31 현재,"39,427,384,846",7,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,비유동부채,제 41 기,2023.12.31 현재,"56,781,175,966",제 40 기,2022.12.31 현재,"61,153,846,373",제 39 기,2021.12.31 현재,"60,441,790,097",9,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,부채총계,제 41 기,2023.12.31 현재,"119,771,366,469",제 40 기,2022.12.31 현재,"121,824,089,979",제 39 기,2021.12.31 현재,"99,869,174,943",11,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,자본금,제 41 기,2023.12.31 현재,"9,096,615,000",제 40 기,2022.12.31 현재,"9,096,615,000",제 39 기,2021.12.31 현재,"9,096,615,000",13,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 41 기,2023.12.31 현재,"205,231,055,051",제 40 기,2022.12.31 현재,"208,993,593,463",제 39 기,2021.12.31 현재,"169,247,295,697",17,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,BS,재무상태표,자본총계,제 41 기,2023.12.31 현재,"251,644,584,518",제 40 기,2022.12.31 현재,"255,184,729,500",제 39 기,2021.12.31 현재,"216,193,086,586",21,KRW
20240321001938,11011,2023,00210980,032940,CFS,연결재무제표,IS,손익계산서,매출액,제 41 기,2023.01.01 ~ 2023.12.31,"129,877,118,817",제 40 기,2022.01.01 ~ 2022.12.31,"108,088,691,543",제 39 기,2021.01.01 ~ 2021.12.31,"94,674,873,475",23,KRW
