rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,유동자산,제 38 기,2023.12.31 현재,"149,580,138,269",제 37 기,2022.12.31 현재,"191,585,741,504",제 36 기,2021.12.31 현재,"197,649,924,311",1,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 38 기,2023.12.31 현재,"214,245,659,486",제 37 기,2022.12.31 현재,"219,495,424,613",제 36 기,2021.12.31 현재,"207,924,880,651",3,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,자산총계,제 38 기,2023.12.31 현재,"363,825,797,755",제 37 기,2022.12.31 현재,"411,081,166,117",제 36 기,2021.12.31 현재,"405,574,804,962",5,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,유동부채,제 38 기,2023.12.31 현재,"138,676,469,788",제 37 기,2022.12.31 현재,"167,825,361,530",제 36 기,2021.12.31 현재,"187,677,476,101",7,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 38 기,2023.12.31 현재,"15,587,215,748",제 37 기,2022.12.31 현재,"41,160,923,677",제 36 기,2021.12.31 현재,"19,103,572,528",9,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,부채총계,제 38 기,2023.12.31 현재,"154,263,685,536",제 37 기,2022.12.31 현재,"208,986,285,207",제 36 기,2021.12.31 현재,"206,781,048,629",11,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,자본금,제 38 기,2023.12.31 현재,"8,936,712,500",제 37 기,2022.12.31 현재,"8,936,712,500",제 36 기,2021.12.31 현재,"8,936,712,500",13,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 38 기,2023.12.31 현재,"143,934,500,093",제 37 기,2022.12.31 현재,"137,704,146,492",제 36 기,2021.12.31 현재,"141,271,529,034",17,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,BS,재무상태표,자본총계,제 38 기,2023.12.31 현재,"209,562,112,219",제 37 기,2022.12.31 현재,"202,094,880,910",제 36 기,2021.12.31 현재,"198,793,756,333",21,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,매출액,제 38 기,2023.01.01 ~ 2023.12.31,"375,301,296,669",제 37 기,2022.01.01 ~ 2022.12.31,"328,990,631,593",제 36 기,2021.01.01 ~ 2021.12.31,"400,233,479,027",23,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,영업이익,제 38 기,2023.01.01 ~ 2023.12.31,"6,520,613,635",제 37 기,2022.01.01 ~ 2022.12.31,"3,752,291,090",제 36 기,2021.01.01 ~ 2021.12.31,"25,564,756,337",25,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 38 기,2023.01.01 ~ 2023.12.31,"12,862,706,699",제 37 기,2022.01.01 ~ 2022.12.31,"1,584,215,842",제 36 기,2021.01.01 ~ 2021.12.31,"27,162,517,126",27,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 38 기,2023.01.01 ~ 2023.12.31,"10,001,085,199",제 37 기,2022.01.01 ~ 2022.12.31,"2,179,572,820",제 36 기,2021.01.01 ~ 2021.12.31,"19,982,071,922",29,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 38 기,2023.01.01 ~ 2023.12.31,"10,001,085,199",제 37 기,2022.01.01 ~ 2022.12.31,"2,179,572,820",제 36 기,2021.01.01 ~ 2021.12.31,"19,982,071,922",61,KRW
20240328001348,11011,2023,00293886,044340,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 38 기,2023.01.01 ~ 2023.12.31,"10,628,812,109",제 37 기,2022.01.01 ~ 2022.12.31,"7,951,727,511",제 36 기,2021.01.01 ~ 2021.12.31,"26,139,429,861",63,KRW
20240328001348,11011,2023,00293886,044340,OFS,재무제표,BS,재무상태표,유동자산,제 38 기,2023.12.31 현재,"92,020,226,234",제 37 기,2022.12.31 현재,"140,571,242,944",제 36 기,2021.12.31 현재,"148,442,065,606",2,KRW
20240328001348,11011,2023,00293886,044340,OFS,재무제표,BS,재무상태표,비유동자산,제 38 기,2023.12.31 현재,"174,295,620,087",제 37 기,2022.12.31 현재,"158,746,792,840",제 36 기,2021.12.31 현재,"171,493,196,214",4,KRW
20240328001348,11011,2023,00293886,044340,OFS,재무제표,BS,재무상태표,자산총계,제 38 기,2023.12.31 현재,"266,315,846,321",제 37 기,2022.12.31 현재,"299,318,035,784",제 36 기,2021.12.31 현재,"319,935,261,820",6,KRW
20240328001348,11011,2023,00293886,044340,OFS,재무제표,BS,재무상태표,유동부채,제 38 기,2023.12.31 현재,"86,849,799,879",제 37 기,2022.12.31 현재,"92,549,970,195",제 36 기,2021.12.31 현재,"137,142,677,739",8,KRW
