rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,유동자산,제 43 기,2024.12.31 현재,"10,024,172,086",제 42 기,2023.12.31 현재,"13,931,729,629",제 41 기,2022.12.31 현재,"14,781,059,871",1,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,비유동자산,제 43 기,2024.12.31 현재,"16,474,277,496",제 42 기,2023.12.31 현재,"12,073,100,952",제 41 기,2022.12.31 현재,"12,276,029,131",3,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,자산총계,제 43 기,2024.12.31 현재,"26,498,449,582",제 42 기,2023.12.31 현재,"26,004,830,581",제 41 기,2022.12.31 현재,"27,057,089,002",5,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,유동부채,제 43 기,2024.12.31 현재,"4,455,579,133",제 42 기,2023.12.31 현재,"6,026,311,656",제 41 기,2022.12.31 현재,"8,946,352,872",7,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,비유동부채,제 43 기,2024.12.31 현재,"1,788,251,449",제 42 기,2023.12.31 현재,"1,365,869,124",제 41 기,2022.12.31 현재,"3,467,821,890",9,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,부채총계,제 43 기,2024.12.31 현재,"6,243,830,582",제 42 기,2023.12.31 현재,"7,392,180,780",제 41 기,2022.12.31 현재,"12,414,174,762",11,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,자본금,제 43 기,2024.12.31 현재,"5,058,505,100",제 42 기,2023.12.31 현재,"5,058,505,100",제 41 기,2022.12.31 현재,"5,058,505,100",13,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 43 기,2024.12.31 현재,"-70,773,942,268",제 42 기,2023.12.31 현재,"-72,416,371,109",제 41 기,2022.12.31 현재,"-76,387,905,801",17,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,BS,재무상태표,자본총계,제 43 기,2024.12.31 현재,"20,254,619,000",제 42 기,2023.12.31 현재,"18,612,649,801",제 41 기,2022.12.31 현재,"14,642,914,240",21,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,매출액,제 43 기,2024.01.01 ~ 2024.12.31,"13,851,006,275",제 42 기,2023.01.01 ~ 2023.12.31,"13,189,950,426",제 41 기,2022.01.01 ~ 2022.12.31,"18,142,668,345",23,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,영업이익,제 43 기,2024.01.01 ~ 2024.12.31,"2,476,575,409",제 42 기,2023.01.01 ~ 2023.12.31,"1,844,080,996",제 41 기,2022.01.01 ~ 2022.12.31,"-2,725,257,264",25,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 43 기,2024.01.01 ~ 2024.12.31,"1,713,299,080",제 42 기,2023.01.01 ~ 2023.12.31,"4,412,895,953",제 41 기,2022.01.01 ~ 2022.12.31,"2,078,060,139",27,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,당기순이익,제 43 기,2024.01.01 ~ 2024.12.31,"1,692,407,365",제 42 기,2023.01.01 ~ 2023.12.31,"4,101,074,173",제 41 기,2022.01.01 ~ 2022.12.31,"2,046,769,378",29,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 43 기,2024.01.01 ~ 2024.12.31,"1,692,407,365",제 42 기,2023.01.01 ~ 2023.12.31,"4,101,074,173",제 41 기,2022.01.01 ~ 2022.12.31,"2,046,769,378",61,KRW
20250331000237,11011,2024,00127699,064510,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 43 기,2024.01.01 ~ 2024.12.31,"1,641,969,199",제 42 기,2023.01.01 ~ 2023.12.31,"3,969,735,561",제 41 기,2022.01.01 ~ 2022.12.31,"2,352,557,935",63,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,유동자산,제 43 기,2024.12.31 현재,"9,577,600,996",제 42 기,2023.12.31 현재,"9,612,286,442",제 41 기,2022.12.31 현재,"14,608,800,337",2,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,비유동자산,제 43 기,2024.12.31 현재,"12,681,593,785",제 42 기,2023.12.31 현재,"11,654,834,041",제 41 기,2022.12.31 현재,"10,100,273,408",4,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,자산총계,제 43 기,2024.12.31 현재,"22,259,194,781",제 42 기,2023.12.31 현재,"21,267,120,483",제 41 기,2022.12.31 현재,"24,709,073,745",6,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,유동부채,제 43 기,2024.12.31 현재,"1,890,107,418",제 42 기,2023.12.31 현재,"2,928,740,405",제 41 기,2022.12.31 현재,"7,843,122,830",8,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,비유동부채,제 43 기,2024.12.31 현재,"359,047,819",제 42 기,2023.12.31 현재,"158,697,689",제 41 기,2022.12.31 현재,"2,245,247,935",10,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,부채총계,제 43 기,2024.12.31 현재,"2,249,155,237",제 42 기,2023.12.31 현재,"3,087,438,094",제 41 기,2022.12.31 현재,"10,088,370,765",12,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,자본금,제 43 기,2024.12.31 현재,"5,058,505,100",제 42 기,2023.12.31 현재,"5,058,505,100",제 41 기,2022.12.31 현재,"5,058,505,100",15,KRW
20250331000237,11011,2024,00127699,064510,OFS,재무제표,BS,재무상태표,이익잉여금,제 43 기,2024.12.31 현재,"-63,596,649,103",제 42 기,2023.12.31 현재,"-65,427,006,258",제 41 기,2022.12.31 현재,"-68,985,985,667",19,KRW
