rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,유동자산,제 2 기,2023.12.31 현재,"139,250,183,481",제 1 기,2022.12.31 현재,"136,713,797,294",-,2,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,비유동자산,제 2 기,2023.12.31 현재,"80,635,230,789",제 1 기,2022.12.31 현재,"76,917,477,500",-,4,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,자산총계,제 2 기,2023.12.31 현재,"219,885,414,270",제 1 기,2022.12.31 현재,"213,631,274,794",-,6,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,유동부채,제 2 기,2023.12.31 현재,"23,079,781,513",제 1 기,2022.12.31 현재,"18,091,294,473",-,8,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,비유동부채,제 2 기,2023.12.31 현재,"4,914,052,915",제 1 기,2022.12.31 현재,"3,408,069,085",-,10,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,부채총계,제 2 기,2023.12.31 현재,"27,993,834,428",제 1 기,2022.12.31 현재,"21,499,363,558",-,12,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,자본금,제 2 기,2023.12.31 현재,"10,611,215,000",제 1 기,2022.12.31 현재,"10,611,215,000",-,15,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,이익잉여금,제 2 기,2023.12.31 현재,"31,297,220,784",제 1 기,2022.12.31 현재,"1,537,552,178",-,19,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,BS,재무상태표,자본총계,제 2 기,2023.12.31 현재,"191,891,579,842",제 1 기,2022.12.31 현재,"192,131,911,236",-,22,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,매출액,제 2 기,2023.01.01 ~ 2023.12.31,"168,785,613,274",제 1 기,2022.11.01 ~ 2022.12.31,"29,221,282,156",-,24,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,영업이익,제 2 기,2023.01.01 ~ 2023.12.31,"-4,071,770,040",제 1 기,2022.11.01 ~ 2022.12.31,"1,427,051,307",-,26,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 2 기,2023.01.01 ~ 2023.12.31,"1,120,059,902",제 1 기,2022.11.01 ~ 2022.12.31,"1,798,097,995",-,28,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,당기순이익,제 2 기,2023.01.01 ~ 2023.12.31,"861,666,713",제 1 기,2022.11.01 ~ 2022.12.31,"959,501,849",-,30,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기,2023.01.01 ~ 2023.12.31,"861,666,713",제 1 기,2022.11.01 ~ 2022.12.31,"959,501,849",-,62,KRW
20240320000313,11011,2023,01702017,446070,OFS,재무제표,IS,손익계산서,총포괄손익,제 2 기,2023.01.01 ~ 2023.12.31,"-240,331,394",제 1 기,2022.11.01 ~ 2022.12.31,"1,537,552,178",-,64,KRW
