rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.09.30 현재,"15,073,665,760",제 24 기,2023.09.30 현재,"15,066,050,107",제 23 기,2022.09.30 현재,"10,819,562,289",1,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.09.30 현재,"8,075,384,365",제 24 기,2023.09.30 현재,"7,763,563,397",제 23 기,2022.09.30 현재,"8,007,955,195",3,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.09.30 현재,"23,149,050,125",제 24 기,2023.09.30 현재,"22,829,613,504",제 23 기,2022.09.30 현재,"18,827,517,484",5,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.09.30 현재,"16,272,519,146",제 24 기,2023.09.30 현재,"13,347,501,447",제 23 기,2022.09.30 현재,"13,997,921,354",7,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.09.30 현재,"510,024,911",제 24 기,2023.09.30 현재,"287,631,808",제 23 기,2022.09.30 현재,"451,613,635",9,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.09.30 현재,"16,782,544,057",제 24 기,2023.09.30 현재,"13,635,133,255",제 23 기,2022.09.30 현재,"14,449,534,989",11,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.09.30 현재,"1,971,280,000",제 24 기,2023.09.30 현재,"1,971,280,000",제 23 기,2022.09.30 현재,"1,681,480,000",13,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.09.30 현재,"-930,522,843",제 24 기,2023.09.30 현재,"-645,504,333",제 23 기,2022.09.30 현재,"-101,295,883",17,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.09.30 현재,"6,366,506,068",제 24 기,2023.09.30 현재,"9,194,480,249",제 23 기,2022.09.30 현재,"4,377,982,495",21,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.10.01 ~ 2024.09.30,"33,282,483,966",제 24 기,2022.10.01 ~ 2023.09.30,"31,831,832,251",제 23 기,2021.10.01 ~ 2022.09.30,"31,461,108,081",23,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2023.10.01 ~ 2024.09.30,"-2,020,965,888",제 24 기,2022.10.01 ~ 2023.09.30,"385,118,878",제 23 기,2021.10.01 ~ 2022.09.30,"2,344,664,758",25,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.10.01 ~ 2024.09.30,"-3,466,250,621",제 24 기,2022.10.01 ~ 2023.09.30,"-748,170,152",제 23 기,2021.10.01 ~ 2022.09.30,"1,974,221,283",27,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2023.10.01 ~ 2024.09.30,"-2,800,320,149",제 24 기,2022.10.01 ~ 2023.09.30,"-601,260,006",제 23 기,2021.10.01 ~ 2022.09.30,"2,150,767,807",29,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.10.01 ~ 2024.09.30,"-2,800,320,149",제 24 기,2022.10.01 ~ 2023.09.30,"-601,260,006",제 23 기,2021.10.01 ~ 2022.09.30,"2,150,767,807",61,KRW
20241230000628,11011,2024,00531078,084440,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.10.01 ~ 2024.09.30,"-2,799,935,212",제 24 기,2022.10.01 ~ 2023.09.30,"-605,124,839",제 23 기,2021.10.01 ~ 2022.09.30,"2,152,755,486",63,KRW
