rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기,2022.12.31 현재,"262,051,117,877",제 22 기,2021.12.31 현재,"246,052,738,517",제 21 기,2020.12.31 현재,"218,559,413,240",1,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기,2022.12.31 현재,"102,863,971,174",제 22 기,2021.12.31 현재,"106,329,818,517",제 21 기,2020.12.31 현재,"99,397,224,636",3,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2022.12.31 현재,"364,915,089,051",제 22 기,2021.12.31 현재,"352,382,557,034",제 21 기,2020.12.31 현재,"317,956,637,876",5,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기,2022.12.31 현재,"33,697,843,634",제 22 기,2021.12.31 현재,"38,623,967,282",제 21 기,2020.12.31 현재,"35,567,981,790",7,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기,2022.12.31 현재,"7,698,505,285",제 22 기,2021.12.31 현재,"7,191,998,894",제 21 기,2020.12.31 현재,"7,887,265,248",9,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2022.12.31 현재,"41,396,348,919",제 22 기,2021.12.31 현재,"45,815,966,176",제 21 기,2020.12.31 현재,"43,455,247,038",11,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2022.12.31 현재,"10,348,314,000",제 22 기,2021.12.31 현재,"10,348,314,000",제 21 기,2020.12.31 현재,"10,348,314,000",13,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2022.12.31 현재,"341,444,673,465",제 22 기,2021.12.31 현재,"332,581,297,573",제 21 기,2020.12.31 현재,"315,336,939,975",17,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2022.12.31 현재,"323,518,740,132",제 22 기,2021.12.31 현재,"306,566,590,858",제 21 기,2020.12.31 현재,"274,501,390,838",21,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2022.01.01 ~ 2022.12.31,"151,583,235,829",제 22 기,2021.01.01 ~ 2021.12.31,"150,995,968,469",제 21 기,2020.01.01 ~ 2020.12.31,"121,381,633,504",23,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,IS,손익계산서,영업이익,제 23 기,2022.01.01 ~ 2022.12.31,"27,409,294,612",제 22 기,2021.01.01 ~ 2021.12.31,"32,924,692,468",제 21 기,2020.01.01 ~ 2020.12.31,"21,631,888,338",25,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2022.01.01 ~ 2022.12.31,"35,664,219,828",제 22 기,2021.01.01 ~ 2021.12.31,"45,884,971,174",제 21 기,2020.01.01 ~ 2020.12.31,"23,627,752,425",27,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,IS,손익계산서,당기순이익,제 23 기,2022.01.01 ~ 2022.12.31,"26,781,128,940",제 22 기,2021.01.01 ~ 2021.12.31,"37,012,848,882",제 21 기,2020.01.01 ~ 2020.12.31,"18,971,251,565",29,KRW
20230321001013,11011,2022,00411385,078070,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2022.01.01 ~ 2022.12.31,"26,781,128,940",제 22 기,2021.01.01 ~ 2021.12.31,"37,012,848,882",제 21 기,2020.01.01 ~ 2020.12.31,"18,971,251,565",61,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,유동자산,제 23 기,2022.12.31 현재,"19,034,352,074",제 22 기,2021.12.31 현재,"17,982,351,876",제 21 기,2020.12.31 현재,"8,683,368,260",2,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,비유동자산,제 23 기,2022.12.31 현재,"164,774,964,863",제 22 기,2021.12.31 현재,"168,682,908,756",제 21 기,2020.12.31 현재,"172,057,875,528",4,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,자산총계,제 23 기,2022.12.31 현재,"183,809,316,937",제 22 기,2021.12.31 현재,"186,665,260,632",제 21 기,2020.12.31 현재,"180,741,243,788",6,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,유동부채,제 23 기,2022.12.31 현재,"843,085,410",제 22 기,2021.12.31 현재,"1,494,720,386",제 21 기,2020.12.31 현재,"540,052,233",8,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,비유동부채,제 23 기,2022.12.31 현재,"4,815,310,659",제 22 기,2021.12.31 현재,"3,203,108,180",제 21 기,2020.12.31 현재,"2,533,536,980",10,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,부채총계,제 23 기,2022.12.31 현재,"5,658,396,069",제 22 기,2021.12.31 현재,"4,697,828,566",제 21 기,2020.12.31 현재,"3,073,589,213",12,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,자본금,제 23 기,2022.12.31 현재,"10,348,314,000",제 22 기,2021.12.31 현재,"10,348,314,000",제 21 기,2020.12.31 현재,"10,348,314,000",15,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,이익잉여금,제 23 기,2022.12.31 현재,"285,421,803,838",제 22 기,2021.12.31 현재,"289,238,315,036",제 21 기,2020.12.31 현재,"284,938,537,545",19,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,BS,재무상태표,자본총계,제 23 기,2022.12.31 현재,"178,150,920,868",제 22 기,2021.12.31 현재,"181,967,432,066",제 21 기,2020.12.31 현재,"177,667,654,575",22,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,IS,손익계산서,영업이익,제 23 기,2022.01.01 ~ 2022.12.31,"3,453,325,325",제 22 기,2021.01.01 ~ 2021.12.31,"2,106,818,870",제 21 기,2020.01.01 ~ 2020.12.31,"1,427,874,577",26,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2022.01.01 ~ 2022.12.31,"2,352,912,022",제 22 기,2021.01.01 ~ 2021.12.31,"8,929,334,407",제 21 기,2020.01.01 ~ 2020.12.31,"250,038,621",28,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,IS,손익계산서,당기순이익,제 23 기,2022.01.01 ~ 2022.12.31,"1,963,008,702",제 22 기,2021.01.01 ~ 2021.12.31,"7,106,972,871",제 21 기,2020.01.01 ~ 2020.12.31,"397,637,936",30,KRW
20230321001013,11011,2022,00411385,078070,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 23 기,2022.01.01 ~ 2022.12.31,"1,963,008,702",제 22 기,2021.01.01 ~ 2021.12.31,"7,106,972,871",제 21 기,2020.01.01 ~ 2020.12.31,"397,637,936",62,KRW
