rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,유동자산,제 87 기,2024.12.31 현재,"290,996,966,701",제 86 기,2023.12.31 현재,"323,186,011,567",제 85 기,2022.12.31 현재,"314,536,587,203",1,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,비유동자산,제 87 기,2024.12.31 현재,"187,718,458,550",제 86 기,2023.12.31 현재,"191,286,126,134",제 85 기,2022.12.31 현재,"199,750,422,188",3,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,자산총계,제 87 기,2024.12.31 현재,"478,715,425,251",제 86 기,2023.12.31 현재,"514,472,137,701",제 85 기,2022.12.31 현재,"524,926,064,872",5,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,유동부채,제 87 기,2024.12.31 현재,"59,333,022,696",제 86 기,2023.12.31 현재,"57,086,858,829",제 85 기,2022.12.31 현재,"63,779,943,527",7,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,비유동부채,제 87 기,2024.12.31 현재,"7,711,735,516",제 86 기,2023.12.31 현재,"11,020,293,707",제 85 기,2022.12.31 현재,"13,447,585,607",9,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,부채총계,제 87 기,2024.12.31 현재,"67,044,758,212",제 86 기,2023.12.31 현재,"68,107,152,536",제 85 기,2022.12.31 현재,"79,255,169,817",11,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,자본금,제 87 기,2024.12.31 현재,"65,104,530,000",제 86 기,2023.12.31 현재,"65,104,530,000",제 85 기,2022.12.31 현재,"65,104,530,000",13,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 87 기,2024.12.31 현재,"258,978,318,129",제 86 기,2023.12.31 현재,"252,621,273,208",제 85 기,2022.12.31 현재,"253,164,432,899",17,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,BS,재무상태표,자본총계,제 87 기,2024.12.31 현재,"411,670,667,039",제 86 기,2023.12.31 현재,"446,364,985,165",제 85 기,2022.12.31 현재,"445,670,895,055",21,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,매출액,제 87 기,2024.01.01 ~ 2024.12.31,"435,867,054,050",제 86 기,2023.01.01 ~ 2023.12.31,"341,769,101,419",제 85 기,2022.01.01 ~ 2022.12.31,"557,604,368,527",23,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,영업이익,제 87 기,2024.01.01 ~ 2024.12.31,"18,315,439,948",제 86 기,2023.01.01 ~ 2023.12.31,"21,985,188,591",제 85 기,2022.01.01 ~ 2022.12.31,"30,748,089,914",25,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 87 기,2024.01.01 ~ 2024.12.31,"36,939,313,691",제 86 기,2023.01.01 ~ 2023.12.31,"32,796,642,675",제 85 기,2022.01.01 ~ 2022.12.31,"44,559,084,636",27,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,당기순이익,제 87 기,2024.01.01 ~ 2024.12.31,"31,644,811,581",제 86 기,2023.01.01 ~ 2023.12.31,"23,263,597,963",제 85 기,2022.01.01 ~ 2022.12.31,"44,118,934,136",29,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 87 기,2024.01.01 ~ 2024.12.31,"31,644,811,581",제 86 기,2023.01.01 ~ 2023.12.31,"23,263,597,963",제 85 기,2022.01.01 ~ 2022.12.31,"44,118,934,136",61,KRW
20250321001882,11011,2024,00163691,000700,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 87 기,2024.01.01 ~ 2024.12.31,"37,284,627,824",제 86 기,2023.01.01 ~ 2023.12.31,"22,630,905,008",제 85 기,2022.01.01 ~ 2022.12.31,"43,306,740,915",63,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,유동자산,제 87 기,2024.12.31 현재,"18,674,369,387",제 86 기,2023.12.31 현재,"28,267,028,723",제 85 기,2022.12.31 현재,"33,957,615,544",2,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,비유동자산,제 87 기,2024.12.31 현재,"239,662,917,400",제 86 기,2023.12.31 현재,"229,286,104,609",제 85 기,2022.12.31 현재,"234,405,993,061",4,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,자산총계,제 87 기,2024.12.31 현재,"258,337,286,787",제 86 기,2023.12.31 현재,"257,553,133,332",제 85 기,2022.12.31 현재,"268,363,608,605",6,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,유동부채,제 87 기,2024.12.31 현재,"7,425,318,449",제 86 기,2023.12.31 현재,"6,997,199,959",제 85 기,2022.12.31 현재,"6,780,310,961",8,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,비유동부채,제 87 기,2024.12.31 현재,"3,115,787,443",제 86 기,2023.12.31 현재,"2,077,942,937",제 85 기,2022.12.31 현재,"2,316,130,406",10,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,부채총계,제 87 기,2024.12.31 현재,"10,541,105,892",제 86 기,2023.12.31 현재,"9,075,142,896",제 85 기,2022.12.31 현재,"9,096,441,367",12,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,자본금,제 87 기,2024.12.31 현재,"65,104,530,000",제 86 기,2023.12.31 현재,"65,104,530,000",제 85 기,2022.12.31 현재,"65,104,530,000",15,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,이익잉여금,제 87 기,2024.12.31 현재,"160,038,515,849",제 86 기,2023.12.31 현재,"168,650,810,830",제 85 기,2022.12.31 현재,"178,488,971,522",19,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,BS,재무상태표,자본총계,제 87 기,2024.12.31 현재,"247,796,180,895",제 86 기,2023.12.31 현재,"248,477,990,436",제 85 기,2022.12.31 현재,"259,267,167,238",22,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,매출액,제 87 기,2024.01.01 ~ 2024.12.31,"10,374,610,976",제 86 기,2023.01.01 ~ 2023.12.31,"9,830,946,515",제 85 기,2022.01.01 ~ 2022.12.31,"6,821,620,560",24,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,영업이익,제 87 기,2024.01.01 ~ 2024.12.31,"1,958,958,379",제 86 기,2023.01.01 ~ 2023.12.31,"1,987,571,915",제 85 기,2022.01.01 ~ 2022.12.31,"-5,636,316,341",26,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 87 기,2024.01.01 ~ 2024.12.31,"1,126,298,615",제 86 기,2023.01.01 ~ 2023.12.31,"3,015,581,175",제 85 기,2022.01.01 ~ 2022.12.31,"23,697,342,276",28,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,당기순이익,제 87 기,2024.01.01 ~ 2024.12.31,"1,127,227,106",제 86 기,2023.01.01 ~ 2023.12.31,"508,070,031",제 85 기,2022.01.01 ~ 2022.12.31,"26,252,036,076",30,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 87 기,2024.01.01 ~ 2024.12.31,"1,127,227,106",제 86 기,2023.01.01 ~ 2023.12.31,"508,070,031",제 85 기,2022.01.01 ~ 2022.12.31,"26,252,036,076",62,KRW
20250321001882,11011,2024,00163691,000700,OFS,재무제표,IS,손익계산서,총포괄손익,제 87 기,2024.01.01 ~ 2024.12.31,"-37,674,381",제 86 기,2023.01.01 ~ 2023.12.31,"-38,594,292",제 85 기,2022.01.01 ~ 2022.12.31,"26,589,840,387",64,KRW
