rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2023.12.31 현재,"188,288,611,877",제 57 기,2022.12.31 현재,"158,154,260,639",제 56 기,2021.12.31 현재,"157,956,426,354",2,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2023.12.31 현재,"48,647,950,479",제 57 기,2022.12.31 현재,"60,140,747,674",제 56 기,2021.12.31 현재,"62,510,060,235",4,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,자산총계,제 58 기,2023.12.31 현재,"236,936,562,356",제 57 기,2022.12.31 현재,"218,295,008,313",제 56 기,2021.12.31 현재,"220,466,486,589",6,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,유동부채,제 58 기,2023.12.31 현재,"104,837,195,613",제 57 기,2022.12.31 현재,"99,809,446,414",제 56 기,2021.12.31 현재,"113,833,564,046",8,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,비유동부채,제 58 기,2023.12.31 현재,"5,143,513,888",제 57 기,2022.12.31 현재,"8,747,974,171",제 56 기,2021.12.31 현재,"12,332,081,128",10,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,부채총계,제 58 기,2023.12.31 현재,"109,980,709,501",제 57 기,2022.12.31 현재,"108,557,420,585",제 56 기,2021.12.31 현재,"126,165,645,174",12,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,자본금,제 58 기,2023.12.31 현재,"15,000,000,000",제 57 기,2022.12.31 현재,"15,000,000,000",제 56 기,2021.12.31 현재,"15,000,000,000",15,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,이익잉여금,제 58 기,2023.12.31 현재,"108,726,043,617",제 57 기,2022.12.31 현재,"91,507,778,490",제 56 기,2021.12.31 현재,"76,071,032,177",19,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,BS,재무상태표,자본총계,제 58 기,2023.12.31 현재,"126,955,852,855",제 57 기,2022.12.31 현재,"109,737,587,728",제 56 기,2021.12.31 현재,"94,300,841,415",22,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,매출액,제 58 기,2023.01.01 ~ 2023.12.31,"341,055,308,847",제 57 기,2022.01.01 ~ 2022.12.31,"303,961,301,436",제 56 기,2021.01.01 ~ 2021.12.31,"262,235,681,971",24,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,영업이익,제 58 기,2023.01.01 ~ 2023.12.31,"18,309,702,869",제 57 기,2022.01.01 ~ 2022.12.31,"20,901,452,578",제 56 기,2021.01.01 ~ 2021.12.31,"7,991,487,391",26,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2023.01.01 ~ 2023.12.31,"23,963,894,553",제 57 기,2022.01.01 ~ 2022.12.31,"24,624,349,461",제 56 기,2021.01.01 ~ 2021.12.31,"14,201,817,500",28,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,당기순이익,제 58 기,2023.01.01 ~ 2023.12.31,"20,095,002,637",제 57 기,2022.01.01 ~ 2022.12.31,"18,323,521,091",제 56 기,2021.01.01 ~ 2021.12.31,"12,105,576,518",30,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2023.01.01 ~ 2023.12.31,"20,095,002,637",제 57 기,2022.01.01 ~ 2022.12.31,"18,323,521,091",제 56 기,2021.01.01 ~ 2021.12.31,"12,105,576,518",62,KRW
20240321001240,11011,2023,00144650,054930,OFS,재무제표,IS,손익계산서,총포괄손익,제 58 기,2023.01.01 ~ 2023.12.31,"19,468,265,127",제 57 기,2022.01.01 ~ 2022.12.31,"17,686,746,313",제 56 기,2021.01.01 ~ 2021.12.31,"12,977,776,197",64,KRW
