rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,유동자산,제 2 기,2023.12.31 현재,"1,554,898,145",제 1 기,2022.12.31 현재,"1,433,030,453",-,2,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,비유동자산,제 2 기,2023.12.31 현재,"9,000,000,000",제 1 기,2022.12.31 현재,-,-,4,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,자산총계,제 2 기,2023.12.31 현재,"10,554,898,145",제 1 기,2022.12.31 현재,"1,433,030,453",-,6,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,유동부채,제 2 기,2023.12.31 현재,"490,700",제 1 기,2022.12.31 현재,"259,230",-,8,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,비유동부채,제 2 기,2023.12.31 현재,"1,063,252,056",제 1 기,2022.12.31 현재,"967,095,937",-,10,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,부채총계,제 2 기,2023.12.31 현재,"1,063,742,756",제 1 기,2022.12.31 현재,"967,355,167",-,12,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,자본금,제 2 기,2023.12.31 현재,"477,000,000",제 1 기,2022.12.31 현재,"27,000,000",-,15,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,이익잉여금,제 2 기,2023.12.31 현재,"152,501,882",제 1 기,2022.12.31 현재,"-20,257,721",-,19,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,BS,재무상태표,자본총계,제 2 기,2023.12.31 현재,"9,491,155,389",제 1 기,2022.12.31 현재,"465,675,286",-,22,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,영업이익,제 2 기,2023.01.01 ~ 2023.12.31,"-52,865,507",제 1 기,2022.09.23 ~ 2022.12.31,"-18,544,400",-,26,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 2 기,2023.01.01 ~ 2023.12.31,"218,755,530",제 1 기,2022.09.23 ~ 2022.12.31,"-25,574,702",-,28,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,당기순이익,제 2 기,2023.01.01 ~ 2023.12.31,"172,759,603",제 1 기,2022.09.23 ~ 2022.12.31,"-20,257,721",-,30,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기,2023.01.01 ~ 2023.12.31,"172,759,603",제 1 기,2022.09.23 ~ 2022.12.31,"-20,257,721",-,62,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,총포괄손익,제 2 기,2023.01.01 ~ 2023.12.31,"172,759,603",제 1 기,2022.09.23 ~ 2022.12.31,"-20,257,721",-,64,KRW
20240305000283,11011,2023,01690235,446150,OFS,재무제표,IS,손익계산서,영업비용,제 2 기,2023.01.01 ~ 2023.12.31,"52,865,507",제 1 기,2022.09.23 ~ 2022.12.31,"18,544,400",-,66,KRW
