rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"36,436,463,822",제 25 기,2023.12.31 현재,"30,979,584,609",제 24 기,2022.12.31 현재,"35,544,007,776",1,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"34,869,649,812",제 25 기,2023.12.31 현재,"31,848,084,428",제 24 기,2022.12.31 현재,"22,159,190,162",3,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"71,306,113,634",제 25 기,2023.12.31 현재,"62,948,969,391",제 24 기,2022.12.31 현재,"61,023,631,583",5,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"8,754,777,976",제 25 기,2023.12.31 현재,"5,993,188,329",제 24 기,2022.12.31 현재,"5,219,751,195",7,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"2,438,342,005",제 25 기,2023.12.31 현재,"2,125,569,781",제 24 기,2022.12.31 현재,"2,023,143,345",9,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"11,193,119,981",제 25 기,2023.12.31 현재,"8,118,758,110",제 24 기,2022.12.31 현재,"7,242,894,540",11,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"6,597,727,000",제 25 기,2023.12.31 현재,"6,597,727,000",제 24 기,2022.12.31 현재,"6,597,727,000",13,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"39,232,823,038",제 25 기,2023.12.31 현재,"35,575,021,432",제 24 기,2022.12.31 현재,"34,136,908,743",17,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"60,112,993,653",제 25 기,2023.12.31 현재,"54,830,211,281",제 24 기,2022.12.31 현재,"53,780,737,043",21,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"53,045,913,656",제 25 기,2023.01.01 ~ 2023.12.31,"36,639,038,647",제 24 기,2022.01.01 ~ 2022.12.31,"30,044,902,862",23,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"788,654,456",제 25 기,2023.01.01 ~ 2023.12.31,"-1,777,259,096",제 24 기,2022.01.01 ~ 2022.12.31,"845,798,193",25,KRW
20250328001604,11011,2024,00416654,072130,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"4,364,527,870",제 25 기,2023.01.01 ~ 2023.12.31,"1,938,589,330",제 24 기,2022.01.01 ~ 2022.12.31,"2,140,769,239",27,KRW
