rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"40,800,645,684",제 13 기,2022.12.31 현재,"26,011,137,025",제 12 기,2021.12.31 현재,"19,620,777,415",1,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"29,691,417,861",제 13 기,2022.12.31 현재,"25,636,736,807",제 12 기,2021.12.31 현재,"24,591,934,511",3,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"70,492,063,545",제 13 기,2022.12.31 현재,"53,097,519,962",제 12 기,2021.12.31 현재,"45,662,358,056",5,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"18,284,736,860",제 13 기,2022.12.31 현재,"27,414,482,620",제 12 기,2021.12.31 현재,"18,305,981,772",7,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"4,360,184,844",제 13 기,2022.12.31 현재,"7,483,796,771",제 12 기,2021.12.31 현재,"22,403,375,219",9,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"22,644,921,704",제 13 기,2022.12.31 현재,"34,898,279,391",제 12 기,2021.12.31 현재,"40,709,356,991",11,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"3,464,075,500",제 13 기,2022.12.31 현재,"2,612,733,500",제 12 기,2021.12.31 현재,"2,000,000,000",13,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"4,142,524,516",제 13 기,2022.12.31 현재,"971,679,833",제 12 기,2021.12.31 현재,"-544,497,303",17,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"47,847,141,841",제 13 기,2022.12.31 현재,"18,199,240,571",제 12 기,2021.12.31 현재,"4,953,001,065",21,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"47,497,623,102",제 13 기,2022.01.01 ~ 2022.12.31,"39,824,841,246",제 12 기,2021.01.01 ~ 2021.12.31,"34,557,425,427",23,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"6,379,656,267",제 13 기,2022.01.01 ~ 2022.12.31,"2,384,643,399",제 12 기,2021.01.01 ~ 2021.12.31,"3,011,651,602",25,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,025,776,689",제 13 기,2022.01.01 ~ 2022.12.31,"1,496,003,754",제 12 기,2021.01.01 ~ 2021.12.31,"3,337,181,392",27,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,813,571,109",제 13 기,2022.01.01 ~ 2022.12.31,"1,176,755,354",제 12 기,2021.01.01 ~ 2021.12.31,"2,755,379,556",29,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,BS,재무상태표,차입부채,제 14 기,2023.12.31 현재,"10,415,485,140",제 13 기,2022.12.31 현재,"10,034,084,890",제 12 기,2021.12.31 현재,"5,042,001,124",33,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"-1,813,571,109",제 13 기,2022.01.01 ~ 2022.12.31,"1,176,755,354",제 12 기,2021.01.01 ~ 2021.12.31,"2,755,379,556",61,KRW
20240320001683,11011,2023,01085026,240600,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"-1,209,538,002",제 13 기,2022.01.01 ~ 2022.12.31,"1,047,240,370",제 12 기,2021.01.01 ~ 2021.12.31,"2,838,463,083",63,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,유동자산,제 14 기,2023.12.31 현재,"33,466,566,315",제 13 기,2022.12.31 현재,"22,452,079,947",제 12 기,2021.12.31 현재,"15,152,109,535",2,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,비유동자산,제 14 기,2023.12.31 현재,"23,885,671,333",제 13 기,2022.12.31 현재,"20,587,095,780",제 12 기,2021.12.31 현재,"21,086,287,324",4,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,자산총계,제 14 기,2023.12.31 현재,"57,352,237,648",제 13 기,2022.12.31 현재,"44,488,821,857",제 12 기,2021.12.31 현재,"37,688,042,989",6,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,유동부채,제 14 기,2023.12.31 현재,"15,699,659,374",제 13 기,2022.12.31 현재,"24,760,252,220",제 12 기,2021.12.31 현재,"16,048,997,656",8,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,비유동부채,제 14 기,2023.12.31 현재,"3,815,672,191",제 13 기,2022.12.31 현재,"7,297,493,969",제 12 기,2021.12.31 현재,"21,286,235,123",10,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,부채총계,제 14 기,2023.12.31 현재,"19,515,331,565",제 13 기,2022.12.31 현재,"32,057,746,189",제 12 기,2021.12.31 현재,"37,335,232,779",12,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,자본금,제 14 기,2023.12.31 현재,"3,464,075,500",제 13 기,2022.12.31 현재,"2,612,733,500",제 12 기,2021.12.31 현재,"2,000,000,000",15,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,이익잉여금,제 14 기,2023.12.31 현재,"-5,421,568,491",제 13 기,2022.12.31 현재,"-4,953,714,115",제 12 기,2021.12.31 현재,"-5,165,789,112",19,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,자본총계,제 14 기,2023.12.31 현재,"37,836,906,083",제 13 기,2022.12.31 현재,"12,431,075,668",제 12 기,2021.12.31 현재,"352,810,210",22,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,매출액,제 14 기,2023.01.01 ~ 2023.12.31,"32,986,303,600",제 13 기,2022.01.01 ~ 2022.12.31,"29,539,868,816",제 12 기,2021.01.01 ~ 2021.12.31,"27,060,645,626",24,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,영업이익,제 14 기,2023.01.01 ~ 2023.12.31,"2,436,677,890",제 13 기,2022.01.01 ~ 2022.12.31,"760,534,331",제 12 기,2021.01.01 ~ 2021.12.31,"638,578,636",26,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-5,403,208,691",제 13 기,2022.01.01 ~ 2022.12.31,"-126,836,140",제 12 기,2021.01.01 ~ 2021.12.31,"1,148,121,753",28,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,당기순이익,제 14 기,2023.01.01 ~ 2023.12.31,"-5,488,490,495",제 13 기,2022.01.01 ~ 2022.12.31,"-127,346,785",제 12 기,2021.01.01 ~ 2021.12.31,"836,882,701",30,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,BS,재무상태표,차입부채,제 14 기,2023.12.31 현재,"9,700,000,000",제 13 기,2022.12.31 현재,"9,000,000,000",제 12 기,2021.12.31 현재,"3,900,000,000",34,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2023.01.01 ~ 2023.12.31,"-5,488,490,495",제 13 기,2022.01.01 ~ 2022.12.31,"-127,346,785",제 12 기,2021.01.01 ~ 2021.12.31,"836,882,701",62,KRW
20240320001683,11011,2023,01085026,240600,OFS,재무제표,IS,손익계산서,총포괄손익,제 14 기,2023.01.01 ~ 2023.12.31,"-5,487,829,184",제 13 기,2022.01.01 ~ 2022.12.31,"-120,733,678",제 12 기,2021.01.01 ~ 2021.12.31,"836,882,701",64,KRW
