rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,유동자산,제 16 기,2024.12.31 현재,"42,332,073,457",제 15 기,2023.12.31 현재,"45,172,071,715",제 14 기,2022.12.31 현재,"47,873,266,416",2,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,비유동자산,제 16 기,2024.12.31 현재,"2,650,797,891",제 15 기,2023.12.31 현재,"4,027,319,404",제 14 기,2022.12.31 현재,"3,155,101,285",4,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,자산총계,제 16 기,2024.12.31 현재,"44,982,871,348",제 15 기,2023.12.31 현재,"49,199,391,119",제 14 기,2022.12.31 현재,"51,028,367,701",6,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,유동부채,제 16 기,2024.12.31 현재,"6,613,867,469",제 15 기,2023.12.31 현재,"8,003,148,264",제 14 기,2022.12.31 현재,"14,634,472,896",8,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,비유동부채,제 16 기,2024.12.31 현재,"3,941,538,413",제 15 기,2023.12.31 현재,"3,204,832,646",제 14 기,2022.12.31 현재,"2,549,731,744",10,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,부채총계,제 16 기,2024.12.31 현재,"10,555,405,882",제 15 기,2023.12.31 현재,"11,207,980,910",제 14 기,2022.12.31 현재,"17,184,204,640",12,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,자본금,제 16 기,2024.12.31 현재,"5,643,598,000",제 15 기,2023.12.31 현재,"5,643,598,000",제 14 기,2022.12.31 현재,"1,262,755,000",15,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,이익잉여금,제 16 기,2024.12.31 현재,"14,857,951,498",제 15 기,2023.12.31 현재,"18,421,896,241",제 14 기,2022.12.31 현재,"19,163,679,453",19,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,BS,재무상태표,자본총계,제 16 기,2024.12.31 현재,"34,427,465,466",제 15 기,2023.12.31 현재,"37,991,410,209",제 14 기,2022.12.31 현재,"33,844,163,061",22,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,매출액,제 16 기,2024.01.01 ~ 2024.12.31,"25,040,388,758",제 15 기,2023.01.01 ~ 2023.12.31,"30,792,036,515",제 14 기,2022.01.01 ~ 2022.12.31,"69,013,134,090",24,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,영업이익,제 16 기,2024.01.01 ~ 2024.12.31,"-3,126,636,515",제 15 기,2023.01.01 ~ 2023.12.31,"-1,337,992,226",제 14 기,2022.01.01 ~ 2022.12.31,"15,707,796,256",26,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 16 기,2024.01.01 ~ 2024.12.31,"-1,620,259,545",제 15 기,2023.01.01 ~ 2023.12.31,"38,151,871",제 14 기,2022.01.01 ~ 2022.12.31,"16,065,753,099",28,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,당기순이익,제 16 기,2024.01.01 ~ 2024.12.31,"-2,840,499,099",제 15 기,2023.01.01 ~ 2023.12.31,"645,895,277",제 14 기,2022.01.01 ~ 2022.12.31,"13,159,994,846",30,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 16 기,2024.01.01 ~ 2024.12.31,"-2,840,499,099",제 15 기,2023.01.01 ~ 2023.12.31,"645,895,277",제 14 기,2022.01.01 ~ 2022.12.31,"13,159,994,846",62,KRW
20250320000233,11011,2024,01026616,221800,OFS,재무제표,IS,손익계산서,총포괄손익,제 16 기,2024.01.01 ~ 2024.12.31,"-3,225,328,863",제 15 기,2023.01.01 ~ 2023.12.31,"520,971,788",제 14 기,2022.01.01 ~ 2022.12.31,"13,078,168,040",64,KRW
