rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,유동자산,제 54 기,2024.12.31 현재,"222,401,596,625",제 53 기,2023.12.31 현재,"202,939,966,228",제 52 기,2022.12.31 현재,"223,408,617,533",2,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,비유동자산,제 54 기,2024.12.31 현재,"106,606,992,443",제 53 기,2023.12.31 현재,"110,951,651,375",제 52 기,2022.12.31 현재,"113,803,814,612",4,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,자산총계,제 54 기,2024.12.31 현재,"329,008,589,068",제 53 기,2023.12.31 현재,"313,891,617,603",제 52 기,2022.12.31 현재,"337,212,432,145",6,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,유동부채,제 54 기,2024.12.31 현재,"175,427,179,788",제 53 기,2023.12.31 현재,"170,926,228,765",제 52 기,2022.12.31 현재,"193,360,556,650",8,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,비유동부채,제 54 기,2024.12.31 현재,"17,156,227,932",제 53 기,2023.12.31 현재,"17,039,354,230",제 52 기,2022.12.31 현재,"16,639,040,961",10,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,부채총계,제 54 기,2024.12.31 현재,"192,583,407,720",제 53 기,2023.12.31 현재,"187,965,582,995",제 52 기,2022.12.31 현재,"209,999,597,611",12,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,자본금,제 54 기,2024.12.31 현재,"16,721,000,000",제 53 기,2023.12.31 현재,"16,721,000,000",제 52 기,2022.12.31 현재,"16,721,000,000",15,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,이익잉여금,제 54 기,2024.12.31 현재,"64,590,951,860",제 53 기,2023.12.31 현재,"54,091,862,539",제 52 기,2022.12.31 현재,"55,406,826,569",19,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,BS,재무상태표,자본총계,제 54 기,2024.12.31 현재,"136,425,181,348",제 53 기,2023.12.31 현재,"125,926,034,608",제 52 기,2022.12.31 현재,"127,212,834,534",22,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,매출액,제 54 기,2024.01.01 ~ 2024.12.31,"472,292,427,806",제 53 기,2023.01.01 ~ 2023.12.31,"433,373,177,732",제 52 기,2022.01.01 ~ 2022.12.31,"429,618,752,228",24,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,영업이익,제 54 기,2024.01.01 ~ 2024.12.31,"25,163,412,834",제 53 기,2023.01.01 ~ 2023.12.31,"10,213,327,750",제 52 기,2022.01.01 ~ 2022.12.31,"13,690,371,011",26,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2024.01.01 ~ 2024.12.31,"16,015,874,389",제 53 기,2023.01.01 ~ 2023.12.31,"233,518,294",제 52 기,2022.01.01 ~ 2022.12.31,"5,164,140,309",28,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,당기순이익,제 54 기,2024.01.01 ~ 2024.12.31,"12,607,044,238",제 53 기,2023.01.01 ~ 2023.12.31,"656,314,435",제 52 기,2022.01.01 ~ 2022.12.31,"5,720,773,052",30,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기,2024.01.01 ~ 2024.12.31,"12,607,044,238",제 53 기,2023.01.01 ~ 2023.12.31,"656,314,435",제 52 기,2022.01.01 ~ 2022.12.31,"5,720,773,052",62,KRW
20250320000112,11011,2024,00145464,025820,OFS,재무제표,IS,손익계산서,총포괄손익,제 54 기,2024.01.01 ~ 2024.12.31,"12,171,186,190",제 53 기,2023.01.01 ~ 2023.12.31,"334,495,720",제 52 기,2022.01.01 ~ 2022.12.31,"5,667,120,876",64,KRW
