rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2023.12.31 현재,"19,051,986,852",제 19 기,2022.12.31 현재,"14,035,322,004",제 18 기,2021.12.31 현재,"9,627,527,366",2,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2023.12.31 현재,"3,284,726,711",제 19 기,2022.12.31 현재,"2,536,567,806",제 18 기,2021.12.31 현재,"1,967,514,679",4,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2023.12.31 현재,"22,336,713,563",제 19 기,2022.12.31 현재,"16,571,889,810",제 18 기,2021.12.31 현재,"11,595,042,045",6,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2023.12.31 현재,"14,652,222,905",제 19 기,2022.12.31 현재,"4,693,334,908",제 18 기,2021.12.31 현재,"2,925,525,891",8,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2023.12.31 현재,"1,401,136,063",제 19 기,2022.12.31 현재,"1,366,553,425",제 18 기,2021.12.31 현재,"85,966,839",10,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2023.12.31 현재,"16,053,358,968",제 19 기,2022.12.31 현재,"6,059,888,333",제 18 기,2021.12.31 현재,"3,011,492,730",12,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2023.12.31 현재,"7,770,813,000",제 19 기,2022.12.31 현재,"7,664,138,000",제 18 기,2021.12.31 현재,"7,664,138,000",15,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,이익잉여금,제 20 기,2023.12.31 현재,"-12,004,256,323",제 19 기,2022.12.31 현재,"-7,393,354,537",제 18 기,2021.12.31 현재,"-9,199,779,974",19,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2023.12.31 현재,"6,283,354,595",제 19 기,2022.12.31 현재,"10,512,001,477",제 18 기,2021.12.31 현재,"8,583,549,315",22,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,매출액,제 20 기,2023.01.01 ~ 2023.12.31,"16,100,183,610",제 19 기,2022.01.01 ~ 2022.12.31,"21,917,076,908",제 18 기,2021.01.01 ~ 2021.12.31,"21,320,668,621",24,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,영업이익,제 20 기,2023.01.01 ~ 2023.12.31,"-2,313,092,777",제 19 기,2022.01.01 ~ 2022.12.31,"1,551,363,628",제 18 기,2021.01.01 ~ 2021.12.31,"560,614,984",26,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-4,610,901,786",제 19 기,2022.01.01 ~ 2022.12.31,"1,806,425,437",제 18 기,2021.01.01 ~ 2021.12.31,"882,717,282",28,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,당기순이익,제 20 기,2023.01.01 ~ 2023.12.31,"-4,610,901,786",제 19 기,2022.01.01 ~ 2022.12.31,"1,806,425,437",제 18 기,2021.01.01 ~ 2021.12.31,"882,717,282",30,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2023.01.01 ~ 2023.12.31,"-4,610,901,786",제 19 기,2022.01.01 ~ 2022.12.31,"1,806,425,437",제 18 기,2021.01.01 ~ 2021.12.31,"882,717,282",62,KRW
20240319000856,11011,2023,00694942,115610,OFS,재무제표,IS,손익계산서,총포괄손익,제 20 기,2023.01.01 ~ 2023.12.31,"-4,610,901,786",제 19 기,2022.01.01 ~ 2022.12.31,"1,806,425,437",제 18 기,2021.01.01 ~ 2021.12.31,"882,717,282",64,KRW
