rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"77,546,021,987",제 23 기,2022.12.31 현재,"61,615,508,349",제 22 기,2021.12.31 현재,"61,354,470,714",1,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"102,794,447,813",제 23 기,2022.12.31 현재,"102,523,805,127",제 22 기,2021.12.31 현재,"92,631,041,322",3,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"180,340,469,800",제 23 기,2022.12.31 현재,"164,139,313,476",제 22 기,2021.12.31 현재,"153,985,512,036",5,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"22,434,620,049",제 23 기,2022.12.31 현재,"25,312,183,928",제 22 기,2021.12.31 현재,"21,572,082,837",7,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"12,747,826,057",제 23 기,2022.12.31 현재,"13,033,695,510",제 22 기,2021.12.31 현재,"14,839,463,846",9,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"35,182,446,106",제 23 기,2022.12.31 현재,"38,345,879,438",제 22 기,2021.12.31 현재,"36,411,546,683",11,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"5,000,000,000",제 23 기,2022.12.31 현재,"5,000,000,000",제 22 기,2021.12.31 현재,"4,507,500,000",13,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"88,443,998,197",제 23 기,2022.12.31 현재,"83,326,451,565",제 22 기,2021.12.31 현재,"74,404,886,040",17,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"145,158,023,694",제 23 기,2022.12.31 현재,"125,793,434,038",제 22 기,2021.12.31 현재,"117,573,965,353",21,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"82,291,210,125",제 23 기,2022.01.01 ~ 2022.12.31,"69,962,205,388",제 22 기,2021.01.01 ~ 2021.12.31,"57,155,970,394",23,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2023.01.01 ~ 2023.12.31,"15,142,638,295",제 23 기,2022.01.01 ~ 2022.12.31,"13,301,535,533",제 22 기,2021.01.01 ~ 2021.12.31,"10,075,774,846",25,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2023.01.01 ~ 2023.12.31,"11,679,749,830",제 23 기,2022.01.01 ~ 2022.12.31,"13,738,787,301",제 22 기,2021.01.01 ~ 2021.12.31,"10,597,738,226",27,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2023.01.01 ~ 2023.12.31,"8,314,837,916",제 23 기,2022.01.01 ~ 2022.12.31,"11,918,948,044",제 22 기,2021.01.01 ~ 2021.12.31,"7,640,460,924",29,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2023.01.01 ~ 2023.12.31,"8,314,837,916",제 23 기,2022.01.01 ~ 2022.12.31,"11,918,948,044",제 22 기,2021.01.01 ~ 2021.12.31,"7,640,460,924",61,KRW
20240320001784,11011,2023,00454399,080010,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 24 기,2023.01.01 ~ 2023.12.31,"8,350,317,349",제 23 기,2022.01.01 ~ 2022.12.31,"11,764,875,536",제 22 기,2021.01.01 ~ 2021.12.31,"7,833,858,296",63,KRW
20240320001784,11011,2023,00454399,080010,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"28,699,843,934",제 23 기,2022.12.31 현재,"27,197,998,809",제 22 기,2021.12.31 현재,"35,781,565,819",2,KRW
20240320001784,11011,2023,00454399,080010,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"81,901,233,110",제 23 기,2022.12.31 현재,"84,996,573,797",제 22 기,2021.12.31 현재,"73,018,635,390",4,KRW
20240320001784,11011,2023,00454399,080010,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"110,601,077,044",제 23 기,2022.12.31 현재,"112,194,572,606",제 22 기,2021.12.31 현재,"108,800,201,209",6,KRW
20240320001784,11011,2023,00454399,080010,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"15,807,633,863",제 23 기,2022.12.31 현재,"19,419,454,843",제 22 기,2021.12.31 현재,"17,045,197,016",8,KRW
