rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,유동자산,제 53 기,2024.12.31 현재,"522,697,354,400",제 52 기,2023.12.31 현재,"383,628,200,131",제 51 기,2022.12.31 현재,"373,857,465,832",1,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 53 기,2024.12.31 현재,"267,439,012,026",제 52 기,2023.12.31 현재,"242,808,118,376",제 51 기,2022.12.31 현재,"172,156,694,907",3,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,자산총계,제 53 기,2024.12.31 현재,"790,136,366,426",제 52 기,2023.12.31 현재,"626,436,318,507",제 51 기,2022.12.31 현재,"546,014,160,739",5,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,유동부채,제 53 기,2024.12.31 현재,"377,363,096,552",제 52 기,2023.12.31 현재,"290,513,985,554",제 51 기,2022.12.31 현재,"286,000,684,042",7,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 53 기,2024.12.31 현재,"85,246,561,462",제 52 기,2023.12.31 현재,"69,144,169,661",제 51 기,2022.12.31 현재,"37,685,398,219",9,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,부채총계,제 53 기,2024.12.31 현재,"462,609,658,014",제 52 기,2023.12.31 현재,"359,658,155,215",제 51 기,2022.12.31 현재,"323,686,082,261",11,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,자본금,제 53 기,2024.12.31 현재,"63,246,419,000",제 52 기,2023.12.31 현재,"63,246,419,000",제 51 기,2022.12.31 현재,"63,246,419,000",13,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 53 기,2024.12.31 현재,"172,267,493,486",제 52 기,2023.12.31 현재,"114,366,332,352",제 51 기,2022.12.31 현재,"76,504,547,474",17,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,BS,재무상태표,자본총계,제 53 기,2024.12.31 현재,"327,526,708,412",제 52 기,2023.12.31 현재,"266,778,163,292",제 51 기,2022.12.31 현재,"222,328,078,478",21,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,매출액,제 53 기,2024.01.01 ~ 2024.12.31,"836,866,961,285",제 52 기,2023.01.01 ~ 2023.12.31,"675,332,755,709",제 51 기,2022.01.01 ~ 2022.12.31,"642,920,533,265",23,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,영업이익,제 53 기,2024.01.01 ~ 2024.12.31,"101,878,836,049",제 52 기,2023.01.01 ~ 2023.12.31,"62,169,058,401",제 51 기,2022.01.01 ~ 2022.12.31,"116,618,143,622",25,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2024.01.01 ~ 2024.12.31,"91,806,916,793",제 52 기,2023.01.01 ~ 2023.12.31,"54,655,603,290",제 51 기,2022.01.01 ~ 2022.12.31,"107,829,664,836",27,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,당기순이익,제 53 기,2024.01.01 ~ 2024.12.31,"74,034,111,779",제 52 기,2023.01.01 ~ 2023.12.31,"47,723,051,484",제 51 기,2022.01.01 ~ 2022.12.31,"102,473,037,692",29,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 53 기,2024.01.01 ~ 2024.12.31,"74,034,111,779",제 52 기,2023.01.01 ~ 2023.12.31,"47,723,051,484",제 51 기,2022.01.01 ~ 2022.12.31,"102,473,037,692",61,KRW
20250321001007,11011,2024,00107613,007660,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 53 기,2024.01.01 ~ 2024.12.31,"67,073,187,020",제 52 기,2023.01.01 ~ 2023.12.31,"50,756,849,491",제 51 기,2022.01.01 ~ 2022.12.31,"93,901,144,837",63,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,유동자산,제 53 기,2024.12.31 현재,"425,586,363,079",제 52 기,2023.12.31 현재,"327,482,640,316",제 51 기,2022.12.31 현재,"307,434,720,868",2,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,비유동자산,제 53 기,2024.12.31 현재,"261,565,499,894",제 52 기,2023.12.31 현재,"216,353,879,153",제 51 기,2022.12.31 현재,"154,772,300,520",4,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,자산총계,제 53 기,2024.12.31 현재,"687,151,862,973",제 52 기,2023.12.31 현재,"543,836,519,469",제 51 기,2022.12.31 현재,"462,207,021,388",6,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,유동부채,제 53 기,2024.12.31 현재,"277,205,477,597",제 52 기,2023.12.31 현재,"191,909,477,488",제 51 기,2022.12.31 현재,"174,458,420,837",8,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,비유동부채,제 53 기,2024.12.31 현재,"79,694,346,710",제 52 기,2023.12.31 현재,"66,916,018,545",제 51 기,2022.12.31 현재,"36,351,301,560",10,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,부채총계,제 53 기,2024.12.31 현재,"356,899,824,307",제 52 기,2023.12.31 현재,"258,825,496,033",제 51 기,2022.12.31 현재,"210,809,722,397",12,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,자본금,제 53 기,2024.12.31 현재,"63,246,419,000",제 52 기,2023.12.31 현재,"63,246,419,000",제 51 기,2022.12.31 현재,"63,246,419,000",15,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,이익잉여금,제 53 기,2024.12.31 현재,"183,322,874,168",제 52 기,2023.12.31 현재,"134,207,624,195",제 51 기,2022.12.31 현재,"107,631,587,648",19,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,BS,재무상태표,자본총계,제 53 기,2024.12.31 현재,"330,252,038,666",제 52 기,2023.12.31 현재,"285,011,023,436",제 51 기,2022.12.31 현재,"251,397,298,991",22,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,매출액,제 53 기,2024.01.01 ~ 2024.12.31,"718,728,999,128",제 52 기,2023.01.01 ~ 2023.12.31,"579,045,332,646",제 51 기,2022.01.01 ~ 2022.12.31,"497,212,502,161",24,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,영업이익,제 53 기,2024.01.01 ~ 2024.12.31,"78,479,704,058",제 52 기,2023.01.01 ~ 2023.12.31,"50,216,552,377",제 51 기,2022.01.01 ~ 2022.12.31,"96,368,755,109",26,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2024.01.01 ~ 2024.12.31,"80,900,839,343",제 52 기,2023.01.01 ~ 2023.12.31,"43,275,534,536",제 51 기,2022.01.01 ~ 2022.12.31,"91,241,096,190",28,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,당기순이익,제 53 기,2024.01.01 ~ 2024.12.31,"65,248,200,618",제 52 기,2023.01.01 ~ 2023.12.31,"36,437,303,153",제 51 기,2022.01.01 ~ 2022.12.31,"85,549,247,131",30,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 53 기,2024.01.01 ~ 2024.12.31,"65,248,200,618",제 52 기,2023.01.01 ~ 2023.12.31,"36,437,303,153",제 51 기,2022.01.01 ~ 2022.12.31,"85,549,247,131",62,KRW
20250321001007,11011,2024,00107613,007660,OFS,재무제표,IS,손익계산서,총포괄손익,제 53 기,2024.01.01 ~ 2024.12.31,"51,565,657,130",제 52 기,2023.01.01 ~ 2023.12.31,"39,920,489,122",제 51 기,2022.01.01 ~ 2022.12.31,"82,013,743,194",64,KRW
