rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기,2022.12.31 현재,"91,881,802,742",제 22 기,2021.12.31 현재,"93,369,056,088",제 21 기,2020.12.31 현재,"83,522,850,305",1,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기,2022.12.31 현재,"36,340,501,834",제 22 기,2021.12.31 현재,"41,604,057,938",제 21 기,2020.12.31 현재,"30,213,123,711",3,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2022.12.31 현재,"128,222,304,576",제 22 기,2021.12.31 현재,"134,973,114,026",제 21 기,2020.12.31 현재,"113,735,974,016",5,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기,2022.12.31 현재,"27,515,439,324",제 22 기,2021.12.31 현재,"31,764,298,861",제 21 기,2020.12.31 현재,"36,476,261,426",7,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기,2022.12.31 현재,"6,873,841,384",제 22 기,2021.12.31 현재,"10,741,215,839",제 21 기,2020.12.31 현재,"9,932,694,479",9,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2022.12.31 현재,"34,389,280,708",제 22 기,2021.12.31 현재,"42,505,514,700",제 21 기,2020.12.31 현재,"46,408,955,905",11,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2022.12.31 현재,"11,138,039,000",제 22 기,2021.12.31 현재,"11,138,039,000",제 21 기,2020.12.31 현재,"11,138,039,000",13,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2022.12.31 현재,"73,187,079,315",제 22 기,2021.12.31 현재,"70,219,953,924",제 21 기,2020.12.31 현재,"45,466,199,095",17,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2022.12.31 현재,"93,833,023,868",제 22 기,2021.12.31 현재,"92,467,599,326",제 21 기,2020.12.31 현재,"67,327,018,111",21,KRW
20230322001295,11011,2022,00616290,123570,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2022.01.01 ~ 2022.12.31,"44,211,307,834",제 22 기,2021.01.01 ~ 2021.12.31,"35,239,063,687",제 21 기,2020.01.01 ~ 2020.12.31,"25,413,605,134",23,KRW
