rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"14,086,346,437",제 24 기,2022.12.31 현재,"13,734,051,994",제 23 기,2021.12.31 현재,"11,997,115,029",1,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"7,587,543,020",제 24 기,2022.12.31 현재,"5,864,061,806",제 23 기,2021.12.31 현재,"5,583,892,575",3,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"21,673,889,457",제 24 기,2022.12.31 현재,"19,598,113,800",제 23 기,2021.12.31 현재,"17,581,007,604",5,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"7,068,667,523",제 24 기,2022.12.31 현재,"6,616,562,609",제 23 기,2021.12.31 현재,"10,262,005,978",7,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"890,340,062",제 24 기,2022.12.31 현재,"496,925,463",제 23 기,2021.12.31 현재,"287,688,795",9,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"7,959,007,585",제 24 기,2022.12.31 현재,"7,113,488,072",제 23 기,2021.12.31 현재,"10,549,694,773",11,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"10,670,164,500",제 24 기,2022.12.31 현재,"10,371,809,000",제 23 기,2021.12.31 현재,"7,856,128,500",13,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"217,307,790",제 24 기,2022.12.31 현재,"-22,366,069,706",제 23 기,2021.12.31 현재,"-22,261,698,970",17,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"13,714,881,872",제 24 기,2022.12.31 현재,"12,484,625,728",제 23 기,2021.12.31 현재,"7,031,312,831",21,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"26,311,911,772",제 24 기,2022.01.01 ~ 2022.12.31,"34,472,979,660",제 23 기,2021.01.01 ~ 2021.12.31,"24,059,028,591",23,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"-1,290,663,885",제 24 기,2022.01.01 ~ 2022.12.31,"688,619,290",제 23 기,2021.01.01 ~ 2021.12.31,"-596,354,306",25,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-386,667,305",제 24 기,2022.01.01 ~ 2022.12.31,"-94,918,968",제 23 기,2021.01.01 ~ 2021.12.31,"-1,014,459,052",27,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"-386,667,305",제 24 기,2022.01.01 ~ 2022.12.31,"-122,437,316",제 23 기,2021.01.01 ~ 2021.12.31,"-1,568,386,424",29,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"-386,667,305",제 24 기,2022.01.01 ~ 2022.12.31,"-122,437,316",제 23 기,2021.01.01 ~ 2021.12.31,"-1,568,386,424",61,KRW
20240321001778,11011,2023,00475718,083470,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"-726,188,520",제 24 기,2022.01.01 ~ 2022.12.31,"-88,439,541",제 23 기,2021.01.01 ~ 2021.12.31,"-1,207,261,517",63,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"13,565,219,437",제 24 기,2022.12.31 현재,"12,471,868,634",제 23 기,2021.12.31 현재,"9,439,242,446",2,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"7,587,543,019",제 24 기,2022.12.31 현재,"5,187,204,696",제 23 기,2021.12.31 현재,"5,299,502,040",4,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"21,152,762,456",제 24 기,2022.12.31 현재,"17,659,073,330",제 23 기,2021.12.31 현재,"14,738,744,486",6,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"6,688,132,443",제 24 기,2022.12.31 현재,"5,912,362,742",제 23 기,2021.12.31 현재,"9,008,998,729",8,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"845,503,789",제 24 기,2022.12.31 현재,"357,005,192",제 23 기,2021.12.31 현재,"283,635,161",10,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"7,533,636,232",제 24 기,2022.12.31 현재,"6,269,367,934",제 23 기,2021.12.31 현재,"9,292,633,890",12,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"10,670,164,500",제 24 기,2022.12.31 현재,"10,371,809,000",제 23 기,2021.12.31 현재,"7,856,128,500",15,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"272,976,164",제 24 기,2022.12.31 현재,"-23,222,594,873",제 23 기,2021.12.31 현재,"-23,624,437,235",19,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"13,619,126,224",제 24 기,2022.12.31 현재,"11,389,705,396",제 23 기,2021.12.31 현재,"5,446,110,596",22,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"24,528,932,896",제 24 기,2022.01.01 ~ 2022.12.31,"30,944,327,907",제 23 기,2021.01.01 ~ 2021.12.31,"19,163,620,874",24,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2023.01.01 ~ 2023.12.31,"-501,128,821",제 24 기,2022.01.01 ~ 2022.12.31,"1,460,323,837",제 23 기,2021.01.01 ~ 2021.12.31,"202,362,986",26,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2023.01.01 ~ 2023.12.31,"525,526,236",제 24 기,2022.01.01 ~ 2022.12.31,"414,320,497",제 23 기,2021.01.01 ~ 2021.12.31,"-3,617,833,174",28,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,당기순이익,제 25 기,2023.01.01 ~ 2023.12.31,"525,526,236",제 24 기,2022.01.01 ~ 2022.12.31,"383,775,782",제 23 기,2021.01.01 ~ 2021.12.31,"-4,166,025,229",30,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2023.01.01 ~ 2023.12.31,"525,526,236",제 24 기,2022.01.01 ~ 2022.12.31,"383,775,782",제 23 기,2021.01.01 ~ 2021.12.31,"-4,166,025,229",62,KRW
20240321001778,11011,2023,00475718,083470,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기,2023.01.01 ~ 2023.12.31,"272,976,164",제 24 기,2022.01.01 ~ 2022.12.31,"401,842,362",제 23 기,2021.01.01 ~ 2021.12.31,"-4,124,035,313",64,KRW
