rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동자산,제 31 기,2024.12.31 현재,"445,645,616,892",제 30 기,2023.12.31 현재,"429,338,086,912",제 29 기,2022.12.31 현재,"423,736,681,537",1,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동자산,제 31 기,2024.12.31 현재,"207,369,694,334",제 30 기,2023.12.31 현재,"182,340,911,537",제 29 기,2022.12.31 현재,"192,130,710,464",3,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,자산총계,제 31 기,2024.12.31 현재,"653,015,311,226",제 30 기,2023.12.31 현재,"611,678,998,449",제 29 기,2022.12.31 현재,"615,867,392,001",5,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동부채,제 31 기,2024.12.31 현재,"48,106,248,426",제 30 기,2023.12.31 현재,"47,021,471,576",제 29 기,2022.12.31 현재,"76,183,627,401",7,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동부채,제 31 기,2024.12.31 현재,"1,877,641,956",제 30 기,2023.12.31 현재,"2,198,012,325",제 29 기,2022.12.31 현재,"569,239,301",9,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,부채총계,제 31 기,2024.12.31 현재,"49,983,890,382",제 30 기,2023.12.31 현재,"49,219,483,901",제 29 기,2022.12.31 현재,"76,752,866,702",11,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,자본금,제 31 기,2024.12.31 현재,"6,159,775,000",제 30 기,2023.12.31 현재,"6,159,775,000",제 29 기,2022.12.31 현재,"6,159,775,000",13,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 31 기,2024.12.31 현재,"523,774,882,424",제 30 기,2023.12.31 현재,"486,374,900,936",제 29 기,2022.12.31 현재,"461,816,222,722",17,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,BS,재무상태표,자본총계,제 31 기,2024.12.31 현재,"603,031,420,844",제 30 기,2023.12.31 현재,"562,459,514,548",제 29 기,2022.12.31 현재,"539,114,525,299",21,KRW
20250320001508,11011,2024,00246417,039030,CFS,연결재무제표,IS,손익계산서,매출액,제 31 기,2024.01.01 ~ 2024.12.31,"320,945,496,298",제 30 기,2023.01.01 ~ 2023.12.31,"316,339,650,431",제 29 기,2022.01.01 ~ 2022.12.31,"446,966,212,139",23,KRW
