rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,유동자산,제 12 기,2022.12.31 현재,"103,083,886,500",제 11 기,2021.12.31 현재,"37,271,314,289",제 10 기,2020.12.31 현재,"23,035,948,744",1,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,비유동자산,제 12 기,2022.12.31 현재,"49,166,546,583",제 11 기,2021.12.31 현재,"25,388,946,229",제 10 기,2020.12.31 현재,"6,116,843,948",3,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,자산총계,제 12 기,2022.12.31 현재,"152,250,433,083",제 11 기,2021.12.31 현재,"62,660,260,518",제 10 기,2020.12.31 현재,"29,152,792,692",5,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,유동부채,제 12 기,2022.12.31 현재,"38,772,334,093",제 11 기,2021.12.31 현재,"3,261,288,794",제 10 기,2020.12.31 현재,"1,795,665,440",7,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,비유동부채,제 12 기,2022.12.31 현재,"14,750,141,417",제 11 기,2021.12.31 현재,"40,481,768,899",제 10 기,2020.12.31 현재,"2,522,072,686",9,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,부채총계,제 12 기,2022.12.31 현재,"53,522,475,510",제 11 기,2021.12.31 현재,"43,743,057,693",제 10 기,2020.12.31 현재,"4,317,738,126",11,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,자본금,제 12 기,2022.12.31 현재,"3,030,352,100",제 11 기,2021.12.31 현재,"1,174,553,200",제 10 기,2020.12.31 현재,"1,125,641,200",13,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 12 기,2022.12.31 현재,"91,260,026,805",제 11 기,2021.12.31 현재,"-101,533,213,017",제 10 기,2020.12.31 현재,"-71,783,457,070",17,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,BS,재무상태표,자본총계,제 12 기,2022.12.31 현재,"98,727,957,573",제 11 기,2021.12.31 현재,"18,917,202,825",제 10 기,2020.12.31 현재,"24,835,054,566",21,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,IS,손익계산서,매출액,제 12 기,2022.01.01 ~ 2022.12.31,"6,707,876,186",제 11 기,2021.01.01 ~ 2021.12.31,"693,267,504",제 10 기,2020.01.01 ~ 2020.12.31,"21,654,545",23,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,IS,손익계산서,영업이익,제 12 기,2022.01.01 ~ 2022.12.31,"-34,275,183,079",제 11 기,2021.01.01 ~ 2021.12.31,"-26,891,741,814",제 10 기,2020.01.01 ~ 2020.12.31,"-12,858,259,442",25,KRW
20230322000931,11011,2022,01274310,294090,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 12 기,2022.01.01 ~ 2022.12.31,"-31,297,576,498",제 11 기,2021.01.01 ~ 2021.12.31,"-29,987,922,250",제 10 기,2020.01.01 ~ 2020.12.31,"-19,647,053,857",27,KRW
