rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기,2022.12.31 현재,"94,654,981,701",제 19 기,2021.12.31 현재,"18,449,823,908",제 18 기,2021.06.30 현재,"19,119,634,770",1,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기,2022.12.31 현재,"30,724,878,399",제 19 기,2021.12.31 현재,"18,580,535,683",제 18 기,2021.06.30 현재,"19,222,175,865",3,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기,2022.12.31 현재,"125,379,860,100",제 19 기,2021.12.31 현재,"37,030,359,591",제 18 기,2021.06.30 현재,"38,341,810,635",5,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기,2022.12.31 현재,"80,041,545,722",제 19 기,2021.12.31 현재,"20,123,060,956",제 18 기,2021.06.30 현재,"9,441,073,186",7,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기,2022.12.31 현재,"201,444,622",제 19 기,2021.12.31 현재,"660,572,422",제 18 기,2021.06.30 현재,"13,874,666,101",9,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기,2022.12.31 현재,"80,242,990,344",제 19 기,2021.12.31 현재,"20,783,633,378",제 18 기,2021.06.30 현재,"23,315,739,287",11,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,자본금,제 20 기,2022.12.31 현재,"15,628,373,000",제 19 기,2021.12.31 현재,"6,890,373,000",제 18 기,2021.06.30 현재,"6,890,373,000",13,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기,2022.12.31 현재,"7,227,613,810",제 19 기,2021.12.31 현재,"1,484,450,502",제 18 기,2021.06.30 현재,"-42,353,356,125",17,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기,2022.12.31 현재,"45,136,869,756",제 19 기,2021.12.31 현재,"16,246,726,213",제 18 기,2021.06.30 현재,"15,026,071,348",21,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기,2022.01.01 ~ 2022.12.31,"59,426,814,033",제 19 기,2021.07.01 ~ 2021.12.31,"15,440,940,151",제 18 기,2020.07.01 ~ 2021.06.30,"37,607,630,664",23,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기,2022.01.01 ~ 2022.12.31,"3,256,113,630",제 19 기,2021.07.01 ~ 2021.12.31,"531,854,760",제 18 기,2020.07.01 ~ 2021.06.30,"-1,360,532,296",25,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2022.01.01 ~ 2022.12.31,"6,177,154,757",제 19 기,2021.07.01 ~ 2021.12.31,"1,136,505,273",제 18 기,2020.07.01 ~ 2021.06.30,"-175,851,634",27,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,IS,손익계산서,당기순이익,제 20 기,2022.01.01 ~ 2022.12.31,"5,743,163,308",제 19 기,2021.07.01 ~ 2021.12.31,"1,136,505,273",제 18 기,2020.07.01 ~ 2021.06.30,"-262,094,982",29,KRW
20230323001454,11011,2022,00818472,160600,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2022.01.01 ~ 2022.12.31,"5,743,163,308",제 19 기,2021.07.01 ~ 2021.12.31,"1,136,505,273",제 18 기,2020.07.01 ~ 2021.06.30,"-262,094,982",61,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2022.12.31 현재,"90,135,073,890",제 19 기,2021.12.31 현재,"16,699,875,244",제 18 기,2021.06.30 현재,"18,339,616,430",2,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2022.12.31 현재,"36,077,642,604",제 19 기,2021.12.31 현재,"6,511,803,829",제 18 기,2021.06.30 현재,"6,795,171,951",4,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2022.12.31 현재,"126,212,716,494",제 19 기,2021.12.31 현재,"23,211,679,073",제 18 기,2021.06.30 현재,"25,134,788,381",6,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2022.12.31 현재,"79,884,097,037",제 19 기,2021.12.31 현재,"7,236,360,229",제 18 기,2021.06.30 현재,"10,144,220,107",8,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2022.12.31 현재,"167,687,422",제 19 기,2021.12.31 현재,"258,504,877",제 18 기,2021.06.30 현재,"332,207,945",10,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2022.12.31 현재,"80,051,784,459",제 19 기,2021.12.31 현재,"7,494,865,106",제 18 기,2021.06.30 현재,"10,476,428,052",12,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2022.12.31 현재,"15,628,373,000",제 19 기,2021.12.31 현재,"6,890,373,000",제 18 기,2021.06.30 현재,"6,890,373,000",15,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,이익잉여금,제 20 기,2022.12.31 현재,"8,061,556,591",제 19 기,2021.12.31 현재,"1,006,267,396",제 18 기,2021.06.30 현재,"-42,701,301,354",19,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2022.12.31 현재,"46,160,932,035",제 19 기,2021.12.31 현재,"15,716,813,967",제 18 기,2021.06.30 현재,"14,658,360,329",22,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,IS,손익계산서,매출액,제 20 기,2022.01.01 ~ 2022.12.31,"58,589,538,326",제 19 기,2021.07.01 ~ 2021.12.31,"15,090,264,151",제 18 기,2020.07.01 ~ 2021.06.30,"36,958,661,129",24,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,IS,손익계산서,영업이익,제 20 기,2022.01.01 ~ 2022.12.31,"2,928,692,925",제 19 기,2021.07.01 ~ 2021.12.31,"302,938,894",제 18 기,2020.07.01 ~ 2021.06.30,"-2,060,688,140",26,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2022.01.01 ~ 2022.12.31,"7,487,980,914",제 19 기,2021.07.01 ~ 2021.12.31,"1,006,267,396",제 18 기,2020.07.01 ~ 2021.06.30,"-564,771,334",28,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,IS,손익계산서,당기순이익,제 20 기,2022.01.01 ~ 2022.12.31,"7,055,289,195",제 19 기,2021.07.01 ~ 2021.12.31,"1,006,267,396",제 18 기,2020.07.01 ~ 2021.06.30,"-573,898,374",30,KRW
20230323001454,11011,2022,00818472,160600,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2022.01.01 ~ 2022.12.31,"7,055,289,195",제 19 기,2021.07.01 ~ 2021.12.31,"1,006,267,396",제 18 기,2020.07.01 ~ 2021.06.30,"-573,898,374",62,KRW
