rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2024.12.31 현재,"31,257,343,899",제 7 기,2023.12.31 현재,"33,604,686,944",제 6 기,2022.12.31 현재,"29,063,633,618",1,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2024.12.31 현재,"70,494,065,623",제 7 기,2023.12.31 현재,"57,437,128,606",제 6 기,2022.12.31 현재,"58,461,773,728",3,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2024.12.31 현재,"101,751,409,522",제 7 기,2023.12.31 현재,"91,041,815,550",제 6 기,2022.12.31 현재,"87,525,407,346",5,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2024.12.31 현재,"14,632,278,648",제 7 기,2023.12.31 현재,"15,795,055,926",제 6 기,2022.12.31 현재,"14,182,163,694",7,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2024.12.31 현재,"21,512,063,922",제 7 기,2023.12.31 현재,"9,290,568,805",제 6 기,2022.12.31 현재,"21,988,298,646",9,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2024.12.31 현재,"36,144,342,570",제 7 기,2023.12.31 현재,"25,085,624,731",제 6 기,2022.12.31 현재,"36,170,462,340",11,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2024.12.31 현재,"42,216,454,163",제 7 기,2023.12.31 현재,"42,216,454,531",제 6 기,2022.12.31 현재,"29,639,996,021",13,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2024.12.31 현재,"20,996,123,746",제 7 기,2023.12.31 현재,"22,024,280,261",제 6 기,2022.12.31 현재,"18,348,437,567",17,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2024.12.31 현재,"65,607,066,952",제 7 기,2023.12.31 현재,"65,956,190,819",제 6 기,2022.12.31 현재,"51,354,945,006",21,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2024.01.01 ~ 2024.12.31,"32,484,223,840",제 7 기,2023.01.01 ~ 2023.12.31,"37,300,346,743",제 6 기,2022.01.01 ~ 2022.12.31,"33,537,795,922",23,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,영업이익,제 8 기,2024.01.01 ~ 2024.12.31,"813,707,507",제 7 기,2023.01.01 ~ 2023.12.31,"5,741,488,659",제 6 기,2022.01.01 ~ 2022.12.31,"4,704,571,278",25,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2024.01.01 ~ 2024.12.31,"990,676,481",제 7 기,2023.01.01 ~ 2023.12.31,"6,213,841,526",제 6 기,2022.01.01 ~ 2022.12.31,"3,842,410,448",27,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,당기순이익,제 8 기,2024.01.01 ~ 2024.12.31,"885,653,783",제 7 기,2023.01.01 ~ 2023.12.31,"4,972,375,687",제 6 기,2022.01.01 ~ 2022.12.31,"3,602,579,198",29,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2024.01.01 ~ 2024.12.31,"885,653,783",제 7 기,2023.01.01 ~ 2023.12.31,"4,972,375,687",제 6 기,2022.01.01 ~ 2022.12.31,"3,602,579,198",61,KRW
20250319000816,11011,2024,01243161,277410,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 8 기,2024.01.01 ~ 2024.12.31,"885,653,783",제 7 기,2023.01.01 ~ 2023.12.31,"4,972,375,687",제 6 기,2022.01.01 ~ 2022.12.31,"3,602,579,198",63,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2024.12.31 현재,"28,521,491,536",제 7 기,2023.12.31 현재,"31,590,944,425",제 6 기,2022.12.31 현재,"27,108,938,819",2,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2024.12.31 현재,"69,565,028,057",제 7 기,2023.12.31 현재,"55,579,175,270",제 6 기,2022.12.31 현재,"56,623,028,947",4,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2024.12.31 현재,"98,086,519,593",제 7 기,2023.12.31 현재,"87,170,119,695",제 6 기,2022.12.31 현재,"83,731,967,766",6,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,유동부채,제 8 기,2024.12.31 현재,"14,383,316,766",제 7 기,2023.12.31 현재,"15,694,772,111",제 6 기,2022.12.31 현재,"14,208,871,183",8,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,비유동부채,제 8 기,2024.12.31 현재,"20,813,055,568",제 7 기,2023.12.31 현재,"8,367,650,063",제 6 기,2022.12.31 현재,"20,993,667,849",10,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,부채총계,제 8 기,2024.12.31 현재,"35,196,372,334",제 7 기,2023.12.31 현재,"24,062,422,174",제 6 기,2022.12.31 현재,"35,202,539,032",12,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,자본금,제 8 기,2024.12.31 현재,"42,216,454,163",제 7 기,2023.12.31 현재,"42,216,454,531",제 6 기,2022.12.31 현재,"29,639,996,021",15,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,이익잉여금,제 8 기,2024.12.31 현재,"18,599,891,454",제 7 기,2023.12.31 현재,"19,498,298,166",제 6 기,2022.12.31 현재,"15,842,469,185",19,KRW
20250319000816,11011,2024,01243161,277410,OFS,재무제표,BS,재무상태표,자본총계,제 8 기,2024.12.31 현재,"62,890,147,259",제 7 기,2023.12.31 현재,"63,107,697,521",제 6 기,2022.12.31 현재,"48,529,428,734",22,KRW
