rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,유동자산,제 68 기,2023.12.31 현재,"198,200,870,186",제 67 기,2022.12.31 현재,"195,139,523,479",제 66 기,2021.12.31 현재,"180,548,425,458",1,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,비유동자산,제 68 기,2023.12.31 현재,"230,300,579,271",제 67 기,2022.12.31 현재,"238,027,714,155",제 66 기,2021.12.31 현재,"208,033,140,336",3,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,자산총계,제 68 기,2023.12.31 현재,"428,501,449,457",제 67 기,2022.12.31 현재,"433,167,237,634",제 66 기,2021.12.31 현재,"388,581,565,794",5,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,유동부채,제 68 기,2023.12.31 현재,"139,449,960,216",제 67 기,2022.12.31 현재,"154,310,487,269",제 66 기,2021.12.31 현재,"153,833,843,702",7,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,비유동부채,제 68 기,2023.12.31 현재,"25,211,028,455",제 67 기,2022.12.31 현재,"24,411,477,852",제 66 기,2021.12.31 현재,"27,832,075,804",9,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,부채총계,제 68 기,2023.12.31 현재,"164,660,988,671",제 67 기,2022.12.31 현재,"178,721,965,121",제 66 기,2021.12.31 현재,"181,665,919,506",11,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,자본금,제 68 기,2023.12.31 현재,"14,873,937,000",제 67 기,2022.12.31 현재,"14,873,937,000",제 66 기,2021.12.31 현재,"14,873,937,000",13,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 68 기,2023.12.31 현재,"102,373,347,135",제 67 기,2022.12.31 현재,"93,732,888,134",제 66 기,2021.12.31 현재,"65,734,450,396",17,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,BS,재무상태표,자본총계,제 68 기,2023.12.31 현재,"263,840,460,786",제 67 기,2022.12.31 현재,"254,445,272,513",제 66 기,2021.12.31 현재,"206,915,646,288",21,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,매출액,제 68 기,2023.01.01 ~ 2023.12.31,"611,639,433,548",제 67 기,2022.01.01 ~ 2022.12.31,"719,983,672,710",제 66 기,2021.01.01 ~ 2021.12.31,"588,882,039,942",23,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,영업이익,제 68 기,2023.01.01 ~ 2023.12.31,"23,029,106,091",제 67 기,2022.01.01 ~ 2022.12.31,"35,409,145,996",제 66 기,2021.01.01 ~ 2021.12.31,"19,994,089,933",25,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 68 기,2023.01.01 ~ 2023.12.31,"17,258,740,034",제 67 기,2022.01.01 ~ 2022.12.31,"35,192,693,824",제 66 기,2021.01.01 ~ 2021.12.31,"20,426,389,546",27,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,당기순이익,제 68 기,2023.01.01 ~ 2023.12.31,"13,971,343,963",제 67 기,2022.01.01 ~ 2022.12.31,"31,320,676,916",제 66 기,2021.01.01 ~ 2021.12.31,"13,786,426,550",29,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 68 기,2023.01.01 ~ 2023.12.31,"13,971,343,963",제 67 기,2022.01.01 ~ 2022.12.31,"31,320,676,916",제 66 기,2021.01.01 ~ 2021.12.31,"13,786,426,550",61,KRW
20240321001182,11011,2023,00151368,129260,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 68 기,2023.01.01 ~ 2023.12.31,"13,288,103,513",제 67 기,2022.01.01 ~ 2022.12.31,"49,036,248,324",제 66 기,2021.01.01 ~ 2021.12.31,"17,772,696,274",63,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,유동자산,제 68 기,2023.12.31 현재,"183,836,034,320",제 67 기,2022.12.31 현재,"175,543,882,764",제 66 기,2021.12.31 현재,"162,665,663,233",2,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,비유동자산,제 68 기,2023.12.31 현재,"205,293,364,898",제 67 기,2022.12.31 현재,"210,312,725,370",제 66 기,2021.12.31 현재,"186,462,762,075",4,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,자산총계,제 68 기,2023.12.31 현재,"389,129,399,218",제 67 기,2022.12.31 현재,"385,856,608,134",제 66 기,2021.12.31 현재,"349,128,425,308",6,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,유동부채,제 68 기,2023.12.31 현재,"128,033,630,741",제 67 기,2022.12.31 현재,"139,004,950,004",제 66 기,2021.12.31 현재,"142,392,165,482",8,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,비유동부채,제 68 기,2023.12.31 현재,"21,511,217,333",제 67 기,2022.12.31 현재,"19,872,135,715",제 66 기,2021.12.31 현재,"18,704,516,448",10,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,부채총계,제 68 기,2023.12.31 현재,"149,544,848,074",제 67 기,2022.12.31 현재,"158,877,085,719",제 66 기,2021.12.31 현재,"161,096,681,930",12,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,자본금,제 68 기,2023.12.31 현재,"14,873,937,000",제 67 기,2022.12.31 현재,"14,873,937,000",제 66 기,2021.12.31 현재,"14,873,937,000",15,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,이익잉여금,제 68 기,2023.12.31 현재,"81,764,951,283",제 67 기,2022.12.31 현재,"69,197,735,344",제 66 기,2021.12.31 현재,"47,551,448,901",19,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,BS,재무상태표,자본총계,제 68 기,2023.12.31 현재,"239,584,551,144",제 67 기,2022.12.31 현재,"226,979,522,415",제 66 기,2021.12.31 현재,"188,031,743,378",22,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,매출액,제 68 기,2023.01.01 ~ 2023.12.31,"561,979,646,988",제 67 기,2022.01.01 ~ 2022.12.31,"667,448,083,617",제 66 기,2021.01.01 ~ 2021.12.31,"543,201,653,709",24,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,영업이익,제 68 기,2023.01.01 ~ 2023.12.31,"14,412,590,807",제 67 기,2022.01.01 ~ 2022.12.31,"26,380,165,683",제 66 기,2021.01.01 ~ 2021.12.31,"12,280,344,276",26,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 68 기,2023.01.01 ~ 2023.12.31,"18,497,453,288",제 67 기,2022.01.01 ~ 2022.12.31,"27,563,574,331",제 66 기,2021.01.01 ~ 2021.12.31,"16,764,654,865",28,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,당기순이익,제 68 기,2023.01.01 ~ 2023.12.31,"16,874,175,928",제 67 기,2022.01.01 ~ 2022.12.31,"25,353,259,174",제 66 기,2021.01.01 ~ 2021.12.31,"11,948,263,548",30,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 68 기,2023.01.01 ~ 2023.12.31,"16,874,175,928",제 67 기,2022.01.01 ~ 2022.12.31,"25,353,259,174",제 66 기,2021.01.01 ~ 2021.12.31,"11,948,263,548",62,KRW
20240321001182,11011,2023,00151368,129260,OFS,재무제표,IS,손익계산서,총포괄손익,제 68 기,2023.01.01 ~ 2023.12.31,"15,990,724,569",제 67 기,2022.01.01 ~ 2022.12.31,"41,769,192,237",제 66 기,2021.01.01 ~ 2021.12.31,"15,396,462,528",64,KRW
