rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"84,680,343,145",제 23 기,2022.12.31 현재,"77,316,335,053",제 22 기,2021.12.31 현재,"77,118,831,020",1,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"30,109,546,835",제 23 기,2022.12.31 현재,"32,887,618,490",제 22 기,2021.12.31 현재,"21,953,801,159",3,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"114,789,889,980",제 23 기,2022.12.31 현재,"110,203,953,543",제 22 기,2021.12.31 현재,"99,072,632,179",5,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"8,154,232,383",제 23 기,2022.12.31 현재,"7,739,289,372",제 22 기,2021.12.31 현재,"2,756,586,585",7,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"393,480,545",제 23 기,2022.12.31 현재,"443,481,967",제 22 기,2021.12.31 현재,"686,686,637",9,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"8,547,712,928",제 23 기,2022.12.31 현재,"8,182,771,339",제 22 기,2021.12.31 현재,"3,443,273,222",11,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"1,596,441,500",제 23 기,2022.12.31 현재,"1,596,441,500",제 22 기,2021.12.31 현재,"1,596,441,500",13,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"112,964,470,146",제 23 기,2022.12.31 현재,"107,735,490,298",제 22 기,2021.12.31 현재,"103,652,847,051",17,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"106,242,177,052",제 23 기,2022.12.31 현재,"102,021,182,204",제 22 기,2021.12.31 현재,"95,629,358,957",21,KRW
20240321001122,11011,2023,00491415,115310,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"22,791,114,590",제 23 기,2022.01.01 ~ 2022.12.31,"20,905,709,137",제 22 기,2021.01.01 ~ 2021.12.31,"19,485,736,337",23,KRW
