rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,유동자산,제 51 기,2023.12.31 현재,"12,149,038,724",제 50 기,2022.12.31 현재,"13,706,267,664",제 49 기,2021.12.31 현재,"14,253,289,985",1,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,비유동자산,제 51 기,2023.12.31 현재,"18,900,266,039",제 50 기,2022.12.31 현재,"19,859,720,881",제 49 기,2021.12.31 현재,"20,323,149,529",3,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,자산총계,제 51 기,2023.12.31 현재,"31,049,304,763",제 50 기,2022.12.31 현재,"33,565,988,545",제 49 기,2021.12.31 현재,"34,576,439,514",5,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,유동부채,제 51 기,2023.12.31 현재,"22,312,000,503",제 50 기,2022.12.31 현재,"28,031,176,175",제 49 기,2021.12.31 현재,"19,455,076,379",7,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,비유동부채,제 51 기,2023.12.31 현재,"5,698,993,400",제 50 기,2022.12.31 현재,"50,000,000",제 49 기,2021.12.31 현재,"3,000,000,000",9,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,부채총계,제 51 기,2023.12.31 현재,"28,010,993,903",제 50 기,2022.12.31 현재,"28,081,176,175",제 49 기,2021.12.31 현재,"22,455,076,379",11,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,자본금,제 51 기,2023.12.31 현재,"6,000,000,000",제 50 기,2022.12.31 현재,"6,000,000,000",제 49 기,2021.12.31 현재,"6,000,000,000",13,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 51 기,2023.12.31 현재,"-8,887,383,369",제 50 기,2022.12.31 현재,"-6,420,525,240",제 49 기,2021.12.31 현재,"311,250,176",17,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,BS,재무상태표,자본총계,제 51 기,2023.12.31 현재,"3,038,310,859",제 50 기,2022.12.31 현재,"5,484,812,370",제 49 기,2021.12.31 현재,"12,121,363,135",21,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,매출액,제 51 기,2023.01.01 ~ 2023.12.31,"32,579,518,556",제 50 기,2022.01.01 ~ 2022.12.31,"31,654,086,485",제 49 기,2021.01.01 ~ 2021.12.31,"30,523,125,956",23,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,영업이익,제 51 기,2023.01.01 ~ 2023.12.31,"-1,492,869,358",제 50 기,2022.01.01 ~ 2022.12.31,"-7,417,555,829",제 49 기,2021.01.01 ~ 2021.12.31,"-8,424,305,904",25,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 51 기,2023.01.01 ~ 2023.12.31,"-2,255,979,770",제 50 기,2022.01.01 ~ 2022.12.31,"-6,892,685,021",제 49 기,2021.01.01 ~ 2021.12.31,"-8,376,533,427",27,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,당기순이익,제 51 기,2023.01.01 ~ 2023.12.31,"-2,255,979,770",제 50 기,2022.01.01 ~ 2022.12.31,"-6,892,685,021",제 49 기,2021.01.01 ~ 2021.12.31,"-8,376,533,427",29,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 51 기,2023.01.01 ~ 2023.12.31,"-2,255,979,770",제 50 기,2022.01.01 ~ 2022.12.31,"-6,892,685,021",제 49 기,2021.01.01 ~ 2021.12.31,"-8,376,533,427",61,KRW
20240321001940,11011,2023,00146542,008500,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 51 기,2023.01.01 ~ 2023.12.31,"-2,446,501,511",제 50 기,2022.01.01 ~ 2022.12.31,"-6,636,550,765",제 49 기,2021.01.01 ~ 2021.12.31,"-8,284,395,008",63,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,유동자산,제 51 기,2023.12.31 현재,"11,246,557,446",제 50 기,2022.12.31 현재,"12,657,787,800",제 49 기,2021.12.31 현재,"13,132,153,473",2,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,비유동자산,제 51 기,2023.12.31 현재,"18,900,266,040",제 50 기,2022.12.31 현재,"19,859,720,881",제 49 기,2021.12.31 현재,"20,323,149,529",4,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,자산총계,제 51 기,2023.12.31 현재,"30,146,823,486",제 50 기,2022.12.31 현재,"32,517,508,681",제 49 기,2021.12.31 현재,"33,455,303,002",6,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,유동부채,제 51 기,2023.12.31 현재,"18,605,539,917",제 50 기,2022.12.31 현재,"24,890,829,375",제 49 기,2021.12.31 현재,"17,579,231,427",8,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,비유동부채,제 51 기,2023.12.31 현재,"5,698,993,400",제 50 기,2022.12.31 현재,"50,000,000",제 49 기,2021.12.31 현재,"3,000,000,000",10,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,부채총계,제 51 기,2023.12.31 현재,"24,304,533,317",제 50 기,2022.12.31 현재,"24,940,829,375",제 49 기,2021.12.31 현재,"20,579,231,427",12,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,자본금,제 51 기,2023.12.31 현재,"6,000,000,000",제 50 기,2022.12.31 현재,"6,000,000,000",제 49 기,2021.12.31 현재,"6,000,000,000",15,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,이익잉여금,제 51 기,2023.12.31 현재,"-3,233,556,475",제 50 기,2022.12.31 현재,"-1,499,167,337",제 49 기,2021.12.31 현재,"3,800,224,932",19,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,BS,재무상태표,자본총계,제 51 기,2023.12.31 현재,"5,842,290,168",제 50 기,2022.12.31 현재,"7,576,679,306",제 49 기,2021.12.31 현재,"12,876,071,575",22,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,IS,손익계산서,매출액,제 51 기,2023.01.01 ~ 2023.12.31,"32,208,773,197",제 50 기,2022.01.01 ~ 2022.12.31,"31,250,156,495",제 49 기,2021.01.01 ~ 2021.12.31,"30,151,288,095",24,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,IS,손익계산서,영업이익,제 51 기,2023.01.01 ~ 2023.12.31,"-721,097,599",제 50 기,2022.01.01 ~ 2022.12.31,"-6,043,877,180",제 49 기,2021.01.01 ~ 2021.12.31,"-5,553,830,896",26,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 51 기,2023.01.01 ~ 2023.12.31,"-1,523,510,779",제 50 기,2022.01.01 ~ 2022.12.31,"-5,460,301,874",제 49 기,2021.01.01 ~ 2021.12.31,"-4,975,295,501",28,KRW
20240321001940,11011,2023,00146542,008500,OFS,재무제표,IS,손익계산서,당기순이익,제 51 기,2023.01.01 ~ 2023.12.31,"-1,523,510,779",제 50 기,2022.01.01 ~ 2022.12.31,"-5,460,301,874",제 49 기,2021.01.01 ~ 2021.12.31,"-4,975,295,501",30,KRW
