rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,유동자산,제 31 기,2024.12.31 현재,"36,284,117,718",제 30 기,2023.12.31 현재,"28,618,905,706",제 29 기,2022.12.31 현재,"34,999,130,791",1,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,비유동자산,제 31 기,2024.12.31 현재,"42,610,685,977",제 30 기,2023.12.31 현재,"34,770,530,502",제 29 기,2022.12.31 현재,"82,304,439,703",3,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,자산총계,제 31 기,2024.12.31 현재,"78,894,803,695",제 30 기,2023.12.31 현재,"111,889,654,938",제 29 기,2022.12.31 현재,"117,303,570,494",5,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,유동부채,제 31 기,2024.12.31 현재,"27,757,856,672",제 30 기,2023.12.31 현재,"81,208,820,524",제 29 기,2022.12.31 현재,"80,757,113,949",7,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,비유동부채,제 31 기,2024.12.31 현재,"15,905,266,528",제 30 기,2023.12.31 현재,"5,180,731,846",제 29 기,2022.12.31 현재,"7,615,791,741",9,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,부채총계,제 31 기,2024.12.31 현재,"43,663,123,200",제 30 기,2023.12.31 현재,"86,389,552,370",제 29 기,2022.12.31 현재,"88,372,905,690",11,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,자본금,제 31 기,2024.12.31 현재,"25,756,870,500",제 30 기,2023.12.31 현재,"25,756,870,500",제 29 기,2022.12.31 현재,"25,756,870,500",13,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 31 기,2024.12.31 현재,"-36,740,659,147",제 30 기,2023.12.31 현재,"-54,286,810,512",제 29 기,2022.12.31 현재,"-39,421,189,251",17,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,BS,재무상태표,자본총계,제 31 기,2024.12.31 현재,"35,231,680,495",제 30 기,2023.12.31 현재,"25,500,102,568",제 29 기,2022.12.31 현재,"28,930,664,804",21,KRW
20250320000779,11011,2024,00198697,020760,CFS,연결재무제표,IS,손익계산서,매출액,제 31 기,2024.01.01 ~ 2024.12.31,"89,157,125,829",제 30 기,2023.01.01 ~ 2023.12.31,"54,334,550,611",제 29 기,2022.01.01 ~ 2022.12.31,"124,347,842,285",23,KRW
