rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2022.12.31 현재,"74,890,874",제 7 기,2021.12.31 현재,"74,029,786",제 6 기,2020.12.31 현재,"62,200,372",1,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2022.12.31 현재,"31,931,597",제 7 기,2021.12.31 현재,"34,094,023",제 6 기,2020.12.31 현재,"37,723,462",3,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2022.12.31 현재,"106,822,471",제 7 기,2021.12.31 현재,"108,123,809",제 6 기,2020.12.31 현재,"99,923,834",5,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2022.12.31 현재,"27,721,600",제 7 기,2021.12.31 현재,"23,546,459",제 6 기,2020.12.31 현재,"28,472,668",7,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2022.12.31 현재,"5,695,090",제 7 기,2021.12.31 현재,"16,293,050",제 6 기,2020.12.31 현재,"15,691,624",9,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2022.12.31 현재,"33,416,690",제 7 기,2021.12.31 현재,"39,839,509",제 6 기,2020.12.31 현재,"44,164,292",11,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2022.12.31 현재,"4,966,967",제 7 기,2021.12.31 현재,"4,966,967",제 6 기,2020.12.31 현재,"4,966,967",13,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2022.12.31 현재,"16,018,096",제 7 기,2021.12.31 현재,"10,394,492",제 6 기,2020.12.31 현재,"-12,217,949",17,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2022.12.31 현재,"73,405,781",제 7 기,2021.12.31 현재,"68,284,300",제 6 기,2020.12.31 현재,"55,759,542",21,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2022.01.01 ~ 2022.12.31,"117,271,385",제 7 기,2021.01.01 ~ 2021.12.31,"140,522,222",제 6 기,2020.01.01 ~ 2020.12.31,"116,239,246",23,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,IS,손익계산서,영업이익,제 8 기,2022.01.01 ~ 2022.12.31,"7,648,555",제 7 기,2021.01.01 ~ 2021.12.31,"14,812,813",제 6 기,2020.01.01 ~ 2020.12.31,"6,668,635",25,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2022.01.01 ~ 2022.12.31,"6,465,397",제 7 기,2021.01.01 ~ 2021.12.31,"13,192,766",제 6 기,2020.01.01 ~ 2020.12.31,"4,068,761",27,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,IS,손익계산서,당기순이익,제 8 기,2022.01.01 ~ 2022.12.31,"5,623,605",제 7 기,2021.01.01 ~ 2021.12.31,"13,104,737",제 6 기,2020.01.01 ~ 2020.12.31,"2,611,636",29,USD
20230315001347,11011,2022,01165739,950140,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2022.01.01 ~ 2022.12.31,"5,623,605",제 7 기,2021.01.01 ~ 2021.12.31,"13,104,737",제 6 기,2020.01.01 ~ 2020.12.31,"2,611,636",61,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2022.12.31 현재,"52,414,194",제 7 기,2021.12.31 현재,"53,817,098",제 6 기,2020.12.31 현재,"47,962,343",2,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2022.12.31 현재,"36,349,010",제 7 기,2021.12.31 현재,"33,999,471",제 6 기,2020.12.31 현재,"34,170,738",4,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2022.12.31 현재,"88,763,204",제 7 기,2021.12.31 현재,"87,816,569",제 6 기,2020.12.31 현재,"82,133,081",6,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,유동부채,제 8 기,2022.12.31 현재,"12,841,584",제 7 기,2021.12.31 현재,"10,360,885",제 6 기,2020.12.31 현재,"15,003,574",8,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,비유동부채,제 8 기,2022.12.31 현재,"1,177,246",제 7 기,2021.12.31 현재,"7,924,325",제 6 기,2020.12.31 현재,"8,600,157",10,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,부채총계,제 8 기,2022.12.31 현재,"14,018,830",제 7 기,2021.12.31 현재,"18,285,210",제 6 기,2020.12.31 현재,"23,603,731",12,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,자본금,제 8 기,2022.12.31 현재,"4,966,967",제 7 기,2021.12.31 현재,"4,966,967",제 6 기,2020.12.31 현재,"4,966,967",15,USD
20230315001347,11011,2022,01165739,950140,OFS,재무제표,BS,재무상태표,이익잉여금,제 8 기,2022.12.31 현재,"16,215,023",제 7 기,2021.12.31 현재,"11,002,008",제 6 기,2020.12.31 현재,"-9,507,704",19,USD
