rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"46,935,655,359",제 25 기,2023.12.31 현재,"92,159,744,347",제 24 기,2022.12.31 현재,"52,384,073,857",2,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"298,106,181,648",제 25 기,2023.12.31 현재,"284,426,855,638",제 24 기,2022.12.31 현재,"336,397,033,644",4,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"345,041,837,007",제 25 기,2023.12.31 현재,"376,586,599,985",제 24 기,2022.12.31 현재,"388,781,107,501",6,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"53,991,836,822",제 25 기,2023.12.31 현재,"54,526,283,856",제 24 기,2022.12.31 현재,"78,933,215,367",8,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"29,369,325,648",제 25 기,2023.12.31 현재,"25,156,700,441",제 24 기,2022.12.31 현재,"32,453,401,903",10,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"83,361,162,470",제 25 기,2023.12.31 현재,"79,682,984,297",제 24 기,2022.12.31 현재,"111,386,617,270",12,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"399,621,619,831",제 25 기,2023.12.31 현재,"666,711,703,370",제 24 기,2022.12.31 현재,"574,228,564,708",15,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"-109,369,903,464",제 25 기,2023.12.31 현재,"-336,613,762,282",제 24 기,2022.12.31 현재,"-231,612,300,732",19,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"261,680,674,537",제 25 기,2023.12.31 현재,"296,903,615,688",제 24 기,2022.12.31 현재,"277,394,490,231",22,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"2,932,735,736",제 25 기,2023.01.01 ~ 2023.12.31,"4,426,626,990",제 24 기,2022.01.01 ~ 2022.12.31,"16,139,032,166",24,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"-37,245,760,360",제 25 기,2023.01.01 ~ 2023.12.31,"-41,240,886,624",제 24 기,2022.01.01 ~ 2022.12.31,"-33,679,063,951",26,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-65,411,540,762",제 25 기,2023.01.01 ~ 2023.12.31,"-66,860,297,233",제 24 기,2022.01.01 ~ 2022.12.31,"-56,831,170,416",28,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"-63,705,874,579",제 25 기,2023.01.01 ~ 2023.12.31,"-66,860,297,233",제 24 기,2022.01.01 ~ 2022.12.31,"-56,831,170,416",30,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 26 기,2024.12.31 현재,"25,913,796,386",제 25 기,2023.12.31 현재,"44,450,208,913",제 24 기,2022.12.31 현재,-,36,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,BS,재무상태표,파생상품자산,제 26 기,2024.12.31 현재,-,제 25 기,2023.12.31 현재,-,제 24 기,2022.12.31 현재,"159,999",48,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"-63,705,874,579",제 25 기,2023.01.01 ~ 2023.12.31,"-66,860,297,233",제 24 기,2022.01.01 ~ 2022.12.31,"-56,831,170,416",62,KRW
20250310000953,11011,2024,00545929,095700,OFS,재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"-61,734,037,503",제 25 기,2023.01.01 ~ 2023.12.31,"-78,671,383,784",제 24 기,2022.01.01 ~ 2022.12.31,"-247,241,286,799",64,KRW
