rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,유동자산,제 37 기,2024.12.31 현재,"432,531,751,431",제 36 기,2023.12.31 현재,"427,647,885,524",제 35 기,2022.12.31 현재,"419,997,516,124",1,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,비유동자산,제 37 기,2024.12.31 현재,"208,399,563,921",제 36 기,2023.12.31 현재,"194,048,310,995",제 35 기,2022.12.31 현재,"192,259,807,120",3,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,자산총계,제 37 기,2024.12.31 현재,"640,931,315,352",제 36 기,2023.12.31 현재,"621,696,196,519",제 35 기,2022.12.31 현재,"612,257,323,244",5,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,유동부채,제 37 기,2024.12.31 현재,"195,413,626,580",제 36 기,2023.12.31 현재,"209,325,757,639",제 35 기,2022.12.31 현재,"252,189,365,519",7,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,비유동부채,제 37 기,2024.12.31 현재,"63,201,062,557",제 36 기,2023.12.31 현재,"69,234,830,144",제 35 기,2022.12.31 현재,"80,904,577,332",9,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,부채총계,제 37 기,2024.12.31 현재,"258,614,689,137",제 36 기,2023.12.31 현재,"278,560,587,783",제 35 기,2022.12.31 현재,"333,093,942,851",11,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,자본금,제 37 기,2024.12.31 현재,"15,530,995,000",제 36 기,2023.12.31 현재,"5,192,000,000",제 35 기,2022.12.31 현재,"5,192,000,000",13,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 37 기,2024.12.31 현재,"289,312,932,168",제 36 기,2023.12.31 현재,"248,420,828,698",제 35 기,2022.12.31 현재,"242,606,238,721",17,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,BS,재무상태표,자본총계,제 37 기,2024.12.31 현재,"382,316,626,215",제 36 기,2023.12.31 현재,"343,135,608,736",제 35 기,2022.12.31 현재,"279,163,380,393",21,KRW
20250321000491,11011,2024,00442570,079370,CFS,연결재무제표,IS,손익계산서,매출액,제 37 기,2024.01.01 ~ 2024.12.31,"490,785,653,271",제 36 기,2023.01.01 ~ 2023.12.31,"402,871,359,940",제 35 기,2022.01.01 ~ 2022.12.31,"509,015,893,148",23,KRW
