rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,유동자산,제 11 기,2024.12.31 현재,"48,626,411,657",제 10 기,2023.12.31 현재,"6,710,311,866",제 9 기,2022.12.31 현재,"8,851,869,757",1,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,비유동자산,제 11 기,2024.12.31 현재,"25,966,657,342",제 10 기,2023.12.31 현재,"26,444,508,165",제 9 기,2022.12.31 현재,"27,478,928,260",3,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,자산총계,제 11 기,2024.12.31 현재,"74,593,068,999",제 10 기,2023.12.31 현재,"33,154,820,031",제 9 기,2022.12.31 현재,"36,330,798,017",5,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,유동부채,제 11 기,2024.12.31 현재,"8,822,191,148",제 10 기,2023.12.31 현재,"6,345,743,704",제 9 기,2022.12.31 현재,"1,605,699,637",7,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,비유동부채,제 11 기,2024.12.31 현재,"16,454,911,391",제 10 기,2023.12.31 현재,"15,084,083,123",제 9 기,2022.12.31 현재,"18,125,834,327",9,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,부채총계,제 11 기,2024.12.31 현재,"25,277,102,539",제 10 기,2023.12.31 현재,"21,429,826,827",제 9 기,2022.12.31 현재,"19,731,533,964",11,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,자본금,제 11 기,2024.12.31 현재,"2,552,889,200",제 10 기,2023.12.31 현재,"1,616,771,200",제 9 기,2022.12.31 현재,"1,533,235,800",13,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 11 기,2024.12.31 현재,"-69,977,762,749",제 10 기,2023.12.31 현재,"-56,803,726,794",제 9 기,2022.12.31 현재,"-49,326,643,710",17,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,BS,재무상태표,자본총계,제 11 기,2024.12.31 현재,"49,315,966,460",제 10 기,2023.12.31 현재,"11,724,993,204",제 9 기,2022.12.31 현재,"16,599,264,053",21,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,매출액,제 11 기,2024.01.01 ~ 2024.12.31,"1,427,510,483",제 10 기,2023.01.01 ~ 2023.12.31,"2,488,983,756",제 9 기,2022.01.01 ~ 2022.12.31,"3,415,330,726",23,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,영업이익,제 11 기,2024.01.01 ~ 2024.12.31,"-12,731,677,700",제 10 기,2023.01.01 ~ 2023.12.31,"-7,147,568,952",제 9 기,2022.01.01 ~ 2022.12.31,"-8,627,804,401",25,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 11 기,2024.01.01 ~ 2024.12.31,"-13,447,974,784",제 10 기,2023.01.01 ~ 2023.12.31,"-7,306,037,907",제 9 기,2022.01.01 ~ 2022.12.31,"-9,310,493,816",27,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,당기순이익,제 11 기,2024.01.01 ~ 2024.12.31,"-13,447,974,784",제 10 기,2023.01.01 ~ 2023.12.31,"-7,306,037,907",제 9 기,2022.01.01 ~ 2022.12.31,"-9,310,493,816",29,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 11 기,2024.01.01 ~ 2024.12.31,"-13,447,974,784",제 10 기,2023.01.01 ~ 2023.12.31,"-7,306,037,907",제 9 기,2022.01.01 ~ 2022.12.31,"-9,310,493,816",61,KRW
20250320001226,11011,2024,01153293,322510,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 11 기,2024.01.01 ~ 2024.12.31,"-13,130,569,870",제 10 기,2023.01.01 ~ 2023.12.31,"-8,066,816,513",제 9 기,2022.01.01 ~ 2022.12.31,"-8,049,727,364",63,KRW
20250320001226,11011,2024,01153293,322510,OFS,재무제표,BS,재무상태표,유동자산,제 11 기,2024.12.31 현재,"48,175,296,399",제 10 기,2023.12.31 현재,"6,284,042,656",제 9 기,2022.12.31 현재,"8,399,825,392",2,KRW
