rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,유동자산,제 54 기,2024.12.31 현재,"75,438,760,114",제 53 기,2023.12.31 현재,"99,008,789,915",제 52 기,2022.12.31 현재,"95,755,050,702",1,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,비유동자산,제 54 기,2024.12.31 현재,"102,020,757,369",제 53 기,2023.12.31 현재,"96,441,761,499",제 52 기,2022.12.31 현재,"89,128,367,817",3,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,자산총계,제 54 기,2024.12.31 현재,"177,459,517,483",제 53 기,2023.12.31 현재,"195,450,551,414",제 52 기,2022.12.31 현재,"184,883,418,519",5,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,유동부채,제 54 기,2024.12.31 현재,"32,539,169,454",제 53 기,2023.12.31 현재,"70,301,760,692",제 52 기,2022.12.31 현재,"85,661,753,387",7,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,비유동부채,제 54 기,2024.12.31 현재,"12,217,940,755",제 53 기,2023.12.31 현재,"11,399,167,387",제 52 기,2022.12.31 현재,"14,695,555,585",9,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,부채총계,제 54 기,2024.12.31 현재,"44,757,110,209",제 53 기,2023.12.31 현재,"81,700,928,079",제 52 기,2022.12.31 현재,"100,357,308,972",11,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,자본금,제 54 기,2024.12.31 현재,"4,500,000,000",제 53 기,2023.12.31 현재,"4,500,000,000",제 52 기,2022.12.31 현재,"4,500,000,000",13,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 54 기,2024.12.31 현재,"106,008,145,284",제 53 기,2023.12.31 현재,"87,802,846,935",제 52 기,2022.12.31 현재,"63,983,298,658",17,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,BS,재무상태표,자본총계,제 54 기,2024.12.31 현재,"132,702,407,274",제 53 기,2023.12.31 현재,"113,749,623,335",제 52 기,2022.12.31 현재,"84,526,109,547",21,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,매출액,제 54 기,2024.01.01 ~ 2024.12.31,"183,926,463,645",제 53 기,2023.01.01 ~ 2023.12.31,"242,901,053,183",제 52 기,2022.01.01 ~ 2022.12.31,"197,450,078,061",23,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,영업이익,제 54 기,2024.01.01 ~ 2024.12.31,"20,689,010,701",제 53 기,2023.01.01 ~ 2023.12.31,"35,183,174,756",제 52 기,2022.01.01 ~ 2022.12.31,"17,525,758,579",25,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2024.01.01 ~ 2024.12.31,"22,603,867,327",제 53 기,2023.01.01 ~ 2023.12.31,"33,264,491,910",제 52 기,2022.01.01 ~ 2022.12.31,"12,114,771,388",27,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,당기순이익,제 54 기,2024.01.01 ~ 2024.12.31,"20,975,529,937",제 53 기,2023.01.01 ~ 2023.12.31,"26,048,029,783",제 52 기,2022.01.01 ~ 2022.12.31,"10,881,152,154",29,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 54 기,2024.01.01 ~ 2024.12.31,"20,975,529,937",제 53 기,2023.01.01 ~ 2023.12.31,"26,048,029,783",제 52 기,2022.01.01 ~ 2022.12.31,"10,881,152,154",61,KRW
20250314001295,11011,2024,00148595,038010,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 54 기,2024.01.01 ~ 2024.12.31,"20,477,243,939",제 53 기,2023.01.01 ~ 2023.12.31,"30,221,433,788",제 52 기,2022.01.01 ~ 2022.12.31,"11,140,871,068",63,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,유동자산,제 54 기,2024.12.31 현재,"71,784,288,831",제 53 기,2023.12.31 현재,"96,274,859,573",제 52 기,2022.12.31 현재,"93,933,012,951",2,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,비유동자산,제 54 기,2024.12.31 현재,"96,833,561,225",제 53 기,2023.12.31 현재,"91,955,863,676",제 52 기,2022.12.31 현재,"84,977,885,928",4,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,자산총계,제 54 기,2024.12.31 현재,"168,617,850,056",제 53 기,2023.12.31 현재,"188,230,723,249",제 52 기,2022.12.31 현재,"178,910,898,879",6,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,유동부채,제 54 기,2024.12.31 현재,"32,029,952,181",제 53 기,2023.12.31 현재,"68,679,309,660",제 52 기,2022.12.31 현재,"83,725,472,547",8,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,비유동부채,제 54 기,2024.12.31 현재,"11,965,665,980",제 53 기,2023.12.31 현재,"10,220,693,890",제 52 기,2022.12.31 현재,"13,828,493,552",10,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,부채총계,제 54 기,2024.12.31 현재,"43,995,618,161",제 53 기,2023.12.31 현재,"78,900,003,550",제 52 기,2022.12.31 현재,"97,553,966,099",12,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,자본금,제 54 기,2024.12.31 현재,"4,500,000,000",제 53 기,2023.12.31 현재,"4,500,000,000",제 52 기,2022.12.31 현재,"4,500,000,000",15,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,이익잉여금,제 54 기,2024.12.31 현재,"99,282,164,365",제 53 기,2023.12.31 현재,"83,990,652,169",제 52 기,2022.12.31 현재,"61,309,924,251",19,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,BS,재무상태표,자본총계,제 54 기,2024.12.31 현재,"124,622,231,895",제 53 기,2023.12.31 현재,"109,330,719,699",제 52 기,2022.12.31 현재,"81,356,932,780",22,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,매출액,제 54 기,2024.01.01 ~ 2024.12.31,"173,275,138,176",제 53 기,2023.01.01 ~ 2023.12.31,"234,007,986,201",제 52 기,2022.01.01 ~ 2022.12.31,"190,263,202,215",24,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,영업이익,제 54 기,2024.01.01 ~ 2024.12.31,"17,613,876,444",제 53 기,2023.01.01 ~ 2023.12.31,"32,996,572,651",제 52 기,2022.01.01 ~ 2022.12.31,"16,699,363,508",26,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2024.01.01 ~ 2024.12.31,"20,207,249,444",제 53 기,2023.01.01 ~ 2023.12.31,"31,514,413,310",제 52 기,2022.01.01 ~ 2022.12.31,"12,192,407,946",28,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,당기순이익,제 54 기,2024.01.01 ~ 2024.12.31,"17,753,361,189",제 53 기,2023.01.01 ~ 2023.12.31,"24,743,174,141",제 52 기,2022.01.01 ~ 2022.12.31,"11,069,210,050",30,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 54 기,2024.01.01 ~ 2024.12.31,"17,753,361,189",제 53 기,2023.01.01 ~ 2023.12.31,"24,743,174,141",제 52 기,2022.01.01 ~ 2022.12.31,"11,069,210,050",62,KRW
20250314001295,11011,2024,00148595,038010,OFS,재무제표,IS,손익계산서,총포괄손익,제 54 기,2024.01.01 ~ 2024.12.31,"16,788,392,196",제 53 기,2023.01.01 ~ 2023.12.31,"28,971,706,919",제 52 기,2022.01.01 ~ 2022.12.31,"11,271,142,121",64,KRW
