rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"152,547,922,968",제 23 기,2022.12.31 현재,"129,143,684,068",제 22 기,2021.12.31 현재,"114,576,801,922",1,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"46,125,459,828",제 23 기,2022.12.31 현재,"46,855,188,604",제 22 기,2021.12.31 현재,"53,378,239,174",3,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"198,673,382,796",제 23 기,2022.12.31 현재,"175,998,872,672",제 22 기,2021.12.31 현재,"167,955,041,096",5,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"37,603,017,368",제 23 기,2022.12.31 현재,"31,957,699,666",제 22 기,2021.12.31 현재,"45,712,512,004",7,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"2,501,960,281",제 23 기,2022.12.31 현재,"1,339,179,813",제 22 기,2021.12.31 현재,"5,143,609,683",9,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"40,104,977,649",제 23 기,2022.12.31 현재,"33,296,879,479",제 22 기,2021.12.31 현재,"50,856,121,687",11,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"17,371,416,500",제 23 기,2022.12.31 현재,"17,371,416,500",제 22 기,2021.12.31 현재,"17,371,416,500",13,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"74,000,743,758",제 23 기,2022.12.31 현재,"57,845,269,680",제 22 기,2021.12.31 현재,"32,671,941,300",17,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"158,568,405,147",제 23 기,2022.12.31 현재,"142,701,993,193",제 22 기,2021.12.31 현재,"117,098,919,409",21,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,매출액,제 24 기,2023.01.01 ~ 2023.12.31,"145,899,793,599",제 23 기,2022.01.01 ~ 2022.12.31,"158,258,062,887",제 22 기,2021.01.01 ~ 2021.12.31,"176,599,277,559",23,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,영업이익,제 24 기,2023.01.01 ~ 2023.12.31,"17,838,425,308",제 23 기,2022.01.01 ~ 2022.12.31,"26,316,133,964",제 22 기,2021.01.01 ~ 2021.12.31,"18,848,017,337",25,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 24 기,2023.01.01 ~ 2023.12.31,"22,007,168,740",제 23 기,2022.01.01 ~ 2022.12.31,"31,132,828,496",제 22 기,2021.01.01 ~ 2021.12.31,"17,213,061,038",27,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,당기순이익,제 24 기,2023.01.01 ~ 2023.12.31,"16,919,765,330",제 23 기,2022.01.01 ~ 2022.12.31,"24,706,325,265",제 22 기,2021.01.01 ~ 2021.12.31,"12,801,281,459",29,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 24 기,2023.01.01 ~ 2023.12.31,"16,919,765,330",제 23 기,2022.01.01 ~ 2022.12.31,"24,706,325,265",제 22 기,2021.01.01 ~ 2021.12.31,"12,801,281,459",61,KRW
20240328001541,11011,2023,00447487,080220,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 24 기,2023.01.01 ~ 2023.12.31,"16,316,406,954",제 23 기,2022.01.01 ~ 2022.12.31,"25,603,073,784",제 22 기,2021.01.01 ~ 2021.12.31,"13,027,205,736",63,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,유동자산,제 24 기,2023.12.31 현재,"155,607,575,900",제 23 기,2022.12.31 현재,"132,000,037,934",제 22 기,2021.12.31 현재,"112,476,533,804",2,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,비유동자산,제 24 기,2023.12.31 현재,"40,299,815,018",제 23 기,2022.12.31 현재,"43,624,841,397",제 22 기,2021.12.31 현재,"47,164,068,629",4,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,자산총계,제 24 기,2023.12.31 현재,"195,907,390,918",제 23 기,2022.12.31 현재,"175,624,879,331",제 22 기,2021.12.31 현재,"159,640,602,433",6,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,유동부채,제 24 기,2023.12.31 현재,"36,308,460,420",제 23 기,2022.12.31 현재,"29,621,395,717",제 22 기,2021.12.31 현재,"35,109,169,318",8,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,비유동부채,제 24 기,2023.12.31 현재,"2,062,006,772",제 23 기,2022.12.31 현재,"1,426,361,180",제 22 기,2021.12.31 현재,"4,461,432,092",10,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,부채총계,제 24 기,2023.12.31 현재,"38,370,467,192",제 23 기,2022.12.31 현재,"31,047,756,897",제 22 기,2021.12.31 현재,"39,570,601,410",12,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,자본금,제 24 기,2023.12.31 현재,"17,371,416,500",제 23 기,2022.12.31 현재,"17,371,416,500",제 22 기,2021.12.31 현재,"17,371,416,500",15,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,이익잉여금,제 24 기,2023.12.31 현재,"72,735,074,800",제 23 기,2022.12.31 현재,"59,775,273,508",제 22 기,2021.12.31 현재,"35,268,152,097",19,KRW
20240328001541,11011,2023,00447487,080220,OFS,재무제표,BS,재무상태표,자본총계,제 24 기,2023.12.31 현재,"157,536,923,726",제 23 기,2022.12.31 현재,"144,577,122,434",제 22 기,2021.12.31 현재,"120,070,001,023",22,KRW
